Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 56 : 618BED0	1C52E800	1D226A60	
DEC 56 : 102285008.000000	475195392.000000	488794720.000000	
HEX 57 : 524F440	7759F10	103903C0	
DEC 57 : 86307904.000000	125148944.000000	272171968.000000	
HEX 58 : 1BD38B4	175379E0	FE2AB50	
DEC 58 : 29178036.000000	391346656.000000	266513232.000000	
HEX 59 : 2AC192C	869DAD0	5829C40	
DEC 59 : 44833068.000000	141155024.000000	92445760.000000	
HEX 60 : 9CA6400	E89D530	1D0A3F00	
DEC 60 : 164258816.000000	243914032.000000	487210752.000000	
HEX 61 : 30C592C	86AA3C0	1ED0CA60	
DEC 61 : 51140908.000000	141206464.000000	516999776.000000	
HEX 62 : 1B7F9100	F40AAD0	C458780	
DEC 62 : 461345024.000000	255896272.000000	205883264.000000	
HEX 63 : 1B145660	4250968	908CF10	
DEC 63 : 454317664.000000	69536104.000000	151572240.000000	
HEX 64 : 5D74B4	100BB9E0	1A36A780	
DEC 64 : 6124724.000000	269203936.000000	439789440.000000	
HEX 65 : 1C41E960	9882000	111B8B40	
DEC 65 : 474081632.000000	159916032.000000	287017792.000000	
HEX 66 : 7931078	38D2710	162E91E0	
DEC 66 : 127078520.000000	59582224.000000	372150752.000000	
HEX 67 : 8DD65E0	1FFB9C40	101841E0	
DEC 67 : 148727264.000000	536583232.000000	270025184.000000	
HEX 68 : 1629D300	F07C530	17ECDD20	
DEC 68 : 371839744.000000	252167472.000000	401399072.000000	
HEX 69 : 1C8456A0	4A39168	1F3A3E20	
DEC 69 : 478434976.000000	77828456.000000	523910688.000000	
HEX 70 : 1D226EA0	FCE8F1	1129FC40	
DEC 70 : 488795808.000000	16574705.000000	287964224.000000	
HEX 71 : 196371E0	10CB4C40	1F939F00	
DEC 71 : 425947616.000000	281758784.000000	529768192.000000	
HEX 72 : 8C13660	12C21520	5FB6968	
DEC 72 : 146880096.000000	314709280.000000	100362600.000000	
HEX 73 : 76964F0	D285350	BDA7690	
DEC 73 : 124347632.000000	220746576.000000	198866576.000000	
HEX 74 : 22C6D68	192A7F00	7D2AB48	
DEC 74 : 36466024.000000	422215424.000000	131246920.000000	
HEX 75 : 150E7FC0	1B0F11E0	30696	
DEC 75 : 353271744.000000	453972448.000000	198294.000000	
HEX 76 : E5A9840	B5A7E90	141B9780	
DEC 76 : 240818240.000000	190480016.000000	337352576.000000	
HEX 77 : 1F9AF4C	11D98880	9972780	
DEC 77 : 33140556.000000	299468928.000000	160900992.000000	
HEX 78 : 1978CF40	45F7878	1A750F0	
DEC 78 : 427347776.000000	73365624.000000	27742448.000000	
HEX 79 : 1484E6E0	93EF800	5AFD788	
DEC 79 : 344254176.000000	155121664.000000	95410056.000000	
HEX 80 : CE67130	176D4160	1BAEAF00	
DEC 80 : 216428848.000000	393036128.000000	464432896.000000	
HEX 81 : E237F80	E3723C0	8A40C40	
DEC 81 : 237207424.000000	238494656.000000	144968768.000000	
