Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 1FDC3B40	CB243C0	145DEA60	
DEC 56 : 213697840.000000	274206592.000000	390878624.000000	
HEX 57 : FB0A440	98D8440	4A0B878	
DEC 57 : 263234624.000000	160269376.000000	77641848.000000	
HEX 58 : 16B2B3C0	D28E9E0	8748E20	
DEC 58 : 380810176.000000	220785120.000000	141856288.000000	
HEX 59 : A495880	E10DE90	1EB0EF00	
DEC 59 : 172578944.000000	235986576.000000	514912000.000000	
HEX 60 : 173DB6A0	1D2564C0	550D698	
DEC 60 : 389920416.000000	488989888.000000	89183896.000000	
HEX 61 : 1C9D3100	1859A160	10594F00	
DEC 61 : 480063744.000000	408527200.000000	274288384.000000	
HEX 62 : B07E8F0	21714B4	1691DF00	
DEC 62 : 185067760.000000	35067060.000000	378658560.000000	
HEX 63 : 95915A0	720ED30	F40B4B	
DEC 63 : 156833184.000000	119598384.000000	15993675.000000	
HEX 64 : 14A11BC0	1CCC6100	1D56DB40	
DEC 64 : 346102720.000000	483156224.000000	492231488.000000	
HEX 65 : 17D09D20	12BC8E20	36354B4	
DEC 65 : 399547680.000000	314347040.000000	56841396.000000	
HEX 66 : C094080	16A9C900	6972D3	
DEC 66 : 201932928.000000	380225792.000000	6910675.000000	
HEX 67 : BA0CF80	9224CB0	19298100	
DEC 67 : 195088256.000000	153242800.000000	422150400.000000	
HEX 68 : 141DB340	F3CD440	F374F10	
DEC 68 : 337490752.000000	255644736.000000	255282960.000000	
HEX 69 : 1BA29AE0	B34EE20	158D0F0	
DEC 69 : 463641312.000000	188018208.000000	22597872.000000	
HEX 70 : 6C8F168	1F5A2D20	1F5C8100	
DEC 70 : 113832296.000000	526003488.000000	526156032.000000	
HEX 71 : 1B7502E0	1069E780	E068F10	
DEC 71 : 460653280.000000	275376000.000000	235310864.000000	
HEX 72 : AFF1BC0	12975440	10381E20	
DEC 72 : 184490944.000000	311907392.000000	272113184.000000	
HEX 73 : EDFA9E0	212BD2C	4E99E20	
DEC 73 : 249539040.000000	34782508.000000	82419232.000000	
HEX 74 : 6D0F4B8	48ADBC0	1D727A60	
DEC 74 : 114357432.000000	76209088.000000	494041696.000000	
HEX 75 : EE26C40	10B941E0	A0252D0	
DEC 75 : 249719872.000000	280576480.000000	167924432.000000	
HEX 76 : 11EED000	17D15F80	4F301E0	
DEC 76 : 300863488.000000	399597440.000000	83034592.000000	
HEX 77 : 1259CF80	16136080	1AD3E100	
DEC 77 : 307875712.000000	370368640.000000	450093312.000000	
HEX 78 : 1DAB86A0	87A91E0	81034B0	
DEC 78 : 497780384.000000	142250464.000000	135279792.000000	
HEX 79 : 61A64B8	1FC0E96	5645B48	
DEC 79 : 102393016.000000	33296022.000000	90463048.000000	
HEX 80 : 31CE788	1B6E7880	D88BE20	
DEC 80 : 52225928.000000	460224640.000000	227065376.000000	
HEX 81 : 1BBE7F80	E0933C0	1C1CD5A0	
DEC 81 : 465469312.000000	235484096.000000	471651744.000000	
HEX 82 : 1CFCBEA0	1C160100	1E337100	
DEC 82 : 486325920.000000	471204096.000000	506687744.000000	
HEX 83 : 1ACC9520	1643C440	95524B0	
DEC 83 : 449615136.000000	373539904.000000	156574896.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
