Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
DEC 56 : 344311936.000000	381342432.000000	105987376.000000	
HEX 57 : 10ED13C0	ED282D0	1BD3BE20	
DEC 57 : 283972544.000000	248677072.000000	466861600.000000	
HEX 58 : 1992DE20	43CF698	7C29A58	
DEC 58 : 429055520.000000	71104152.000000	130194008.000000	
HEX 59 : 42F1E20	2A05B4C	13C53100	
DEC 59 : 70196768.000000	44063564.000000	331690240.000000	
HEX 60 : 135BFF00	1BA256A0	BE930F0	
DEC 60 : 324796160.000000	463623840.000000	199831792.000000	
HEX 61 : 755F0F0	EC172D0	11303C4	
DEC 61 : 123072752.000000	247558864.000000	18023364.000000	
HEX 62 : 10C581E0	1619D2E0	1540E000	
DEC 62 : 281379296.000000	370791136.000000	356573184.000000	
HEX 63 : 107CEC40	1CD461E0	1A91C2E0	
DEC 63 : 276622400.000000	483680736.000000	445760224.000000	
HEX 64 : 495D0F0	1D534D20	31C4968	
DEC 64 : 76927216.000000	491998496.000000	52185448.000000	
HEX 65 : 1EA29E20	DBF4B5	14FBAB40	
DEC 65 : 513973792.000000	14415029.000000	352037696.000000	
HEX 66 : 1D38A5A	138533C0	D3AAA60	
DEC 66 : 30640730.000000	327496640.000000	221948512.000000	
HEX 67 : E7DF970	15D04880	1E1CA960	
DEC 67 : 243136880.000000	365971584.000000	505194848.000000	
HEX 68 : 9817C40	10002780	1B558880	
DEC 68 : 159480896.000000	268445568.000000	458590336.000000	
HEX 69 : 14BAE780	F7D8B50	8606E20	
DEC 69 : 347793280.000000	259885904.000000	140537376.000000	
HEX 70 : 16C1BC40	DA15A6	184CEC40	
DEC 70 : 381795392.000000	14292390.000000	407694400.000000	
HEX 71 : 13579000	6EF0F10	B03BF10	
DEC 71 : 324505600.000000	116330256.000000	184794896.000000	
HEX 72 : D602E20	2642B4C	A503970	
DEC 72 : 224407072.000000	40119116.000000	173029744.000000	
HEX 73 : 1CBAD1E0	A67FD30	4BE7E20	
DEC 73 : 482005472.000000	174587184.000000	79592992.000000	
HEX 74 : 16EA7F00	712AF10	14F9A5A	
DEC 74 : 384466688.000000	118664976.000000	21994074.000000	
HEX 75 : 60C6A58	8F5D2D	1C19F780	
DEC 75 : 101476952.000000	9395501.000000	471463808.000000	
HEX 76 : 97F7F10	16E73100	170C3880	
DEC 76 : 159350544.000000	384250112.000000	386676864.000000	
HEX 77 : 917FB50	189A7100	71C4788	
DEC 77 : 152566608.000000	412774656.000000	119293832.000000	
HEX 78 : 190746A0	1AFD41E0	17CBC3C	
DEC 78 : 419907232.000000	452805088.000000	24951868.000000	
HEX 79 : 6407A58	1C5F4B4	70C8A58	
DEC 79 : 104888920.000000	29750452.000000	118262360.000000	
HEX 80 : 1CD455A0	4438788	1B7392E0	
DEC 80 : 483677600.000000	71534472.000000	460559072.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
