Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 92
DEC 56 : 92190840.000000	326087008.000000	217283280.000000	
HEX 57 : 5F738	2702CB4	67F8168	
DEC 57 : 390968.000000	40905908.000000	109019496.000000	
HEX 58 : 1D1D1E80	1CFDB000	13CC4520	
DEC 58 : 488447616.000000	486387712.000000	332154144.000000	
HEX 59 : 1D5F5D40	869B1A0	144AC080	
DEC 59 : 492789056.000000	141144480.000000	340443264.000000	
HEX 60 : 1A572DE0	133FB040	3B0843C	
DEC 60 : 441920992.000000	322940992.000000	61899836.000000	
HEX 61 : 1FF97A60	7BD1ED0	BE67A60	
DEC 61 : 536443488.000000	129834704.000000	199653984.000000	
HEX 62 : 11E16A80	175A1E2	A7D1880	
DEC 62 : 299985536.000000	24486370.000000	175970432.000000	
HEX 63 : 1274D500	F12F130	1CBC8D20	
DEC 63 : 309646592.000000	252899632.000000	482118944.000000	
HEX 64 : E9883C0	74DD400	70FDDA8	
DEC 64 : 244876224.000000	122541056.000000	118480296.000000	
HEX 65 : 11EDC040	158884C0	6E0F168	
DEC 65 : 300793920.000000	361268416.000000	115405160.000000	
HEX 66 : 12AFAD80	C191D70	B2EA0F0	
DEC 66 : 313503104.000000	202972528.000000	187605232.000000	
HEX 67 : 16DE81E0	15AD7DE0	1A4FA2E0	
DEC 67 : 383680992.000000	363691488.000000	441426656.000000	
HEX 68 : 9C615A0	6C8B4	1EBF03C0	
DEC 68 : 163976608.000000	444596.000000	515834816.000000	
HEX 69 : 42E8C80	5A28298	BE66000	
DEC 69 : 70159488.000000	94536344.000000	199647232.000000	
HEX 70 : 80FB520	34FB000	1589F960	
DEC 70 : 135247136.000000	55554048.000000	361363808.000000	
HEX 71 : 1CBCFAA0	1F8285A0	6FA6800	
DEC 71 : 482146976.000000	528647584.000000	117073920.000000	
HEX 72 : D101EB0	1F207BC0	10350AE0	
DEC 72 : 219160240.000000	522222528.000000	271911648.000000	
HEX 73 : CE33620	BF92DA0	1686A5A	
DEC 73 : 216217120.000000	200879520.000000	23620186.000000	
HEX 74 : 7B44830	1709B260	A53697	
DEC 74 : 129255472.000000	386511456.000000	10827415.000000	
HEX 75 : 178BC900	1A45C260	883C170	
DEC 75 : 395036928.000000	440779360.000000	142852464.000000	
HEX 76 : AD42DF0	8D66310	D669170	
DEC 76 : 181677552.000000	148267792.000000	224825712.000000	
HEX 77 : 2F9AA88	1983D2E0	15E70160	
DEC 77 : 49916552.000000	428069600.000000	367460704.000000	
HEX 78 : CF8F630	13490BC0	C14E000	
DEC 78 : 217642544.000000	323554240.000000	202694656.000000	
HEX 79 : 5F403	6161E98	1AF07A60	
