Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : EE10BC0	ACBA1C0	10B34B4	
DEC 56 : 85091024.000000	393450656.000000	464083072.000000	
HEX 57 : 103C9700	1FAE0560	13AB1880	
DEC 57 : 272406272.000000	531498336.000000	329980032.000000	
HEX 58 : 7C5E878	106C8EC0	1B8F33C0	
DEC 58 : 130410616.000000	275549888.000000	462369728.000000	
HEX 59 : 30734B4	16B6C	14453960	
DEC 59 : 50803892.000000	93036.000000	340080992.000000	
HEX 60 : 1714EE20	16BEA	10E5AD20	
DEC 60 : 387247648.000000	93162.000000	283487520.000000	
HEX 61 : 113E9F80	96B2580	17DAB780	
DEC 61 : 289316736.000000	158016896.000000	400209792.000000	
HEX 62 : 9AABD30	CF96930	721DE20	
DEC 62 : 162184496.000000	217671984.000000	119660064.000000	
HEX 63 : 11CFE080	167B9	1E7446A0	
DEC 63 : 298836096.000000	92089.000000	510936736.000000	
HEX 64 : 1F40FF00	E9C27A0	1335E2E0	
DEC 64 : 524353280.000000	245114784.000000	322298592.000000	
HEX 65 : F4E0DA0	E6162B0	1D826C40	
DEC 65 : 256773536.000000	241263280.000000	495086656.000000	
HEX 66 : 106952E0	1FADA3C0	9661F10	
DEC 66 : 275337952.000000	531473344.000000	157687568.000000	
HEX 67 : CC2D0F0	24CC5C4	BD6A970	
DEC 67 : 214094064.000000	38585796.000000	198617456.000000	
HEX 68 : 6F80078	6882D50	451F2D0	
DEC 68 : 116916344.000000	109587792.000000	72479440.000000	
HEX 69 : 9AD0D30	8AC0250	1DB55B40	
DEC 69 : 162336048.000000	145490512.000000	498424640.000000	
HEX 70 : AC273C0	1459DA60	82C2970	
DEC 70 : 180515776.000000	341432928.000000	137111920.000000	
HEX 71 : 19ADAD2	1FFA8C40	1CBDA960	
DEC 71 : 26925778.000000	536513600.000000	482191712.000000	
HEX 72 : 31B3968	EDF96F0	B71F780	
DEC 72 : 52115816.000000	249534192.000000	192018304.000000	
HEX 73 : FE8E880	11309320	16824B40	
DEC 73 : 266922112.000000	288396064.000000	377637696.000000	
HEX 74 : EC7F440	14675200	F7140F0	
DEC 74 : 247985216.000000	342315520.000000	259080432.000000	
HEX 75 : 185C3AE0	BCB3FD0	18800100	
DEC 75 : 408697568.000000	197869520.000000	411042048.000000	
HEX 76 : 157F6DA0	143C6080	1BD81960	
DEC 76 : 360672672.000000	339501184.000000	467147104.000000	
HEX 77 : 1FEEB960	1AFA2B80	9DA63C0	
DEC 77 : 535738720.000000	452602752.000000	165307328.000000	
HEX 78 : 15C696	93FE550	5B4C4B8	
DEC 78 : 1427094.000000	155182416.000000	95732920.000000	
HEX 79 : 23C2698	AAF2A10	1B260D20	
DEC 79 : 37496472.000000	179251728.000000	455478560.000000	
HEX 80 : 2A3CDA4	1A9842C0	136D34C0	
DEC 80 : 44289444.000000	446186176.000000	325924032.000000	
HEX 81 : 4BC9D30	2C6EEC0	1B0F3880	
DEC 81 : 79469872.000000	46591680.000000	453982336.000000	
HEX 82 : 1EDA31E0	1F553400	19B8FB40	
DEC 82 : 517616096.000000	525677568.000000	431553344.000000	
HEX 83 : 46CE4B8	F986400	1417C6A0	
DEC 83 : 74245304.000000	261645312.000000	337102496.000000	
HEX 84 : 1D39B000	1FF43840	3BC6A5C	
DEC 84 : 490319872.000000	536098880.000000	62679644.000000	
HEX 85 : 504A000	16D8FA60	30FBC3C	
DEC 85 : 84189184.000000	383318624.000000	51362876.000000	
HEX 86 : 1F711960	987CC20	C9BE690	
DEC 86 : 527505760.000000	159894560.000000	211543696.000000	
HEX 87 : A2DB000	1BEFF260	62D6788	
DEC 87 : 170766336.000000	468709984.000000	103638920.000000	
HEX 88 : 3D85620	1CF36620	B5C55A0	
DEC 88 : 64509472.000000	485713440.000000	190600608.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
