Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 56 : 12C5C5A0	4A8E948	13E6F000	
DEC 56 : 314951072.000000	78178632.000000	333901824.000000	
HEX 57 : 15190340	16B6C	717C968	
DEC 57 : 353960768.000000	93036.000000	118999400.000000	
HEX 58 : 167B5260	1A77C660	195C03C0	
DEC 58 : 377180768.000000	444057184.000000	425460672.000000	
HEX 59 : FBE4000	181DF1C0	1D5E2E20	
DEC 59 : 264126464.000000	404615616.000000	492711456.000000	
HEX 60 : 18427A60	80CDBC0	17C9B880	
DEC 60 : 407009888.000000	135060416.000000	399095936.000000	
HEX 61 : 1F19F10	1240C600	1A4DFC40	
DEC 61 : 32612112.000000	306234880.000000	441318464.000000	
HEX 62 : 4F0E530	C9466C0	6D2E2D0	
DEC 62 : 82896176.000000	211052224.000000	114483920.000000	
HEX 63 : D7BCE90	A1BD430	FEDD2D0	
DEC 63 : 226217616.000000	169595952.000000	267244240.000000	
HEX 64 : F3F4800	166BC	24C5E20	
DEC 64 : 255805440.000000	91836.000000	38559264.000000	
HEX 65 : 9718A60	FBE8170	CDC1D30	
DEC 65 : 158435936.000000	264143216.000000	215751984.000000	
HEX 66 : 1C8AC2E0	1B28FCC0	C4A12D0	
DEC 66 : 478855904.000000	455670976.000000	206181072.000000	
HEX 67 : 161B9960	1E923C40	85A52D0	
DEC 67 : 370907488.000000	512900160.000000	140137168.000000	
HEX 68 : 1D64710	19F4C280	1C265A60	
DEC 68 : 30820112.000000	435470976.000000	472275552.000000	
HEX 69 : 164FD2E	B354530	17B471E0	
DEC 69 : 23395630.000000	188040496.000000	397701600.000000	
HEX 70 : 153B0A60	CBCA4B0	1CE6F780	
DEC 70 : 356190816.000000	213689520.000000	484898688.000000	
HEX 71 : 3FD7968	1CD24A60	CB85A6	
DEC 71 : 66943336.000000	483543648.000000	13338022.000000	
HEX 72 : 1A698880	18878BC0	1303DE20	
DEC 72 : 443123840.000000	411536320.000000	319020576.000000	
HEX 73 : DD54DA0	3F216	1D93B780	
DEC 73 : 232082848.000000	258582.000000	496220032.000000	
HEX 74 : 78B3BC0	D6385B0	1C292780	
DEC 74 : 126565312.000000	224626096.000000	472459136.000000	
HEX 75 : 19A5B100	CF0E490	899D4B0	
DEC 75 : 430289152.000000	217113744.000000	144299184.000000	
HEX 76 : 1B46D2E	72377B0	1E45AC40	
DEC 76 : 28601646.000000	119764912.000000	507882560.000000	
HEX 77 : 112F63C0	71DFE48	3D5AA5C	
DEC 77 : 288318400.000000	119406152.000000	64334428.000000	
HEX 78 : 90D8690	1C4B5280	1E61F6A0	
DEC 78 : 151881360.000000	474698368.000000	509736608.000000	
HEX 79 : 1DD7CE20	1DB179E0	1BA6D000	
DEC 79 : 500682272.000000	498170336.000000	463917056.000000	
HEX 80 : 16DB8440	130AB020	16FAAE20	
DEC 80 : 383484992.000000	319467552.000000	385527328.000000	
HEX 81 : 2F8B25C	155D1F60	FB6D2D	
DEC 81 : 49853020.000000	358424416.000000	16477485.000000	
HEX 82 : 1652AD2	6794C68	AFB84B0	
DEC 82 : 23407314.000000	108612712.000000	184255664.000000	
HEX 83 : 2D499E0	16D65	F3393C0	
DEC 83 : 47487456.000000	93541.000000	255038400.000000	
HEX 84 : FA265A0	16AEE	EE24F10	
DEC 84 : 262301088.000000	92910.000000	249712400.000000	
HEX 85 : 975B3C0	83FF850	1603F5A0	
DEC 85 : 158708672.000000	138410064.000000	369358240.000000	
HEX 86 : C98EF80	1D727B40	112F03C0	
DEC 86 : 211349376.000000	494041920.000000	288293824.000000	
HEX 87 : 103502E0	13C0B1A0	7450F1	
DEC 87 : 271909600.000000	331395488.000000	7622897.000000	
HEX 88 : 164EC260	14B4B2C0	6ECAA58	
DEC 88 : 374260320.000000	347386560.000000	116173400.000000	
HEX 89 : 3B0743C	17DD0900	DEDB0F0	
DEC 89 : 61895740.000000	400361728.000000	233681136.000000	
HEX 90 : 1885AC40	74BE580	22730F0	
DEC 90 : 411413568.000000	122414464.000000	36122864.000000	
HEX 91 : 1AD13C40	16B6C	161CA1E0	
DEC 91 : 449920064.000000	93036.000000	370975200.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
