Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
DEC 56 : 391567712.000000	322963584.000000	313940800.000000	
HEX 57 : 1098F960	1FF71A60	155AEE20	
DEC 57 : 278460768.000000	536287840.000000	358280736.000000	
HEX 58 : 2030000	1212F780	1CE925A0	
DEC 58 : 33751040.000000	303232896.000000	485041568.000000	
HEX 59 : FF6C3C	16D352E0	8F7B2D0	
DEC 59 : 16739388.000000	382948064.000000	150450896.000000	
HEX 60 : F2C6F10	12EEF10	1BD28E20	
DEC 60 : 254570256.000000	19853072.000000	466783776.000000	
HEX 61 : D33B4B0	EB05E20	1C408E20	
DEC 61 : 221492400.000000	246439456.000000	473992736.000000	
HEX 62 : 35F65A4	1CA62880	EE3DD30	
DEC 62 : 56583588.000000	480651392.000000	249814320.000000	
HEX 63 : 6F33D30	DD98B50	182412E0	
DEC 63 : 116604208.000000	232360784.000000	405017312.000000	
HEX 64 : 153A2D20	1BB9A5A0	ECE22D0	
DEC 64 : 356134176.000000	465151392.000000	248390352.000000	
HEX 65 : 142BDA60	1C22FD20	1B93F780	
DEC 65 : 338418272.000000	472055072.000000	462681984.000000	
HEX 66 : 10D6F780	14B92960	D56F5A0	
DEC 66 : 282523520.000000	347679072.000000	223802784.000000	
HEX 67 : B4750F0	E0701E0	CC1BC40	
DEC 67 : 189223152.000000	235340256.000000	214023232.000000	
HEX 68 : 182E7F00	3BCEB4C	1089D100	
DEC 68 : 405700352.000000	62712652.000000	277467392.000000	
HEX 69 : 197742E0	1273000	9958F10	
DEC 69 : 427246304.000000	19345408.000000	160796432.000000	
HEX 70 : 1FDDB960	1AD8AF00	50F21E0	
DEC 70 : 534624608.000000	450408192.000000	84877792.000000	
HEX 71 : 1204B880	D529880	1009D6A0	
DEC 71 : 302299264.000000	223516800.000000	269080224.000000	
HEX 72 : 18ECC880	190C96A	1C0AF100	
DEC 72 : 418171008.000000	26265962.000000	470479104.000000	
HEX 73 : 947DF10	78303C0	1CDB3960	
DEC 73 : 155705104.000000	126026688.000000	484129120.000000	
HEX 74 : 26613C4	A8D51E0	1D26AA60	
DEC 74 : 40244164.000000	177033696.000000	489073248.000000	
HEX 75 : 1F7584C0	5782698	81EAA60	
DEC 75 : 527795392.000000	91760280.000000	136227424.000000	
HEX 76 : 23CCF10	E26C880	2454E20	
DEC 76 : 37539600.000000	237422720.000000	38096416.000000	
HEX 77 : 14ACF1E0	79EFF10	B1F8F10	
DEC 77 : 346878432.000000	127860496.000000	186617616.000000	
HEX 78 : 7FD4698	19527880	2FC4C3C	
DEC 78 : 134039192.000000	424835200.000000	50089020.000000	
HEX 79 : 1ED89100	13208000	11EDF3C0	
DEC 79 : 517509376.000000	320897024.000000	300807104.000000	
HEX 80 : 1A3AE880	135355A0	19BC0E20	
DEC 80 : 440068224.000000	324228512.000000	431754784.000000	
HEX 81 : A5963C0	2CD6A5C	1645E780	
DEC 81 : 173630400.000000	47016540.000000	373680000.000000	
HEX 82 : 8C3A000	11CFD3C0	16ED696	
DEC 82 : 147038208.000000	298832832.000000	24041110.000000	
HEX 83 : 1973000	159E82E0	18F24B4	
DEC 83 : 26685440.000000	362709728.000000	26158260.000000	
HEX 84 : 1A930780	BA6E5A0	D8070F0	
DEC 84 : 445843328.000000	195487136.000000	226521328.000000	
HEX 85 : 13D97C40	14ECD000	1DB7E4C0	
DEC 85 : 333020224.000000	351064064.000000	498590912.000000	
HEX 86 : 1E42D000	35D6000	170B7000	
DEC 86 : 507695104.000000	56451072.000000	386625536.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
