Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
DEC 56 : 534281280.000000	512613184.000000	108344080.000000	
HEX 57 : 36340F0	2C74B4	7E88710	
DEC 57 : 56836336.000000	2913460.000000	132679440.000000	
HEX 58 : 362A968	42BEA58	E49E4F0	
DEC 58 : 56797544.000000	69986904.000000	239723760.000000	
HEX 59 : 68DE530	7C78C40	1ADF4300	
DEC 59 : 109962544.000000	130518080.000000	450839296.000000	
HEX 60 : 10D24A60	1AFFD1E0	161C3DE0	
DEC 60 : 282217056.000000	452973024.000000	370949600.000000	
HEX 61 : 17EA51E0	11BCEE20	1DF3B4C0	
DEC 61 : 401232352.000000	297594400.000000	502510784.000000	
HEX 62 : 1CEC2C40	17723100	1B15A880	
DEC 62 : 485239872.000000	393359616.000000	454404224.000000	
HEX 63 : 4CD34B8	2998698	EC0E5A	
DEC 63 : 80557240.000000	43615896.000000	15470170.000000	
HEX 64 : 1CAB36A0	CCC55A0	FAF1B10	
DEC 64 : 480982688.000000	214717856.000000	263133968.000000	
HEX 65 : 3E95800	1A6FED20	1A232F00	
DEC 65 : 65624064.000000	443542816.000000	438513408.000000	
HEX 66 : 11C45440	181BD2E	8599B10	
DEC 66 : 298079296.000000	25279790.000000	140090128.000000	
HEX 67 : 116E7620	18A54D20	1DA87260	
DEC 67 : 292451872.000000	413486368.000000	497578592.000000	
HEX 68 : 1F0A22E0	135AC880	140222E0	
DEC 68 : 520757984.000000	324716672.000000	335684320.000000	
HEX 69 : 39BF9E0	123C1A60	2053DA4	
DEC 69 : 60553696.000000	305928800.000000	33897892.000000	
HEX 70 : C1BA620	53B1E20	1E90F4C	
DEC 70 : 203138592.000000	87760416.000000	32051020.000000	
HEX 71 : 199ED780	1A2EDA60	6C1B5E0	
DEC 71 : 429840256.000000	439278176.000000	113358304.000000	
HEX 72 : 1B069100	140B66A0	2932168	
DEC 72 : 453415168.000000	336291488.000000	43196776.000000	
HEX 73 : 13418F80	BF154B0	182B6EA0	
DEC 73 : 323063680.000000	200365232.000000	405499552.000000	
HEX 74 : 12D09440	1D18A960	5621310	
DEC 74 : 315659328.000000	488155488.000000	90313488.000000	
HEX 75 : 17705160	134E8F00	9E94DE0	
DEC 75 : 393236832.000000	323915520.000000	166284768.000000	
HEX 76 : 12360100	18CA9100	EEA41E0	
DEC 76 : 305529088.000000	415928576.000000	250233312.000000	
HEX 77 : 1FA2A2E0	6071E20	1863DE20	
DEC 77 : 530752224.000000	101129760.000000	409198112.000000	
HEX 78 : 15EFF160	15C701E0	17E9DD20	
DEC 78 : 368046432.000000	365363680.000000	401202464.000000	
HEX 79 : 1D9B5E20	70F71E0	8C91290	
DEC 79 : 496721440.000000	118452704.000000	147395216.000000	
HEX 80 : 6624DA8	13D8F5A0	1389B300	
DEC 80 : 107105704.000000	332985760.000000	327791360.000000	
HEX 81 : 18A122E0	74BD878	1AD6F7C0	
DEC 81 : 413213408.000000	122411128.000000	450295744.000000	
HEX 82 : 15606880	FAC4D30	114C5AE0	
DEC 82 : 358639744.000000	262950192.000000	290216672.000000	
HEX 83 : 1C993880	BF58A60	1F389800	
DEC 83 : 479803520.000000	200641120.000000	523802624.000000	
HEX 84 : 1F9F6D20	5152E20	1058C340	
DEC 84 : 530541856.000000	85274144.000000	274252608.000000	
HEX 85 : 9180880	71A969	1762E560	
DEC 85 : 152569984.000000	7448937.000000	392357216.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
