Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 1A7BBD20	50C67C0	218B3C4	
DEC 56 : 449472160.000000	10268250.000000	359134624.000000	
HEX 57 : 6DC2348	103C6F80	1A74BF00	
DEC 57 : 115090248.000000	272396160.000000	443858688.000000	
HEX 58 : AB8E800	17F4DB40	E296B50	
DEC 58 : 179890176.000000	401922880.000000	237595472.000000	
HEX 59 : 1DE83D20	1F555960	14C1D780	
DEC 59 : 501759264.000000	525687136.000000	348247936.000000	
HEX 60 : 1C08C1E0	161DCDE0	9975780	
DEC 60 : 470335968.000000	371052000.000000	160913280.000000	
HEX 61 : 1070D700	4144A20	71235A8	
DEC 61 : 275830528.000000	68438560.000000	118633896.000000	
HEX 62 : 21B834C	D281F10	157CD880	
DEC 62 : 35357516.000000	220733200.000000	360503424.000000	
HEX 63 : 11D02100	6948478	1DEF06A0	
DEC 63 : 298852608.000000	110396536.000000	502204064.000000	
HEX 64 : 191371E0	1B0EA220	E7122D0	
DEC 64 : 420704736.000000	453943840.000000	242295504.000000	
HEX 65 : D6220F0	A4BCDE0	A050B50	
DEC 65 : 224534768.000000	172740064.000000	168102736.000000	
HEX 66 : E5B0170	B24EF50	18BF1C40	
DEC 66 : 240845168.000000	186969936.000000	415177792.000000	
HEX 67 : 140FEB40	DC31C00	1DB486A0	
DEC 67 : 336587584.000000	230890496.000000	498370208.000000	
HEX 68 : 15FD1E20	1B7914C0	1E68FA60	
DEC 68 : 368909856.000000	460920000.000000	510196320.000000	
HEX 69 : 11223780	2CDBE20	E7590F0	
DEC 69 : 287455104.000000	47037984.000000	242585840.000000	
HEX 70 : 1E3213C0	58FF968	9E4F880	
DEC 70 : 506598336.000000	93321576.000000	166000768.000000	
HEX 71 : 13DCF520	1B46C3C	CC81E2	
DEC 71 : 333247776.000000	28601404.000000	13402594.000000	
HEX 72 : 1E7DF3C0	75D2C78	1536E6A0	
DEC 72 : 511570880.000000	123546744.000000	355919520.000000	
HEX 73 : 1C88B880	EA397C0	1512DD20	
DEC 73 : 478722176.000000	245602240.000000	353557792.000000	
HEX 74 : DED9C40	1DC6DAE0	87A8780	
DEC 74 : 233675840.000000	499571424.000000	142247808.000000	
HEX 75 : 68EC878	1BC1B960	5BD6D30	
DEC 75 : 110020728.000000	465680736.000000	96300336.000000	
HEX 76 : 1F51E1E	92F788	6FF81E0	
DEC 76 : 32841246.000000	9631624.000000	117408224.000000	
HEX 77 : 1C1A54C0	1E212520	8452A60	
DEC 77 : 471487680.000000	505488672.000000	138750560.000000	
HEX 78 : 1F4811E0	1461F2A0	1917CE20	
DEC 78 : 524816864.000000	341963424.000000	420990496.000000	
HEX 79 : 67CC878	8BC9C80	19E565A0	
DEC 79 : 108841080.000000	146578560.000000	434464160.000000	
HEX 80 : 1C479A60	ED16B10	1D2E7D20	
DEC 80 : 474454624.000000	248605456.000000	489585952.000000	
HEX 81 : 10A5C780	A754ED0	11949780	
DEC 81 : 279299968.000000	175460048.000000	294950784.000000	
HEX 82 : 6A2E8F0	15178700	22544B4	
DEC 82 : 111339760.000000	353863424.000000	35996852.000000	
HEX 83 : C26CC40	468E788	16336000	
