Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
DEC 56 : 211082896.000000	105580664.000000	103204504.000000	
HEX 57 : AAFB000	110B46A0	13F29C40	
DEC 57 : 179286016.000000	285951648.000000	334666816.000000	
HEX 58 : 11F6DD20	130CB4C	4D7CD30	
DEC 58 : 301391136.000000	19974988.000000	81251632.000000	
HEX 59 : E54B710	1F37CC40	1373B6A0	
DEC 59 : 240432912.000000	523750464.000000	326350496.000000	
HEX 60 : D756F10	F1E5E20	D37A690	
DEC 60 : 225799952.000000	253648416.000000	221750928.000000	
HEX 61 : 1EADAA60	FA865A0	8BB8D30	
DEC 61 : 514697824.000000	262694304.000000	146509104.000000	
HEX 62 : 1BEAF780	1B3E1780	C570D30	
DEC 62 : 468383616.000000	457054080.000000	207031600.000000	
HEX 63 : 14890700	D00FC40	EAE54B0	
DEC 63 : 344524544.000000	218168384.000000	246305968.000000	
HEX 64 : 4734F10	F51E690	1E611960	
DEC 64 : 74665744.000000	257025680.000000	509679968.000000	
HEX 65 : 1A8FDA60	13E8E6A0	D632F10	
DEC 65 : 445635168.000000	334030496.000000	224603920.000000	
HEX 66 : 80A5F10	1AFE3A60	B0F63C0	
DEC 66 : 134897424.000000	452868704.000000	185557952.000000	
HEX 67 : 13A6C1E0	88CF4B0	4E1B2D0	
DEC 67 : 329695712.000000	143455408.000000	81900240.000000	
HEX 68 : 1B45FE20	B5445A0	119804C0	
DEC 68 : 457571872.000000	190072224.000000	295175360.000000	
HEX 69 : 1D3893C0	6878E20	1967FC40	
DEC 69 : 490247104.000000	109547040.000000	426245184.000000	
HEX 70 : 10A27F80	1193F6A0	58E6C40	
DEC 70 : 279084928.000000	294909600.000000	93219904.000000	
HEX 71 : EDB788	1D6E14C0	19BEF2E0	
DEC 71 : 15579016.000000	493753536.000000	431944416.000000	
HEX 72 : 8207C40	788C000	1C22F100	
DEC 72 : 136346688.000000	126402560.000000	472051968.000000	
HEX 73 : A8169	4CE6F10	178B7B40	
DEC 73 : 688489.000000	80637712.000000	395017024.000000	
HEX 74 : 4BAEE20	12321780	84141E0	
DEC 74 : 79359520.000000	305272704.000000	138494432.000000	
HEX 75 : 1D5DA960	891EC40	AE871E0	
DEC 75 : 492677472.000000	143780928.000000	183005664.000000	
HEX 76 : 71D2E20	151813C0	1931C1E0	
DEC 76 : 119352864.000000	353899456.000000	422691296.000000	
HEX 77 : A2E7880	8581000	CFCB1E0	
DEC 77 : 170817664.000000	139988992.000000	217887200.000000	
HEX 78 : 1973FA60	11FEBE20	14959C40	
DEC 78 : 427031136.000000	301907488.000000	345349184.000000	
HEX 79 : 1A340960	1B8574C0	16CF66A0	
DEC 79 : 439617888.000000	461731008.000000	382690976.000000	
HEX 80 : 15953960	1E642100	119A86A0	
DEC 80 : 362101088.000000	509878528.000000	295339680.000000	
HEX 81 : 6F898F0	1BC32780	1F7F9A60	
DEC 81 : 116955376.000000	465774464.000000	528456288.000000	
HEX 82 : EB84F80	C4D5B50	899969	
DEC 82 : 246960000.000000	206396240.000000	9017705.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
