Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 69
DEC 56 : 73246480.000000	410648096.000000	201491632.000000	
HEX 57 : 13160D20	112365A0	13B43E20	
DEC 57 : 320212256.000000	287532448.000000	330579488.000000	
HEX 58 : 22523C4	122143C0	8FF5A6	
DEC 58 : 35988420.000000	304169920.000000	9434534.000000	
HEX 59 : BF94970	EAC6780	13872D20	
DEC 59 : 200886640.000000	246179712.000000	327626016.000000	
HEX 60 : 8687970	27C62D4	7EF2D3	
DEC 60 : 141064560.000000	41706196.000000	8319699.000000	
HEX 61 : 9C4FDA0	13E93880	E969A60	
DEC 61 : 163904928.000000	334051456.000000	244750944.000000	
HEX 62 : 18570F0	54392D0	12278C40	
DEC 62 : 25522416.000000	88314576.000000	304581696.000000	
HEX 63 : 17732340	E982880	BB90B50	
DEC 63 : 393421632.000000	244852864.000000	196676432.000000	
HEX 64 : 1B7AABC0	6CDB000	D8D0000	
DEC 64 : 461024192.000000	114143232.000000	227344384.000000	
HEX 65 : 11C04C40	29D3E20	7B4B788	
DEC 65 : 297815104.000000	43859488.000000	129283976.000000	
HEX 66 : A319CB0	100195A0	2645A5	
DEC 66 : 171023536.000000	268539296.000000	2508197.000000	
HEX 67 : 6578CB8	B742D30	74B1B48	
DEC 67 : 106400952.000000	192163120.000000	122362696.000000	
HEX 68 : 1D6A5340	89C9A60	680BA58	
DEC 68 : 493507392.000000	144480864.000000	109099608.000000	
HEX 69 : 61D1078	1879E3C0	1CD65780	
DEC 69 : 102568056.000000	410641344.000000	483809152.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
