Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
DEC 56 : 536509984.000000	12308962.000000	262430480.000000	
HEX 57 : 1975D2E0	A1B697	1368C6A0	
DEC 57 : 427152096.000000	10598039.000000	325633696.000000	
HEX 58 : 1ED2F2E0	1879E3C0	1473D3C0	
DEC 58 : 517141216.000000	410641344.000000	343135168.000000	
HEX 59 : 4FC7BC0	173346A0	E8570F0	
DEC 59 : 83655616.000000	389236384.000000	243626224.000000	
HEX 60 : CA458F0	1879EC40	F3CDA6	
DEC 60 : 212097264.000000	410643520.000000	15977894.000000	
HEX 61 : 2AB55A4	11F43D20	1B46F260	
DEC 61 : 44783012.000000	301219104.000000	457634400.000000	
HEX 62 : 170A43C0	C414D30	1B6D5160	
DEC 62 : 386548672.000000	205606192.000000	460149088.000000	
HEX 63 : BC152D	182C2100	1F105880	
DEC 63 : 12326189.000000	405545216.000000	521164928.000000	
HEX 64 : 150405A0	5242B48	1CD632E0	
DEC 64 : 352585120.000000	86256456.000000	483799776.000000	
HEX 65 : 130F6780	309F4B4	7A09078	
DEC 65 : 319776640.000000	50984116.000000	127963256.000000	
HEX 66 : 19CEFD20	B9A05A0	AEC50F0	
DEC 66 : 432995616.000000	194643360.000000	183259376.000000	
HEX 67 : 1089078	16FC6780	15699AE0	
DEC 67 : 17338488.000000	385640320.000000	359242464.000000	
HEX 68 : D7ADE20	16BC7B40	FA130F0	
DEC 68 : 226156064.000000	381451072.000000	262222064.000000	
HEX 69 : 1D2996A	BD012D0	1FCDE260	
DEC 69 : 30579050.000000	198185680.000000	533586528.000000	
HEX 70 : 1D11E100	EBE01E0	16614B40	
DEC 70 : 487710976.000000	247333344.000000	375475008.000000	
HEX 71 : D309780	CE004B0	1291E520	
DEC 71 : 221288320.000000	216007856.000000	311551264.000000	
HEX 72 : 1A58B3C0	E5353C0	20C0F1	
DEC 72 : 442020800.000000	240341952.000000	2146545.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
