Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 95
DEC 56 : 93737800.000000	363565312.000000	483259104.000000	
HEX 57 : 257C25C	15914440	66E0F10	
DEC 57 : 39305820.000000	361841728.000000	107876112.000000	
HEX 58 : 13DE4B4	1F657100	E77B260	
DEC 58 : 20833460.000000	526741760.000000	242725472.000000	
HEX 59 : 7FE2C40	1C59C940	C4DA0F0	
DEC 59 : 134097984.000000	475646272.000000	206414064.000000	
HEX 60 : ED47690	1F73DDA0	BBBBBC0	
DEC 60 : 248805008.000000	527687072.000000	196852672.000000	
HEX 61 : 1146ED20	BED15D0	116215A0	
DEC 61 : 289860896.000000	200086992.000000	291640736.000000	
HEX 62 : 14346A60	1A2CCE40	14745B40	
DEC 62 : 338979424.000000	439144000.000000	343169856.000000	
HEX 63 : 44B80F0	4550380	19C646A0	
DEC 63 : 72057072.000000	72680320.000000	432424608.000000	
HEX 64 : 17CF0F0	16BAB	1449F340	
DEC 64 : 24965360.000000	93099.000000	340390720.000000	
HEX 65 : 8F28710	C7FD67	14F73F00	
DEC 65 : 150112016.000000	13106535.000000	351747840.000000	
HEX 66 : 8625690	13ACC920	D437E90	
DEC 66 : 140662416.000000	330090784.000000	222527120.000000	
HEX 67 : 14F1E96	10329F20	1FB5B960	
DEC 67 : 21962390.000000	271752992.000000	532003168.000000	
HEX 68 : E38C440	8B2C210	50A40F0	
DEC 68 : 238601280.000000	145932816.000000	84558064.000000	
HEX 69 : D81A3C0	1A1B85A0	10EA0700	
DEC 69 : 226599872.000000	438011296.000000	283772672.000000	
HEX 70 : 1AA7E080	7D1AB	13C113C0	
DEC 70 : 447209600.000000	512427.000000	331420608.000000	
HEX 71 : 2521620	17F1FB00	E9048F0	
DEC 71 : 38934048.000000	401734400.000000	244336880.000000	
HEX 72 : 165DEF00	E9919D0	170622E0	
DEC 72 : 375254784.000000	244914640.000000	386278112.000000	
HEX 73 : 7492620	7020170	76ED710	
DEC 73 : 122234400.000000	117571952.000000	124704528.000000	
HEX 74 : C953F10	15B65240	1FFE4C40	
DEC 74 : 211107600.000000	364270144.000000	536759360.000000	
HEX 75 : EF78780	193C8260	19C80780	
DEC 75 : 251103104.000000	423395936.000000	432539520.000000	
HEX 76 : F01A800	139A4840	9AE7A60	
DEC 76 : 251766784.000000	328878144.000000	162429536.000000	
HEX 77 : 15AB1960	1DC6BFE0	229C168	
DEC 77 : 363534688.000000	499564512.000000	36290920.000000	
HEX 78 : 91C35A0	FB6D110	5978AD0	
DEC 78 : 152843680.000000	263639312.000000	93817552.000000	
HEX 79 : 1E0696	E648880	5EAF968	
DEC 79 : 1967766.000000	241469568.000000	99285352.000000	
HEX 80 : 50F81E0	AF06780	168C000	
DEC 80 : 84902368.000000	183527296.000000	23642112.000000	
HEX 81 : 1C42A960	1B167000	4B371E0	
DEC 81 : 474130784.000000	454455296.000000	78868960.000000	
HEX 82 : 1A2A9440	171FD500	11035000	
DEC 82 : 438998080.000000	387962112.000000	285429760.000000	
HEX 83 : 41F14B8	1D211780	1C19B4C0	
DEC 83 : 69145784.000000	488707968.000000	471446720.000000	
HEX 84 : BBA30F0	6FD3778	1831F1E0	
DEC 84 : 196751600.000000	117258104.000000	405926368.000000	
HEX 85 : 5165B48	E7BDC80	18362EA0	
DEC 85 : 85351240.000000	242998400.000000	406204064.000000	
HEX 86 : 3AF2878	8A9D2B0	13A55EA0	
DEC 86 : 61810808.000000	145347248.000000	329604768.000000	
HEX 87 : 1FC5AF80	14B0148	4889258	
DEC 87 : 533049216.000000	21692744.000000	76059224.000000	
HEX 88 : 1ED91C40	BB025F0	1DABE1E	
DEC 88 : 517545024.000000	196093424.000000	31112734.000000	
HEX 89 : C6E969	10C31D00	1035D9E0	
DEC 89 : 13035881.000000	281222400.000000	271964640.000000	
HEX 90 : 1F00B700	55182B0	1F750F00	
DEC 90 : 520140544.000000	89227952.000000	527765248.000000	
HEX 91 : EB83800	38AD8C0	1F435D20	
DEC 91 : 246953984.000000	59431104.000000	524508448.000000	
HEX 92 : 3FA6E20	1C9E55C0	45AC440	
DEC 92 : 66743840.000000	480138688.000000	73057344.000000	
HEX 93 : 3ED4DA4	390E9E0	2F570F	
DEC 93 : 65883556.000000	59828704.000000	3102479.000000	
HEX 94 : DD1E350	16484	F473AD0	
DEC 94 : 231859024.000000	91268.000000	256326352.000000	
HEX 95 : 81A9DA0	16AEE	1E9E55A0	
DEC 95 : 135962016.000000	92910.000000	513693088.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
