Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
DEC 56 : 207141712.000000	449721536.000000	3127175.000000	
HEX 57 : 28AD2	10860B40	1A5864C0	
DEC 57 : 166610.000000	277220160.000000	442000576.000000	
HEX 58 : 61BAFC0	AA6B880	A09B970	
DEC 58 : 102477760.000000	178698368.000000	168409456.000000	
HEX 59 : 1A2224C0	764DD30	13BA2880	
DEC 59 : 438445248.000000	124050736.000000	330967168.000000	
HEX 60 : 19DD5660	1594F2E0	17CC7880	
DEC 60 : 433935968.000000	362083040.000000	399276160.000000	
HEX 61 : 128BE9A0	C83B4B0	118E5780	
DEC 61 : 311159200.000000	209958064.000000	294541184.000000	
HEX 62 : 15143C40	44A7968	F16B4B0	
DEC 62 : 353647680.000000	71989608.000000	253146288.000000	
HEX 63 : 1F5734C0	1B42AD20	B0A1B50	
DEC 63 : 525808832.000000	457354528.000000	185211728.000000	
HEX 64 : 138423C0	7BF20F0	174D43C0	
DEC 64 : 327427008.000000	129966320.000000	390939584.000000	
HEX 65 : 10BE55A0	12F04B40	77821E0	
DEC 65 : 280909216.000000	317737792.000000	125313504.000000	
HEX 66 : 6FB1DE0	15440B40	1A5B16A0	
DEC 66 : 117120480.000000	356780864.000000	442177184.000000	
HEX 67 : F853B50	11EE5880	1B6000	
DEC 67 : 260389712.000000	300832896.000000	1794048.000000	
HEX 68 : 46AC658	109FAE20	143CF000	
DEC 68 : 74106456.000000	278900256.000000	339537920.000000	
HEX 69 : 17189B00	EE86E20	7C494B8	
DEC 69 : 387488512.000000	250113568.000000	130323640.000000	
HEX 70 : 1BE96800	1987696	202C4B4	
DEC 70 : 468281344.000000	26769046.000000	33735860.000000	
HEX 71 : 1C7FF960	1DB19880	14C3A6A0	
DEC 71 : 478148960.000000	498178176.000000	348366496.000000	
HEX 72 : 1A9B7A20	6D22C40	7BB7C40	
DEC 72 : 446396960.000000	114437184.000000	129727552.000000	
HEX 73 : 1FB019E0	19AFC780	1A48CA60	
DEC 73 : 531634656.000000	430950272.000000	440978016.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
