Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 56 : 35741E0	AD43970	122DC1E0	
DEC 56 : 56050144.000000	181680496.000000	304988640.000000	
HEX 57 : 5053B88	495DF10	169EF100	
DEC 57 : 84229000.000000	76930832.000000	379515136.000000	
HEX 58 : 1FBB2080	42AD2D0	99B8FC0	
DEC 58 : 532357248.000000	69915344.000000	161189824.000000	
HEX 59 : 8ABBFC0	16BE5B40	A719480	
DEC 59 : 145473472.000000	381573952.000000	175215744.000000	
HEX 60 : AE8000	FB8CC40	1E3A5DA0	
DEC 60 : 11436032.000000	263769152.000000	507141536.000000	
HEX 61 : 833F170	109A3A60	111FB2E0	
DEC 61 : 137621872.000000	278542944.000000	287290080.000000	
HEX 62 : 1B060700	A11BD30	3B96E5C	
DEC 62 : 453379840.000000	168934704.000000	62484060.000000	
HEX 63 : 66C9078	18C0B1E0	12E58E60	
DEC 63 : 107778168.000000	415281632.000000	317034080.000000	
HEX 64 : 1249E6E0	56980F0	134A3D20	
DEC 64 : 306833120.000000	90800368.000000	323632416.000000	
HEX 65 : 129CC78	12627B40	131D1560	
DEC 65 : 19516536.000000	308443968.000000	320673120.000000	
HEX 66 : AFB0840	15E39100	18F1DF00	
DEC 66 : 184223808.000000	367235328.000000	418504448.000000	
HEX 67 : 2F7843C	16764E20	192E5520	
DEC 67 : 49775676.000000	376852000.000000	422466848.000000	
HEX 68 : 1156C5E0	1FBC7A60	C360290	
DEC 68 : 290899424.000000	532445792.000000	204866192.000000	
HEX 69 : 8376A20	22652D4	1D5BBB40	
DEC 69 : 137849376.000000	36066004.000000	492550976.000000	
HEX 70 : 10B83100	3FAF0F	6D370B8	
DEC 70 : 280506624.000000	4173583.000000	114520248.000000	
HEX 71 : 5C9EF48	1813C960	2D4FA5C	
DEC 71 : 97120072.000000	403949920.000000	47512156.000000	
HEX 72 : 1473A2A0	135CAF00	13335AE0	
DEC 72 : 343122592.000000	324841216.000000	322132704.000000	
HEX 73 : 7897530	5E14B4	10E9FC40	
DEC 73 : 126448944.000000	6165684.000000	283769920.000000	
HEX 74 : 85961E	1E51E1E0	1BCB6520	
