Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 24F9B4C	E743DA0	19C486A0	
DEC 56 : 343465024.000000	499512032.000000	271828384.000000	
HEX 57 : 42221E0	82B00B0	12A48B40	
DEC 57 : 69345760.000000	137035952.000000	312773440.000000	
HEX 58 : 1B099100	154BE780	66A7CB8	
DEC 58 : 453611776.000000	357296000.000000	107642040.000000	
HEX 59 : 3DDC788	FB812D0	12829520	
DEC 59 : 64866184.000000	263721680.000000	310547744.000000	
HEX 60 : F320A60	1D5B51E0	1C12000	
DEC 60 : 254937696.000000	492524000.000000	29433856.000000	
HEX 61 : C991E20	623B6D0	1AB4D2E0	
DEC 61 : 211361312.000000	103003856.000000	448058080.000000	
HEX 62 : F9A9880	FC1F930	18BD9780	
DEC 62 : 261789824.000000	264370480.000000	415078272.000000	
HEX 63 : 1815AD20	F688D70	23D0078	
DEC 63 : 404073760.000000	258510192.000000	37552248.000000	
HEX 64 : C512970	F9CCA20	5D28348	
DEC 64 : 206645616.000000	261933600.000000	97682248.000000	
HEX 65 : 12E16880	190CC080	1ADD61E0	
DEC 65 : 316762240.000000	420266112.000000	450716128.000000	
HEX 66 : B304780	6F30C00	52409E0	
DEC 66 : 187713408.000000	116591616.000000	86247904.000000	
HEX 67 : 11349F00	161EE440	13695340	
DEC 67 : 288661248.000000	371123264.000000	325669696.000000	
HEX 68 : 18244D20	C70FDE0	12704440	
DEC 68 : 405032224.000000	208731616.000000	309347392.000000	
HEX 69 : F3AAE20	8AF2040	B40B3C0	
DEC 69 : 255503904.000000	145694784.000000	188789696.000000	
HEX 70 : 1547F3C0	5F70CF0	F0DD9E0	
DEC 70 : 357036992.000000	100076784.000000	252565984.000000	
HEX 71 : 782B4B	5E2A078	C3AF260	
DEC 71 : 7875403.000000	98738296.000000	205189728.000000	
HEX 72 : 1DB194C0	142986E0	15203000	
DEC 72 : 498177216.000000	338265824.000000	354430976.000000	
HEX 73 : 175726A0	B9ABA20	1D91FC40	
DEC 73 : 391587488.000000	194689568.000000	496106560.000000	
HEX 74 : 11ACF100	AE7EB10	3688E20	
DEC 74 : 296546560.000000	182971152.000000	57183776.000000	
HEX 75 : 83434B0	14409BC0	28A52D	
DEC 75 : 137639088.000000	339778496.000000	2663725.000000	
HEX 76 : 186A0E20	1BFFE880	94812D0	
DEC 76 : 409603616.000000	469756032.000000	155718352.000000	
HEX 77 : B3D2F10	13C3EEA0	C0278F0	
DEC 77 : 188559120.000000	331607712.000000	201488624.000000	
HEX 78 : 6300E20	1C8D56A0	170BE3C0	
DEC 78 : 103812640.000000	479024800.000000	386655168.000000	
HEX 79 : 16FB7780	9311220	8779DA0	
DEC 79 : 385578880.000000	154210848.000000	142056864.000000	
HEX 80 : 1002B4C0	BFDF130	1F3F7B40	
DEC 80 : 268612800.000000	201191728.000000	524254016.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
