Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
DEC 55 : 294036224.000000	70503120.000000	465925664.000000	
HEX 56 : 19F766A0	10D5E800	1DEEE780	
DEC 56 : 435644064.000000	282454016.000000	502196096.000000	
HEX 57 : 1DFD5520	5CCE000	141AF260	
DEC 57 : 503141664.000000	97312768.000000	337310304.000000	
HEX 58 : B6ECE90	19CDD440	1D0EF2E0	
DEC 58 : 191811216.000000	432919616.000000	487518944.000000	
HEX 59 : 1015D480	107B4340	11CA8960	
DEC 59 : 269866112.000000	276513600.000000	298486112.000000	
HEX 60 : F143440	134A9C40	1BED7440	
DEC 60 : 252982336.000000	323656768.000000	468546624.000000	
HEX 61 : 1480CE60	EE0D080	1922D080	
DEC 61 : 343985760.000000	249614464.000000	421712000.000000	
HEX 62 : 1EA6A6A0	1FEC0000	18345000	
DEC 62 : 514238112.000000	535560192.000000	406081536.000000	
HEX 63 : 10199D00	1A850F0	BD6800	
DEC 63 : 270114048.000000	27807984.000000	12412928.000000	
HEX 64 : 739DA5	10A5ADA0	10E89EA0	
DEC 64 : 7576997.000000	279293344.000000	283680416.000000	
HEX 65 : 7EB68B8	36CFE20	13EFE340	
DEC 65 : 132868280.000000	57474592.000000	334488384.000000	
HEX 66 : 4C77530	2D703C4	4D1FE98	
DEC 66 : 80180528.000000	47645636.000000	80871064.000000	
HEX 67 : 192BA920	16CA8900	18BB4BC0	
DEC 67 : 422291744.000000	382372096.000000	414927808.000000	
HEX 68 : D579DE0	981CAD0	149C9620	
DEC 68 : 223845856.000000	159501008.000000	345806368.000000	
HEX 69 : BF28000	1CDD8260	2EA8E20	
DEC 69 : 200441856.000000	484278880.000000	48926240.000000	
HEX 70 : 1EA3BF80	1B926D20	11361CC0	
DEC 70 : 514047872.000000	462581024.000000	288758976.000000	
HEX 71 : C160690	5B7CE98	DE1E5A0	
DEC 71 : 202770064.000000	95932056.000000	232908192.000000	
HEX 72 : 11A43F40	ED70E20	436C710	
DEC 72 : 295976768.000000	248974880.000000	70698768.000000	
HEX 73 : EA6BC00	B27B710	1C10F5A0	
DEC 73 : 245808128.000000	187152144.000000	470873504.000000	
HEX 74 : 1E841880	10DA2080	17A8C9E0	
DEC 74 : 511973504.000000	282730624.000000	396937696.000000	
HEX 75 : 18484F40	AA5B4B0	7885BC0	
DEC 75 : 407392064.000000	178631856.000000	126376896.000000	
HEX 76 : 548BED0	2269F10	CA8FCB0	
DEC 76 : 88653520.000000	36085520.000000	212401328.000000	
HEX 77 : 1A567660	B124710	1028C3C0	
DEC 77 : 441874016.000000	185747216.000000	271107008.000000	
HEX 78 : 1E3C3080	270F620	74D8878	
DEC 78 : 507261056.000000	40957472.000000	122521720.000000	
HEX 79 : 16402DE0	39418F0	591FB48	
DEC 79 : 373304800.000000	60037360.000000	93453128.000000	
HEX 80 : 1658B7C0	1CA811E0	12CDADA0	
DEC 80 : 374912960.000000	480776672.000000	315469216.000000	
HEX 81 : 180289E0	1DB28960	ABA2530	
DEC 81 : 402819552.000000	498239840.000000	179971376.000000	
HEX 82 : 3743388	15AE45A0	15A89BC0	
DEC 82 : 57947016.000000	363742624.000000	363371456.000000	
HEX 83 : D0875E0	EF73C40	ABA58F0	
DEC 83 : 218658272.000000	251083840.000000	179984624.000000	
HEX 84 : 920A6D0	6294348	1D2E22E0	
DEC 84 : 153134800.000000	103367496.000000	489562848.000000	
HEX 85 : 14F476E0	75463C0	15D68100	
DEC 85 : 351565536.000000	122971072.000000	366379264.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
