Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 57 : 18389000	1F715F80	5C1B110	
DEC 57 : 406360064.000000	527523712.000000	96579856.000000	
HEX 58 : F05F800	56F66D0	E7E1C50	
DEC 58 : 252049408.000000	91186896.000000	243145808.000000	
HEX 59 : 125EA900	F6997C0	4983690	
DEC 59 : 308193536.000000	258578368.000000	77084304.000000	
HEX 60 : 1FCEA2E0	6A07658	CC5A130	
DEC 60 : 533635808.000000	111179352.000000	214278448.000000	
HEX 61 : 1F854780	163EA340	B750	
DEC 61 : 528828288.000000	373203776.000000	46928.000000	
HEX 62 : DCBA690	AD9AFC0	1B6229	
DEC 62 : 231450256.000000	182038464.000000	1794601.000000	
HEX 63 : C5444B0	1CCF53C0	1772A960	
DEC 63 : 206849200.000000	483349440.000000	393390432.000000	
HEX 64 : 1C0A0880	EA62840	CD87D50	
DEC 64 : 470419584.000000	245770304.000000	215514448.000000	
HEX 65 : 74458F0	E538E20	1843F30	
DEC 65 : 121919728.000000	240356896.000000	25444144.000000	
HEX 66 : 86C4B5	1AA3FBC0	C071	
DEC 66 : 8832181.000000	446954432.000000	49265.000000	
HEX 67 : C5D9780	BD05CB0	17F8A920	
DEC 67 : 207460224.000000	198204592.000000	402172192.000000	
HEX 68 : 1F13C3	8873620	13067800	
DEC 68 : 2036675.000000	143078944.000000	319191040.000000	
HEX 69 : 51CCDA8	1770FAA0	1B396520	
DEC 69 : 85773736.000000	393280160.000000	456746272.000000	
HEX 70 : DD594B0	4A25788	7083030	
DEC 70 : 232101040.000000	77748104.000000	117977136.000000	
HEX 71 : F92CB50	14AF3260	C032	
DEC 71 : 261278544.000000	347026016.000000	49202.000000	
HEX 72 : 1A04AA60	18332EE0	4C187D8	
DEC 72 : 436513376.000000	406007520.000000	79792088.000000	
HEX 73 : B56969	175434C0	10CB0A00	
DEC 73 : 11889001.000000	391394496.000000	281741824.000000	
HEX 74 : 122A8700	7F66348	151B0CA0	
DEC 74 : 304776960.000000	133587784.000000	354094240.000000	
HEX 75 : 19552100	C8B56D0	19D24760	
DEC 75 : 425009408.000000	210458320.000000	433211232.000000	
HEX 76 : 17E8E6A0	16496740	118DB340	
DEC 76 : 401139360.000000	373909312.000000	294499136.000000	
HEX 77 : 1BDDFC40	16DC8B4	51320F8	
DEC 77 : 467532864.000000	23972020.000000	85139704.000000	
HEX 78 : F7EE97	10B2CB4	13039D20	
DEC 78 : 16248471.000000	17509556.000000	319003936.000000	
HEX 79 : 1B9E44C0	1CF47440	1733D940	
DEC 79 : 463357120.000000	485782592.000000	389273920.000000	
HEX 80 : 12887F80	17297BC0	677DE40	
DEC 80 : 310935424.000000	388594624.000000	108518976.000000	
HEX 81 : 8BF85A0	18E69DA0	35F49	
DEC 81 : 146769312.000000	417766816.000000	221001.000000	
HEX 82 : 16645C40	1E1B6CC0	11E80020	
DEC 82 : 375675968.000000	505113792.000000	300417056.000000	
HEX 83 : 7F683C0	8F92690	1072F1C0	
DEC 83 : 133596096.000000	150546064.000000	275968448.000000	
HEX 84 : B397170	12FD4B80	1ADC4340	
DEC 84 : 188313968.000000	318589824.000000	450642752.000000	
HEX 85 : 1378CCC0	1D1F4520	19CF2F60	
DEC 85 : 326683840.000000	488588576.000000	433008480.000000	
HEX 86 : 193FBB40	30FB0F0	12470F60	
DEC 86 : 423607104.000000	51359984.000000	306646880.000000	
HEX 87 : 16EA21E0	EFD8970	131F9CE0	
DEC 87 : 384442848.000000	251496816.000000	320838880.000000	
HEX 88 : 113B8DA0	163FB880	17B3FC60	
DEC 88 : 289115552.000000	373274752.000000	397671520.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
