Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 6A9F710	DE17F10	1F48EB40	
DEC 56 : 113628704.000000	322491328.000000	435854400.000000	
HEX 57 : D803C4	4EB0D30	4B10698	
DEC 57 : 14156740.000000	82513200.000000	78710424.000000	
HEX 58 : 1021B160	AC3F000	59334B8	
DEC 58 : 270643552.000000	180613120.000000	93533368.000000	
HEX 59 : ADFE0F0	171911E0	4F0F698	
DEC 59 : 182444272.000000	387518944.000000	82900632.000000	
HEX 60 : 586BC4	1FC69E20	8AB1C40	
DEC 60 : 5794756.000000	533110304.000000	145431616.000000	
HEX 61 : 3EA3698	133BAB40	12161B40	
DEC 61 : 65681048.000000	322677568.000000	303438656.000000	
HEX 62 : 17BC1700	18B31B40	C28C4B0	
DEC 62 : 398202624.000000	414391104.000000	203998384.000000	
HEX 63 : DC675A0	D5FBF10	1CDCF960	
DEC 63 : 231110048.000000	224378640.000000	484243808.000000	
HEX 64 : D145710	173D33C0	10B9E960	
DEC 64 : 219436816.000000	389886912.000000	280619360.000000	
HEX 65 : 146FF880	189A6D20	146E72E0	
DEC 65 : 342882432.000000	412773664.000000	342782688.000000	
HEX 66 : 5F44168	23743C4	18729000	
DEC 66 : 99893608.000000	37176260.000000	410161152.000000	
HEX 67 : 3B61800	E6555A0	AF5B0F0	
DEC 67 : 62265344.000000	241522080.000000	183873776.000000	
HEX 68 : 689AD30	17ED2D	5B004B8	
DEC 68 : 109686064.000000	1568045.000000	95421624.000000	
HEX 69 : 1E946EA0	DFB05A0	CCFF1E0	
DEC 69 : 513044128.000000	234554784.000000	214954464.000000	
HEX 70 : 1685D4C0	D50A690	1F191100	
DEC 70 : 377869504.000000	223389328.000000	521736448.000000	
HEX 71 : 18B02B40	1E4A53C0	16F6F4C0	
DEC 71 : 414198592.000000	508187584.000000	385283264.000000	
HEX 72 : 16C259E0	2864788	AA39E20	
DEC 72 : 381835744.000000	42354568.000000	178495008.000000	
HEX 73 : 120BF1E0	A90E780	1755BD20	
DEC 73 : 302772704.000000	177268608.000000	391494944.000000	
HEX 74 : 6144710	1AECBB40	1D0D5D20	
DEC 74 : 101992208.000000	451722048.000000	487415072.000000	
HEX 75 : 7642A58	19169E20	154CB960	
DEC 75 : 124004952.000000	420912672.000000	357349728.000000	
HEX 76 : 1FE86A60	14E2A4C0	17B1D2E	
DEC 76 : 535325280.000000	350397632.000000	24845614.000000	
HEX 77 : 1C05E520	1B406100	629F5A8	
DEC 77 : 470148384.000000	457203968.000000	103413160.000000	
HEX 78 : 104CB440	EFE788	1067CF00	
DEC 78 : 273462336.000000	15722376.000000	275238656.000000	
HEX 79 : 228925C	6BB2E20	BE150F0	
DEC 79 : 36213340.000000	112930336.000000	199315696.000000	
HEX 80 : A3D0970	F37A1E0	709EE20	
DEC 80 : 171772272.000000	255304160.000000	118091296.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
