Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 33ED568	11E2D000	EAF6D30	
HEX 56 : 1AE2F900	16741340	F10BB50	
DEC 56 : 451082496.000000	376705856.000000	252754768.000000	
HEX 57 : 10D24A20	1DA3FB40	461E5A8	
DEC 57 : 282216992.000000	497285952.000000	73524648.000000	
HEX 58 : 1F000000	13210080	884F970	
DEC 58 : 520093696.000000	320929920.000000	142932336.000000	
HEX 59 : D186DA0	1B5064C0	180EAE20	
DEC 59 : 219704736.000000	458253504.000000	403615264.000000	
HEX 60 : 344EDE0	1400ED20	1FFDA2E0	
DEC 60 : 54848992.000000	335605024.000000	536716000.000000	
HEX 61 : 3B404B4	1FB53880	1C1F3000	
DEC 61 : 62129332.000000	531970176.000000	471805952.000000	
HEX 62 : 98D9E60	2EE2710	1C161D20	
DEC 62 : 160276064.000000	49162000.000000	471211296.000000	
HEX 63 : D72DCF0	16E22C40	F555880	
DEC 63 : 225631472.000000	383921216.000000	257251456.000000	
HEX 64 : 1699ECC0	2828C3C	1EB0E960	
DEC 64 : 379186368.000000	42110012.000000	514910560.000000	
HEX 65 : 9B2D260	39DBCB4	3BB4B4C	
DEC 65 : 162714208.000000	60669108.000000	62606156.000000	
HEX 66 : 178C6900	10F46F80	B26D970	
DEC 66 : 395077888.000000	284454784.000000	187095408.000000	
HEX 67 : D2C7130	916D000	1E76C780	
DEC 67 : 221016368.000000	152489984.000000	511100800.000000	
HEX 68 : C464220	13A98000	1DB55000	
DEC 68 : 205931040.000000	329875456.000000	498421760.000000	
HEX 69 : 1D05D800	1CC19000	12D0C3C0	
DEC 69 : 486922240.000000	482447360.000000	315671488.000000	
HEX 70 : FB92FC0	1AECBA60	1FE15000	
DEC 70 : 263794624.000000	451721824.000000	534859776.000000	
HEX 71 : 18D77700	31CF1E0	9E5B970	
DEC 71 : 416773888.000000	52228576.000000	166050160.000000	
HEX 72 : 15C252E0	65F25A	17835D20	
DEC 72 : 365056736.000000	6681178.000000	394485024.000000	
HEX 73 : 9F58660	BABE350	17A60100	
DEC 73 : 167085664.000000	195814224.000000	396755200.000000	
HEX 74 : CCF2780	99F5DA0	76BA878	
DEC 74 : 214902656.000000	161439136.000000	124495992.000000	
HEX 75 : 1F425100	743C078	1187B4C0	
DEC 75 : 524439808.000000	121880696.000000	294106304.000000	
HEX 76 : 73D9B48	DB5F0F0	1ED3F880	
DEC 76 : 121477960.000000	230027504.000000	517208192.000000	
HEX 77 : FA5E1A0	7C40530	11BBB880	
DEC 77 : 262529440.000000	130286896.000000	297515136.000000	
HEX 78 : 133B89A0	AD383C0	BDC9880	
DEC 78 : 322668960.000000	181633984.000000	199006336.000000	
HEX 79 : 87A2E60	1A2943C0	1DE41C40	
DEC 79 : 142224992.000000	438911936.000000	501488704.000000	
HEX 80 : 2CD56D4	19CA04C0	D4B6F10	
DEC 80 : 47011540.000000	432669888.000000	223047440.000000	
HEX 81 : 9F72BC0	FB12440	28F2968	
DEC 81 : 167193536.000000	263267392.000000	42936680.000000	
