Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
DEC 56 : 452532096.000000	492413312.000000	18384414.000000	
HEX 57 : 119DD700	17046900	13B752E0	
DEC 57 : 295556864.000000	386164992.000000	330781408.000000	
HEX 58 : 14118E20	1DAD9480	5737698	
DEC 58 : 336694816.000000	497915008.000000	91453080.000000	
HEX 59 : 4ADB5A8	75AF900	1515F9A0	
DEC 59 : 78493096.000000	123402496.000000	353761696.000000	
HEX 60 : CC66000	1A7AA020	72FB440	
DEC 60 : 214327296.000000	444244000.000000	120566848.000000	
HEX 61 : 1C4E9440	16C2A	11348440	
DEC 61 : 474911808.000000	93226.000000	288654400.000000	
HEX 62 : BF24F10	2D3AB34	19D06E60	
DEC 62 : 200429328.000000	47426356.000000	433090144.000000	
HEX 63 : 9654DA0	FC3E980	11A15040	
DEC 63 : 157633952.000000	264497536.000000	295784512.000000	
HEX 64 : 15915340	49DCE	1805D500	
DEC 64 : 361845568.000000	302542.000000	403035392.000000	
HEX 65 : 18765AE0	1967C060	1174FB40	
DEC 65 : 410409696.000000	426229856.000000	292879168.000000	
HEX 66 : 75659E0	1978332	FED0E20	
DEC 66 : 123099616.000000	26706738.000000	267193888.000000	
HEX 67 : 1E487F00	716D950	162D8D20	
DEC 67 : 508067584.000000	118937936.000000	372084000.000000	
HEX 68 : 12D23800	1AD229C0	1FA2B780	
DEC 68 : 315766784.000000	449980864.000000	530757504.000000	
HEX 69 : 12B19CC0	17A4D7A0	B7D7780	
DEC 69 : 313629888.000000	396679072.000000	192771968.000000	
HEX 70 : 11BD1800	93CE3C0	F84EA90	
DEC 70 : 297605120.000000	154985408.000000	260369040.000000	
HEX 71 : 1BB5DA6	9D3BC00	FED478	
DEC 71 : 29056422.000000	164871168.000000	16700536.000000	
HEX 72 : 4649440	7616AD0	1D65C160	
DEC 72 : 73700416.000000	123824848.000000	493207904.000000	
HEX 73 : 3796698	16B2D	1630F000	
DEC 73 : 58287768.000000	92973.000000	372305920.000000	
HEX 74 : 1B7C5880	C594AB0	DB829A0	
DEC 74 : 461133952.000000	207178416.000000	230173088.000000	
HEX 75 : B9380F0	99C8990	1D0EE440	
DEC 75 : 194216176.000000	161253776.000000	487515200.000000	
HEX 76 : 83C24B0	16B2D	89EDB80	
DEC 76 : 138159280.000000	92973.000000	144628608.000000	
HEX 77 : 2977A5C	2B6A224	35B7BC4	
DEC 77 : 43481692.000000	45523492.000000	56327108.000000	
HEX 78 : 19251100	F99E710	D9A1A6	
DEC 78 : 421859584.000000	261744400.000000	14262694.000000	
HEX 79 : D8E28F0	49B9A10	B4E0040	
DEC 79 : 227420400.000000	77306384.000000	189661248.000000	
HEX 80 : 14692CC0	23166D0	956E5A0	
DEC 80 : 342437056.000000	36792016.000000	156689824.000000	
HEX 81 : 164FDAE0	B602000	16B2EC00	
DEC 81 : 374332128.000000	190849024.000000	380824576.000000	
HEX 82 : EDF0710	1E17E300	109E4B40	
DEC 82 : 249497360.000000	504881920.000000	278809408.000000	
HEX 83 : 29735A4	1137B980	2267AD4	
DEC 83 : 43464100.000000	288864640.000000	36076244.000000	
HEX 84 : B472440	16969D00	EEC39E0	
DEC 84 : 189211712.000000	378969344.000000	250362336.000000	
