Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 69
DEC 56 : 34562772.000000	189831040.000000	321582752.000000	
HEX 57 : 1CEE2D2	1CE16B40	1C12D880	
DEC 57 : 30335698.000000	484535104.000000	470997120.000000	
HEX 58 : 151E1	128B1B40	13A204C0	
DEC 58 : 86497.000000	311106368.000000	329385152.000000	
HEX 59 : 13F371E0	1FDF93C0	15570F00	
DEC 59 : 334721504.000000	534746048.000000	358027008.000000	
HEX 60 : 281CB4C	3CDD478	12E29960	
DEC 60 : 42060620.000000	63820920.000000	316840288.000000	
HEX 61 : 282D3C4	18EDCFC0	10875000	
DEC 61 : 42128324.000000	418238400.000000	277303296.000000	
HEX 62 : 159E6100	2DAE788	14323E20	
DEC 62 : 362701056.000000	47900552.000000	338837024.000000	
HEX 63 : A516E20	1BA26E60	30B52D4	
DEC 63 : 173108768.000000	463629920.000000	51073748.000000	
HEX 64 : 5B4C788	B68B3C0	1A51A5A	
DEC 64 : 95733640.000000	191411136.000000	27597402.000000	
HEX 65 : 186C85A0	FACE3C0	AAD3780	
DEC 65 : 409765280.000000	262988736.000000	179124096.000000	
HEX 66 : 187E7100	1A48FDA0	1324C4C0	
DEC 66 : 410939648.000000	440991136.000000	321176768.000000	
HEX 67 : 122A5880	1C84A4C0	52E2878	
DEC 67 : 304765056.000000	478454976.000000	86911096.000000	
HEX 68 : 187E71E0	11805F80	15C24100	
DEC 68 : 410939872.000000	293625728.000000	365052160.000000	
HEX 69 : 173A81E0	17788B4	92E8A60	
DEC 69 : 389710304.000000	24610996.000000	154045024.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
