Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
DEC 56 : 466615424.000000	140831200.000000	152737376.000000	
HEX 57 : 183BB0E0	1FA742E0	179AF700	
DEC 57 : 406565088.000000	531055328.000000	396031744.000000	
HEX 58 : D2EE510	1095B88	BF35	
DEC 58 : 221177104.000000	17390472.000000	48949.000000	
HEX 59 : 5F7F5	C9CB130	D4E548	
DEC 59 : 391157.000000	211595568.000000	13952328.000000	
HEX 60 : 1B6F9000	102D97C0	AB988C0	
DEC 60 : 460296192.000000	271423424.000000	179931328.000000	
HEX 61 : 1B1C68C0	FACF970	123AF800	
DEC 61 : 454846656.000000	262994288.000000	305854464.000000	
HEX 62 : 121965E0	1A383340	A991590	
DEC 62 : 303654368.000000	439890752.000000	177804688.000000	
HEX 63 : 661A120	FCA697	33B4E24	
DEC 63 : 107061536.000000	16557719.000000	54218276.000000	
HEX 64 : 1181DDC0	14BF79A0	1AACEE60	
DEC 64 : 293723584.000000	348092832.000000	447540832.000000	
HEX 65 : 5F7B6	1D11DE20	15F97FE0	
DEC 65 : 391094.000000	487710240.000000	368672736.000000	
HEX 66 : 8A53860	167970C0	C0B0	
DEC 66 : 145045600.000000	377057472.000000	49328.000000	
HEX 67 : A602BD0	635D078	E078E10	
DEC 67 : 174074832.000000	104190072.000000	235376144.000000	
HEX 68 : 60AF5	1FF8D520	EE20A60	
DEC 68 : 396021.000000	536401184.000000	249694816.000000	
HEX 69 : 5F63B	153B64C0	1E3C04C0	
DEC 69 : 390715.000000	356213952.000000	507249856.000000	
HEX 70 : 1A880780	1B5CB700	A68E330	
DEC 70 : 445122432.000000	459060992.000000	174646064.000000	
HEX 71 : A4D15B0	AD3BDE0	1E585500	
DEC 71 : 172823984.000000	181648864.000000	509105408.000000	
HEX 72 : 1E325A60	2042298	C032	
DEC 72 : 506616416.000000	33825432.000000	49202.000000	
HEX 73 : 1DE096A0	EDB6A90	3B9CA2C	
DEC 73 : 501257888.000000	249260688.000000	62507564.000000	
HEX 74 : 11F21AC	C1567C0	A926C40	
DEC 74 : 18817452.000000	202729408.000000	177368128.000000	
HEX 75 : 5E91A18	10C8BB40	1FBBDD00	
DEC 75 : 99162648.000000	281590592.000000	532405504.000000	
HEX 76 : 4415660	7AEE440	1B247F20	
DEC 76 : 71390816.000000	128902208.000000	455376672.000000	
HEX 77 : 1D1F07C0	1CD09160	1C958920	
DEC 77 : 488572864.000000	483430752.000000	479562016.000000	
HEX 78 : 3757BA0	1909D300	109F9200	
DEC 78 : 58031008.000000	420074240.000000	278893056.000000	
HEX 79 : 16432F60	1124FC4	11AEC160	
DEC 79 : 373501792.000000	17977284.000000	296665440.000000	
HEX 80 : 1DFC0FA0	1566A100	C0F0	
DEC 80 : 503058336.000000	359047424.000000	49392.000000	
HEX 81 : 11ECB620	49DA400	CA6BF30	
DEC 81 : 300725792.000000	77440000.000000	212254512.000000	
HEX 82 : 64A7330	885C4B0	B596	
DEC 82 : 105542448.000000	142984368.000000	46486.000000	
HEX 83 : 1ABF7520	8A90ED0	CF730B	
DEC 83 : 448754976.000000	145297104.000000	13595403.000000	
HEX 84 : F8A1E00	5870658	5917150	
DEC 84 : 260709888.000000	92735064.000000	93417808.000000	
HEX 85 : 127F4D40	11747120	AE967D0	
DEC 85 : 310332736.000000	292843808.000000	183068624.000000	
