Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 1 : 182BC2E0	A07D3C0	188E1E	
DEC 56 : 520374272.000000	474333920.000000	182898272.000000	
HEX 57 : 12899160	C712780	BA7C970	
DEC 57 : 311005536.000000	208742272.000000	195545456.000000	
HEX 58 : 89C7970	1A79BC40	15733E60	
DEC 58 : 144472432.000000	444185664.000000	359874144.000000	
HEX 59 : F935710	1B456100	7B556D0	
DEC 59 : 261314320.000000	457531648.000000	129324752.000000	
HEX 60 : FFDCE20	1823DE20	15A54D60	
DEC 60 : 268291616.000000	405003808.000000	363154784.000000	
HEX 61 : 19FE06A0	90C5F10	8BAA040	
DEC 61 : 436078240.000000	151805712.000000	146448448.000000	
HEX 62 : 146CBA60	1E10F5A0	1782FB40	
DEC 62 : 342669920.000000	504427936.000000	394459968.000000	
HEX 63 : 1B482440	14A9DB40	1652E6E0	
DEC 63 : 457712704.000000	346676032.000000	374531808.000000	
HEX 64 : 10034EA0	11C88F00	119C3F80	
DEC 64 : 268652192.000000	298356480.000000	295452544.000000	
HEX 65 : 71855A8	15F8CD20	1BA82DE0	
DEC 65 : 119035304.000000	368626976.000000	464006624.000000	
HEX 66 : 1445D340	1254C4C0	17CB6F40	
DEC 66 : 340120384.000000	307545280.000000	399208256.000000	
HEX 67 : 4E8FCB8	12130D20	982AED0	
DEC 67 : 82377912.000000	303238432.000000	159559376.000000	
HEX 68 : 17B42D20	4FF6A58	17B49F80	
DEC 68 : 397684000.000000	83847768.000000	397713280.000000	
HEX 69 : 1E9E7F80	897E780	1BD36620	
DEC 69 : 513703808.000000	144172928.000000	466839072.000000	
HEX 70 : 1A5F52E0	1EA123C0	11E25D00	
DEC 70 : 442454752.000000	513876928.000000	300047616.000000	
HEX 71 : 3FA3800	A42C3C0	AD811A0	
DEC 71 : 66729984.000000	172147648.000000	181932448.000000	
HEX 72 : 1AC2B080	F44A970	1D3CC960	
DEC 72 : 448966784.000000	256158064.000000	490522976.000000	
HEX 73 : 1BE46080	58EF0F	A8BF5A0	
DEC 73 : 467951744.000000	5828367.000000	176944544.000000	
HEX 74 : 6146000	1C5F696	657EA58	
DEC 74 : 101998592.000000	29750934.000000	106424920.000000	
HEX 75 : C1902D0	17E5A3C0	E696780	
DEC 75 : 202965712.000000	400925632.000000	241788800.000000	
HEX 76 : 1D9A4000	16A0E3C0	61F6B10	
DEC 76 : 496648192.000000	379642816.000000	102722320.000000	
HEX 77 : 112DB4C	F83D880	2AD3478	
DEC 77 : 18013004.000000	260298880.000000	44905592.000000	
HEX 78 : 9AE0E20	BA7788	15D74B00	
DEC 78 : 162401824.000000	12220296.000000	366430976.000000	
HEX 79 : 8939970	95992D0	141F4C00	
DEC 79 : 143890800.000000	156865232.000000	337595392.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
