Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
DEC 56 : 410941312.000000	183884144.000000	367353024.000000	
HEX 57 : 187E7100	13793E20	5B23F88	
DEC 57 : 410939648.000000	326712864.000000	95567752.000000	
HEX 58 : B6A6690	774C2D0	16F37880	
DEC 58 : 191522448.000000	125092560.000000	385054848.000000	
HEX 59 : E01B780	13E5A5A	3CB00F0	
DEC 59 : 234993536.000000	20863578.000000	63635696.000000	
HEX 60 : DC9F3C0	19617A60	181F5F00	
DEC 60 : 231338944.000000	425818720.000000	404709120.000000	
HEX 61 : 187E7000	BF74780	51FB530	
DEC 61 : 410939392.000000	200755072.000000	85964080.000000	
HEX 62 : 10DFE6A0	C62C0F0	188F7880	
DEC 62 : 283109024.000000	207798512.000000	412055680.000000	
HEX 63 : 1357FE20	11DE3C40	AF2E8F0	
DEC 63 : 324533792.000000	299777088.000000	183691504.000000	
HEX 64 : E1AF3C0	1B4C1D20	193FA5A	
DEC 64 : 236647360.000000	457973024.000000	26475098.000000	
HEX 65 : A9D3F10	7154788	1F455E20	
DEC 65 : 178077456.000000	118835080.000000	524639776.000000	
HEX 66 : 787BF10	12C02960	1123B880	
DEC 66 : 126336784.000000	314583392.000000	287553664.000000	
HEX 67 : 187E7B40	1AA4F5A0	139CE100	
DEC 67 : 410942272.000000	447018400.000000	329048320.000000	
HEX 68 : E754A60	41B34B8	10EEECC0	
DEC 68 : 242567776.000000	68891832.000000	284093632.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
