Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
DEC 56 : 94111952.000000	322730720.000000	520602080.000000	
HEX 57 : 1F490520	17973080	198D6A60	
DEC 57 : 524879136.000000	395784320.000000	428698208.000000	
HEX 58 : 1712E0A0	84F7530	DEBF5A0	
DEC 58 : 387113120.000000	139425072.000000	233567648.000000	
HEX 59 : 1F835AE0	A448CB0	C16A1E0	
DEC 59 : 528702176.000000	172264624.000000	202809824.000000	
HEX 60 : 181635C0	1957A3C0	3731A5C	
DEC 60 : 404108736.000000	425173952.000000	57875036.000000	
HEX 61 : 11ADAB60	51F1788	9BFBE20	
DEC 61 : 296594272.000000	85923720.000000	163560992.000000	
HEX 62 : 76FBAF0	EB09080	72BBB48	
DEC 62 : 124762864.000000	246452352.000000	120306504.000000	
HEX 63 : 868B360	678E348	13965F00	
DEC 63 : 141079392.000000	108585800.000000	328621824.000000	
HEX 64 : 1E31216	1F697780	12F50780	
DEC 64 : 31658518.000000	527005568.000000	318048128.000000	
HEX 65 : 3A092A4	1E6E11E0	727DF10	
DEC 65 : 60854948.000000	510530016.000000	120053520.000000	
HEX 66 : 1CC0C300	602F3C0	186596A	
DEC 66 : 482394880.000000	100856768.000000	25581930.000000	
HEX 67 : 54B5E48	109EC6A0	16CFD3C0	
DEC 67 : 88825416.000000	278840992.000000	382718912.000000	
HEX 68 : 5F7B6	B583E90	81D53C0	
DEC 68 : 391094.000000	190332560.000000	136139712.000000	
HEX 69 : 8494BD0	1EC58B40	16DF6100	
DEC 69 : 139021264.000000	516262720.000000	383738112.000000	
HEX 70 : 85881E0	CB46800	1C78EE20	
DEC 70 : 140018144.000000	213149696.000000	477687328.000000	
HEX 71 : 104D4700	8818170	11677E20	
DEC 71 : 273499904.000000	142705008.000000	291995168.000000	
HEX 72 : 24F9A24	11868260	BE6CB50	
DEC 72 : 38771236.000000	294027872.000000	199674704.000000	
HEX 73 : 1FAEEFC0	2DE3E98	AB4F880	
DEC 73 : 531558336.000000	48119448.000000	179632256.000000	
HEX 74 : 1E0AF34	98A3E90	1A45CF00	
DEC 74 : 31502132.000000	160054928.000000	440782592.000000	
HEX 75 : 5ECDB	DF8CE20	12220780	
DEC 75 : 388315.000000	234409504.000000	304220032.000000	
HEX 76 : 6C975A8	1B452DA0	DE653C0	
DEC 76 : 113866152.000000	457518496.000000	233198528.000000	
HEX 77 : 132E3960	1F362C40	4A2CC40	
DEC 77 : 321796448.000000	523643968.000000	77777984.000000	
HEX 78 : 5F384	E66B170	13BBA5A	
DEC 78 : 390020.000000	241611120.000000	20691546.000000	
HEX 79 : 18040D00	1F732340	A66E970	
DEC 79 : 402918656.000000	527639360.000000	174516592.000000	
HEX 80 : 11BFFBA0	A6284B0	190F6880	
DEC 80 : 297794464.000000	174228656.000000	420440192.000000	
HEX 81 : 35EF4F4	3B7852C	9277A60	
DEC 81 : 56554740.000000	62358828.000000	153582176.000000	
HEX 82 : A51AE60	5C671E0	B333D30	
DEC 82 : 173125216.000000	96891360.000000	187907376.000000	
HEX 83 : 1181F560	183DED20	6F104B8	
DEC 83 : 293729632.000000	406711584.000000	116458680.000000	
HEX 84 : 76303A8	19773080	17621E2	
DEC 84 : 123929512.000000	427241600.000000	24519138.000000	
HEX 85 : 5FA6D	18C54340	BBB93C0	
DEC 85 : 391789.000000	415580992.000000	196842432.000000	
HEX 86 : 163A150	3A5787	FCA91E0	
DEC 86 : 23306576.000000	3823495.000000	264933856.000000	
HEX 87 : 11BEEC	14A70CC0	56DEF10	
DEC 87 : 1162988.000000	346492096.000000	91090704.000000	
HEX 88 : 13806EC0	1E31F260	1E5164C0	
DEC 88 : 327184064.000000	506589792.000000	508650688.000000	
HEX 89 : 172AF280	88AB440	5E4FB48	
DEC 89 : 388690560.000000	143307840.000000	98892616.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
