Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 71
HEX 1 : 69835D0	8F3D1E0	1ADDF5A0	
DEC 56 : 130475928.000000	333237312.000000	374906400.000000	
HEX 57 : 17A808E0	3AE3A5C	14015D20	
DEC 57 : 396888288.000000	61749852.000000	335633696.000000	
HEX 58 : 12E8E880	149A21E0	10849100	
DEC 58 : 317253760.000000	345645536.000000	277123328.000000	
HEX 59 : 15179B40	40DA698	CEFA2D0	
DEC 59 : 353868608.000000	68003480.000000	217031376.000000	
HEX 60 : 58CCD20	12C27C40	621B0F0	
DEC 60 : 93113632.000000	314735680.000000	102871280.000000	
HEX 61 : 15C104A0	125A26A0	2EE70F0	
DEC 61 : 364971168.000000	307898016.000000	49180912.000000	
HEX 62 : 1C44E600	37CFA5C	6A2D788	
DEC 62 : 474277376.000000	58522204.000000	111335304.000000	
HEX 63 : 4032450	C3B7970	D7C85A0	
DEC 63 : 67314768.000000	205224304.000000	226264480.000000	
HEX 64 : 1ABFAC80	11F0F6A0	88CF0F0	
DEC 64 : 448769152.000000	301004448.000000	143454448.000000	
HEX 65 : 12562AA0	1A674B4	18F02F00	
DEC 65 : 307636896.000000	27686068.000000	418393856.000000	
HEX 66 : 149A7EA0	64640F0	186DF10	
DEC 66 : 345669280.000000	105267440.000000	25616144.000000	
HEX 67 : 1DDF1BC0	B1D3C40	92045A0	
DEC 67 : 501160896.000000	186465344.000000	153109920.000000	
HEX 68 : 5F7B6	17A56C40	4A00E20	
DEC 68 : 391094.000000	396717120.000000	77598240.000000	
HEX 69 : 5F6F9	61AB000	8C4F970	
DEC 69 : 390905.000000	102412288.000000	147126640.000000	
HEX 70 : 4314B30	1879F2E0	AD6F780	
DEC 70 : 70339376.000000	410645216.000000	181860224.000000	
HEX 71 : EB529A0	121825A0	1D5D45A0	
DEC 71 : 246753696.000000	303572384.000000	492651936.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
