Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 75
DEC 56 : 354785152.000000	410641600.000000	215133200.000000	
HEX 57 : 4080B48	A0A9970	B9D0F60	
DEC 57 : 67636040.000000	168466800.000000	194842464.000000	
HEX 58 : 1B3FFC40	F550C40	774CBB8	
DEC 58 : 457178176.000000	257231936.000000	125094840.000000	
HEX 59 : 11874B4	85E1F10	1A92D0C0	
DEC 59 : 18379956.000000	140386064.000000	445829312.000000	
HEX 60 : A6C6690	1879E2E0	C7D8610	
DEC 60 : 174876304.000000	410641120.000000	209552912.000000	
HEX 61 : 1584E880	11411960	C032	
DEC 61 : 361031808.000000	289479008.000000	49202.000000	
HEX 62 : A1B5A6	F5AE0F0	1376CD60	
DEC 62 : 10597798.000000	257614064.000000	326552928.000000	
HEX 63 : 1DC9DC40	172C04C0	1FBF4380	
DEC 63 : 499768384.000000	388760768.000000	532628352.000000	
HEX 64 : 1821A3C0	D63E5A0	1FC6EA20	
DEC 64 : 404857792.000000	224650656.000000	533129760.000000	
HEX 65 : 1265DC40	1879E5A0	13D524C0	
DEC 65 : 308665408.000000	410641824.000000	332735680.000000	
HEX 66 : 60F0F10	154194C0	1A140CE0	
DEC 66 : 101650192.000000	356619456.000000	437521632.000000	
HEX 67 : 9BF4780	860CE20	1E9F2EA0	
DEC 67 : 163530624.000000	140561952.000000	513748640.000000	
HEX 68 : FC0F4B0	187384C0	1AE1DDA0	
DEC 68 : 264303792.000000	410223808.000000	451009952.000000	
HEX 69 : 11343A60	A8D2A60	1EF87C40	
DEC 69 : 288635488.000000	177023584.000000	519601216.000000	
HEX 70 : 2C4AF10	18493F00	1A91A	
DEC 70 : 46444304.000000	407453440.000000	108826.000000	
HEX 71 : 52521E0	E3BB880	1FBB86A0	
DEC 71 : 86319584.000000	238794880.000000	532383392.000000	
HEX 72 : E8CE1E	17360B40	1F363EA0	
DEC 72 : 15257118.000000	389417792.000000	523648672.000000	
HEX 73 : 1CD90D20	A5F8690	C032	
DEC 73 : 483986720.000000	174032528.000000	49202.000000	
HEX 74 : AC67C40	307C3C4	2213264	
DEC 74 : 180780096.000000	50840516.000000	35730020.000000	
HEX 75 : 1AAF46A0	1879E3C0	129CE320	
DEC 75 : 447694496.000000	410641344.000000	312271648.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
