Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 77
HEX 1 : 14EAE96	1BBBCCE0	1A5B1E20	
DEC 56 : 217534832.000000	149692.000000	22526072.000000	
HEX 57 : 10263700	53F90B	1028D3C0	
DEC 57 : 270939904.000000	5503243.000000	271111104.000000	
HEX 58 : 49C3258	1C5884A0	D23D0F0	
DEC 58 : 77345368.000000	475563168.000000	220451056.000000	
HEX 59 : 37B7A5C	903683	1A5B1C40	
DEC 59 : 58423900.000000	9451139.000000	442178624.000000	
HEX 60 : 6595000	D30EE30	55023C0	
DEC 60 : 106516480.000000	221310512.000000	89138112.000000	
HEX 61 : 13A8CC40	12CB95E0	A6D969	
DEC 61 : 329829440.000000	315332064.000000	10934633.000000	
HEX 62 : 1661CF00	127519E0	14B5F880	
DEC 62 : 375508736.000000	309664224.000000	347469952.000000	
HEX 63 : 620B878	5AA6B30	5354E20	
DEC 63 : 102807672.000000	95054640.000000	87379488.000000	
HEX 64 : 455F258	1110A560	1A5B1A60	
DEC 64 : 72741464.000000	286303584.000000	442178144.000000	
HEX 65 : 1CECD520	1AF76600	1DFC1E2	
DEC 65 : 485283104.000000	452421120.000000	31441378.000000	
HEX 66 : 11B16A60	14244E20	1A5B1F00	
DEC 66 : 296839776.000000	337923616.000000	442179328.000000	
HEX 67 : 1E74FAE0	7C1C700	178BFE20	
DEC 67 : 510982880.000000	130139904.000000	395050528.000000	
HEX 68 : 970E260	9BDE2	8FAEA60	
DEC 68 : 158392928.000000	638434.000000	150661728.000000	
HEX 69 : 16BD7620	1078AF80	7C91C40	
DEC 69 : 381515296.000000	276344704.000000	130620480.000000	
HEX 70 : 1B7751E0	13A15EC0	102B4B4	
DEC 70 : 460804576.000000	329342656.000000	16954548.000000	
HEX 71 : 18AC2080	16F78300	1A5B1A60	
DEC 71 : 413933696.000000	385319680.000000	442178144.000000	
HEX 72 : 1270B900	12E6CEA0	DEDD5A0	
DEC 72 : 309377280.000000	317116064.000000	233690528.000000	
HEX 73 : 1E9C65A0	105CDB00	975E5A0	
DEC 73 : 513566112.000000	274520832.000000	158721440.000000	
HEX 74 : CD5A8F0	DE11030	E253B50	
DEC 74 : 215329008.000000	232853552.000000	237321040.000000	
HEX 75 : 56F51E0	DA7F450	CC5B3C0	
DEC 75 : 91181536.000000	229110864.000000	214283200.000000	
HEX 76 : 8B169	105F1600	1606C3C	
DEC 76 : 569705.000000	274667008.000000	23096380.000000	
HEX 77 : 12453520	19EBBA80	3B1D000	
DEC 77 : 306525472.000000	434879104.000000	61984768.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
