Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 57 : 1D78A2C0	1EB8E3C0	4875D30	
DEC 57 : 494445248.000000	515433408.000000	75980080.000000	
HEX 58 : 4595160	16BAD340	51011A8	
DEC 58 : 72962400.000000	381342528.000000	84939176.000000	
HEX 59 : 9B70D00	3CBF3C4	BBC0AD0	
DEC 59 : 162991360.000000	63697860.000000	196872912.000000	
HEX 60 : 15056D40	10BECD20	10D630C0	
DEC 60 : 352677184.000000	280939808.000000	282472640.000000	
HEX 61 : A2542	1C0E3800	1E85C78	
DEC 61 : 664898.000000	470693888.000000	32005240.000000	
HEX 62 : 48FFD40	1A57DB40	FF35C00	
DEC 62 : 76545344.000000	441965376.000000	267607040.000000	
HEX 63 : 10B5B1E0	162E1F80	642FE98	
DEC 63 : 280343008.000000	372121472.000000	105053848.000000	
HEX 64 : 97C0860	B6E8C40	1E3EC960	
DEC 64 : 159123552.000000	191794240.000000	507431264.000000	
HEX 65 : 10781700	1C09A2E0	E107930	
DEC 65 : 276305664.000000	470393568.000000	235960624.000000	
HEX 66 : 10DEF500	150A1B40	156C14C0	
DEC 66 : 283047168.000000	352983872.000000	359404736.000000	
HEX 67 : 3917604	122E4880	1C00D3C0	
DEC 67 : 59864580.000000	305023104.000000	469816256.000000	
HEX 68 : 167C2600	A190080	140E1340	
DEC 68 : 377234944.000000	169410688.000000	336466752.000000	
HEX 69 : 3D5B9F0	D6D8800	F3A21E	
DEC 69 : 64338416.000000	225282048.000000	15966750.000000	
HEX 70 : 70345E0	4803710	1FEDADA0	
DEC 70 : 117655008.000000	75511568.000000	535670176.000000	
HEX 71 : 1FB39480	B0753C0	1C09C9A0	
DEC 71 : 531862656.000000	185029568.000000	470403488.000000	
HEX 72 : 13000CA0	1C032700	17A49C80	
DEC 72 : 318770336.000000	469968640.000000	396663936.000000	
HEX 73 : 5F384	85BB000	13BD9F40	
DEC 73 : 390020.000000	140226560.000000	331194176.000000	
HEX 74 : 265BE20	9758690	1CA42340	
DEC 74 : 40222240.000000	158697104.000000	480518976.000000	
HEX 75 : 17165D80	1C5E7700	105B8B4	
DEC 75 : 387341696.000000	475952896.000000	17152180.000000	
HEX 76 : 108FFD80	895ED30	4099388	
DEC 76 : 277872000.000000	144043312.000000	67736456.000000	
HEX 77 : 1D8A9AE0	18ADDEA0	A67D130	
DEC 77 : 495622880.000000	414047904.000000	174575920.000000	
HEX 78 : BBCA050	1A751DA0	16693C00	
DEC 78 : 196911184.000000	443882912.000000	375995392.000000	
HEX 79 : 10A8C7C0	E82078	B64E530	
DEC 79 : 279496640.000000	15212664.000000	191161648.000000	
HEX 80 : 1514380	BF82350	C357750	
DEC 80 : 22102912.000000	200811344.000000	204830544.000000	
HEX 81 : 1DC32040	BE010F0	14CFF480	
DEC 81 : 499327040.000000	199233776.000000	349172864.000000	
HEX 82 : 1DF63B60	11E59100	19540880	
DEC 82 : 502676320.000000	300257536.000000	424937600.000000	
HEX 83 : 1612EEA0	10241900	1891B9E0	
DEC 83 : 370339488.000000	270801152.000000	412203488.000000	
HEX 84 : 58BE240	C9E50F0	16935440	
DEC 84 : 93053504.000000	211702000.000000	378754112.000000	
HEX 85 : 5F835	6D19168	6DF08B8	
DEC 85 : 391221.000000	114397544.000000	115280056.000000	
HEX 86 : 27CCFF4	4AC60F0	DA791E0	
DEC 86 : 41734132.000000	78405872.000000	229085664.000000	
HEX 87 : 1102AD60	B47C690	1DE69000	
DEC 87 : 285388128.000000	189253264.000000	501649408.000000	
HEX 88 : 8BA21C0	7436000	12585660	
DEC 88 : 146416064.000000	121856000.000000	307779168.000000	
HEX 89 : 179974E0	140EF1E0	A961290	
DEC 89 : 395932896.000000	336523744.000000	177607312.000000	
HEX 90 : 5F835	39C91E0	F1C78	
DEC 90 : 391221.000000	60592608.000000	990328.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
