Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 1 : 1D4A16A	11653080	7916B30	
DEC 56 : 453605856.000000	28786808.000000	466413696.000000	
HEX 57 : 12ACECC0	17F83A60	1FA793C0	
DEC 57 : 313322688.000000	402143840.000000	531076032.000000	
HEX 58 : 449D788	162DB000	24C528C	
DEC 58 : 71948168.000000	372092928.000000	38556300.000000	
HEX 59 : 3DE7C3C	117C7520	1D111320	
DEC 59 : 64912444.000000	293369120.000000	487658272.000000	
HEX 60 : 17AEB780	64721E0	6677A	
DEC 60 : 397326208.000000	105325024.000000	419706.000000	
HEX 61 : B412620	1479F000	BE39	
DEC 61 : 188818976.000000	343535616.000000	48697.000000	
HEX 62 : 81B2530	1E50F1	1751A440	
DEC 62 : 135996720.000000	1986801.000000	391226432.000000	
HEX 63 : 1EA3C3	1CB2E620	F6B76F0	
DEC 63 : 2008003.000000	481486368.000000	258701040.000000	
HEX 64 : 8C72D30	76E4878	C032	
DEC 64 : 147270960.000000	124668024.000000	49202.000000	
HEX 65 : 7680F1	4DBEE98	C071	
DEC 65 : 7766257.000000	81522328.000000	49265.000000	
HEX 66 : 119E8700	B8E6080	C032	
DEC 66 : 295601920.000000	193880192.000000	49202.000000	
HEX 67 : 1353CB40	2DA8168	51FB730	
DEC 67 : 324258624.000000	47874408.000000	85964592.000000	
HEX 68 : 3C0800	1534E160	DDD1300	
DEC 68 : 3934208.000000	355787104.000000	232592128.000000	
HEX 69 : 6198F88	12D6F88	35FAFF8	
DEC 69 : 102338440.000000	19754888.000000	56602616.000000	
HEX 70 : 65940F0	194EB700	11F2A300	
DEC 70 : 106512624.000000	424589056.000000	301114112.000000	
HEX 71 : 1DCBF900	19AF7AE0	18C7D7A0	
DEC 71 : 499906816.000000	430930656.000000	415750048.000000	
HEX 72 : 173D5260	16E3C520	110553A0	
DEC 72 : 389894752.000000	384025888.000000	285561760.000000	
HEX 73 : 506A258	1871B5A0	1A5D1940	
DEC 73 : 84320856.000000	410105248.000000	442308928.000000	
HEX 74 : 892D780	1F3CCAE0	1DE613A0	
DEC 74 : 143841152.000000	524077792.000000	501617568.000000	
HEX 75 : 8DD5690	4567348	1D823EC0	
DEC 75 : 148723344.000000	72774472.000000	495075008.000000	
HEX 76 : 108C5780	16901D20	14752340	
DEC 76 : 277632896.000000	378543392.000000	343221056.000000	
HEX 77 : 73F3A58	359078	FD6D6F0	
DEC 77 : 121584216.000000	3510392.000000	265737968.000000	
HEX 78 : E936530	1B7471E0	1A46ECC0	
DEC 78 : 244540720.000000	460616160.000000	440855744.000000	
HEX 79 : 754BE98	74FB620	8ECF440	
DEC 79 : 122994328.000000	122664480.000000	149746752.000000	
HEX 80 : 1CD86100	A5D3B50	1BA6C9C0	
DEC 80 : 483942656.000000	173882192.000000	463915456.000000	
HEX 81 : 1CA926A0	135BFEA0	3C8725C	
DEC 81 : 480847520.000000	324796064.000000	63468124.000000	
HEX 82 : AEB0E90	13BD4340	FC160D0	
DEC 82 : 183176848.000000	331170624.000000	264331472.000000	
HEX 83 : 18A123C0	18791D20	B49A	
DEC 83 : 413213632.000000	410590496.000000	46234.000000	
HEX 84 : 1673F9E0	9E55530	1F9A5000	
DEC 84 : 376699360.000000	166024496.000000	530206720.000000	
HEX 85 : ECB34B0	CB6E8F0	CBA6F40	
DEC 85 : 248198320.000000	213313776.000000	213544768.000000	
HEX 86 : CFC6080	16CED340	6F31E08	
DEC 86 : 217866368.000000	382653248.000000	116596232.000000	
HEX 87 : 1E230B40	D9EC2D0	86D86F0	
DEC 87 : 505613120.000000	228508368.000000	141395696.000000	
HEX 88 : 76F61E	E108690	10617A20	
DEC 88 : 7796254.000000	235964048.000000	274823712.000000	
HEX 89 : 16538000	2FF2D2C	16117100	
DEC 89 : 374571008.000000	50277676.000000	370241792.000000	
HEX 90 : 1A2A09E0	1E0BDE20	12990A00	
DEC 90 : 438962656.000000	504094240.000000	312019456.000000	
HEX 91 : 1B0CF10	1ED38880	182A18C0	
DEC 91 : 28364560.000000	517179520.000000	405412032.000000	
HEX 92 : D7B0BC0	1B2BB2E0	E542870	
DEC 92 : 226167744.000000	455848672.000000	240396400.000000	
HEX 93 : 1D2A7E20	1C51A1E0	49EC8F8	
DEC 93 : 489324064.000000	475111904.000000	77515000.000000	
HEX 94 : 1CA291E0	10F074C0	F0466C0	
DEC 94 : 480416224.000000	284193984.000000	251946688.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
