Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
DEC 56 : 200179712.000000	86808456.000000	250476176.000000	
HEX 57 : 10C52960	19909780	176D6E20	
DEC 57 : 281356640.000000	428906368.000000	393047584.000000	
HEX 58 : 175CC5A0	D4133C0	854000	
DEC 58 : 391955872.000000	222376896.000000	8732672.000000	
HEX 59 : 16E1C780	1ECE44C0	186753C0	
DEC 59 : 383895424.000000	516834496.000000	409424832.000000	
HEX 60 : 12F73960	5C33A58	13D034C0	
DEC 60 : 318191968.000000	96680536.000000	332412096.000000	
HEX 61 : 1841F10	94B3780	19CD3000	
DEC 61 : 25435920.000000	155924352.000000	432877568.000000	
HEX 62 : 5DAA000	478AC40	135175A0	
DEC 62 : 98213888.000000	75017280.000000	324105632.000000	
HEX 63 : 2CD6C3C	4D854B8	C3E5D30	
DEC 63 : 47017020.000000	81286328.000000	205413680.000000	
HEX 64 : 10C4D880	15F0C160	F8B01E0	
DEC 64 : 281335936.000000	368099680.000000	260768224.000000	
HEX 65 : D7AE0F0	1B4FDF00	575B5A8	
DEC 65 : 226156784.000000	458219264.000000	91600296.000000	
HEX 66 : AFF7D30	86814B0	4F74788	
DEC 66 : 184515888.000000	141038768.000000	83314568.000000	
HEX 67 : 12EFE4C0	A7BA620	D6085A0	
DEC 67 : 317711552.000000	175875616.000000	224429472.000000	
HEX 68 : 11550780	D58BDA0	5073A58	
DEC 68 : 290785152.000000	223919520.000000	84359768.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
