Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : F7E3E20	1AF6A6A0	12F7CF80	
DEC 56 : 218057312.000000	144083312.000000	324936128.000000	
HEX 57 : 11A20F00	11FF9100	C032	
DEC 57 : 295833344.000000	301961472.000000	49202.000000	
HEX 58 : F3CDF10	1D07DC40	644C008	
DEC 58 : 255647504.000000	487054400.000000	105168904.000000	
HEX 59 : AFFC3C	1AEFE2E0	191DEEC0	
DEC 59 : 11533372.000000	451928800.000000	421392064.000000	
HEX 60 : 9E903C0	1CAA696	145A5660	
DEC 60 : 166265792.000000	30058134.000000	341464672.000000	
HEX 61 : D58F880	A33D0F0	1BEBEF20	
DEC 61 : 223934592.000000	171167984.000000	468447008.000000	
HEX 62 : 14614C40	1366A000	6DF2140	
DEC 62 : 341920832.000000	325492736.000000	115286336.000000	
HEX 63 : 37B8000	8BE54B0	157AF	
DEC 63 : 58425344.000000	146691248.000000	87983.000000	
HEX 64 : 1E7EC000	1D36EB40	8328EA0	
DEC 64 : 511623168.000000	490138432.000000	137531040.000000	
HEX 65 : 1F1F33C0	1284878	18D66700	
DEC 65 : 522138560.000000	19417208.000000	416704256.000000	
HEX 66 : 1EDC7100	1A39EB40	1F4FF7C0	
DEC 66 : 517763328.000000	440003392.000000	525334464.000000	
HEX 67 : 13D872E0	84A3A60	18A23420	
DEC 67 : 332952288.000000	139082336.000000	413283360.000000	
HEX 68 : 12F774C0	14C49A60	18DC8C40	
DEC 68 : 318207168.000000	348428896.000000	417107008.000000	
HEX 69 : 16B7B100	EED3880	15E8E5C0	
DEC 69 : 381137152.000000	250427520.000000	367584704.000000	
HEX 70 : CC9A000	1E567000	1B4A10C0	
DEC 70 : 214540288.000000	508981248.000000	457838784.000000	
HEX 71 : 16B8A780	1DD70A60	673F0E0	
DEC 71 : 381200256.000000	500632160.000000	108261600.000000	
HEX 72 : 11AB8000	95125A0	C071	
DEC 72 : 296452096.000000	156312992.000000	49265.000000	
HEX 73 : EF064B0	16AA0F0	1BE2C620	
DEC 73 : 250635440.000000	23765232.000000	467846688.000000	
HEX 74 : 19968960	179581E0	365B834	
DEC 74 : 429295968.000000	395674080.000000	56997940.000000	
HEX 75 : EE70E20	DA55E20	581C420	
DEC 75 : 250023456.000000	228941344.000000	92390432.000000	
HEX 76 : 1FB44B40	12914E20	D713140	
DEC 76 : 531909440.000000	311512608.000000	225521984.000000	
HEX 77 : 1ADA5A60	6E24F10	14D1D7E0	
DEC 77 : 450517600.000000	115494672.000000	349296608.000000	
HEX 78 : 15303C4	1B0CFF00	110D15C0	
DEC 78 : 22217668.000000	453836544.000000	286070208.000000	
HEX 79 : 12FF4780	37AB1E0	C340B10	
DEC 79 : 318719872.000000	58372576.000000	204737296.000000	
HEX 80 : 1FE0AD20	C106A60	18677D00	
DEC 80 : 534818080.000000	202402400.000000	409435392.000000	
HEX 81 : 13C42B40	1CE4D960	18DBF220	
DEC 81 : 331623232.000000	484759904.000000	417067552.000000	
HEX 82 : 1F6B5A6	230DD2C	4B5DD08	
DEC 82 : 32945574.000000	36756780.000000	79027464.000000	
HEX 83 : 7101A58	F89A4B0	1C7C32A0	
DEC 83 : 118495832.000000	260678832.000000	477901472.000000	
HEX 84 : 1A31AA60	17037E20	AE17070	
DEC 84 : 439462496.000000	386104864.000000	182546544.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
