Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 75
DEC 56 : 520578464.000000	138888848.000000	301048640.000000	
HEX 57 : 76F969	15C25F00	46C5DA8	
DEC 57 : 7797097.000000	365059840.000000	74210728.000000	
HEX 58 : EF4BE90	76B3078	747E8F0	
DEC 58 : 250920592.000000	124465272.000000	122153200.000000	
HEX 59 : 14E2E9E0	B023800	13D3C960	
DEC 59 : 350415328.000000	184694784.000000	332646752.000000	
HEX 60 : 107F6CC0	1C8FE100	149552E	
DEC 60 : 276786368.000000	479191296.000000	21583150.000000	
HEX 61 : AEF4260	9400710	679787	
DEC 61 : 183452256.000000	155191056.000000	6788999.000000	
HEX 62 : 1B1ECF00	1283FBC0	1DF38BC0	
DEC 62 : 455003904.000000	310639552.000000	502500288.000000	
HEX 63 : 2927E20	4306620	AE31530	
DEC 63 : 43154976.000000	70280736.000000	182654256.000000	
HEX 64 : D7DB440	198CEC40	BCD0880	
DEC 64 : 226341952.000000	428665920.000000	197986432.000000	
HEX 65 : A00A9E0	EB01E90	EDAD9E0	
DEC 65 : 167815648.000000	246423184.000000	249223648.000000	
HEX 66 : 1E59BE20	29C3078	CDEF880	
DEC 66 : 509197856.000000	43790456.000000	215939200.000000	
HEX 67 : 3A1AE98	1184A880	B3ABB50	
DEC 67 : 60927640.000000	293906560.000000	188398416.000000	
HEX 68 : 193032E0	13907900	C0E8350	
DEC 68 : 422589152.000000	328235264.000000	202277712.000000	
HEX 69 : 15595520	FFBE2D0	19D4D960	
DEC 69 : 358176032.000000	268165840.000000	433379680.000000	
HEX 70 : 194E41E0	1FE431E0	1D623960	
DEC 70 : 424559072.000000	535048672.000000	492976480.000000	
HEX 71 : A0E9F10	18BA46A0	1FFBDA6	
DEC 71 : 168730384.000000	414860960.000000	33537446.000000	
HEX 72 : F5CF000	16CBC900	18D6AE20	
DEC 72 : 257748992.000000	382454016.000000	416722464.000000	
HEX 73 : 30BE878	4D89F88	14160620	
DEC 73 : 51112056.000000	81305480.000000	336987680.000000	
HEX 74 : 2ACD078	1B55ED20	1094DA60	
DEC 74 : 44879992.000000	458616096.000000	278190688.000000	
HEX 75 : 1C140C40	1A0C66A0	1923C160	
DEC 75 : 471075904.000000	437020320.000000	421773664.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
