Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 5F7F5	8599780	DA0CCB0	
DEC 56 : 348622880.000000	347191424.000000	419263008.000000	
HEX 57 : D749B60	12093C40	1D83E780	
DEC 57 : 225745760.000000	302595136.000000	495183744.000000	
HEX 58 : 6F19DA8	C04E880	1BE8A000	
DEC 58 : 116497832.000000	201648256.000000	468230144.000000	
HEX 59 : 12DC5540	8E1E	9F9C9A0	
DEC 59 : 316429632.000000	36382.000000	167365024.000000	
HEX 60 : 1E306E60	56A11E0	E03FB50	
DEC 60 : 506490464.000000	90837472.000000	235141968.000000	
HEX 61 : 5F4C0	E8750F0	1D7D7000	
DEC 61 : 390336.000000	243749104.000000	494759936.000000	
HEX 62 : 1C0A41A0	8944A60	155C1FC0	
DEC 62 : 470434208.000000	143936096.000000	358358976.000000	
HEX 63 : 764E290	3D0F000	1F0EABC0	
DEC 63 : 124052112.000000	64024576.000000	521055168.000000	
HEX 64 : 80B67	B0481E0	5464F48	
DEC 64 : 527207.000000	184844768.000000	88493896.000000	
HEX 65 : 860078	3A3B000	232F5E0	
DEC 65 : 8781944.000000	61059072.000000	36894176.000000	
HEX 66 : 18D3E700	62781E0	8C7F880	
DEC 66 : 416540416.000000	103252448.000000	147323008.000000	
HEX 67 : 1DE3A860	12FD0880	DA94220	
DEC 67 : 501459040.000000	318572672.000000	229196320.000000	
HEX 68 : 1334F880	70FA878	1ECE4D20	
DEC 68 : 322238592.000000	118466680.000000	516836640.000000	
HEX 69 : 13C5E600	FBCDD30	5C23440	
DEC 69 : 331736576.000000	264035632.000000	96613440.000000	
HEX 70 : 1C7B4280	12C4A6A0	1FEE0DA0	
DEC 70 : 477840000.000000	314877600.000000	535694752.000000	
HEX 71 : 19DAFB00	544DF10	1BC28E20	
DEC 71 : 433781504.000000	88399632.000000	465735200.000000	
HEX 72 : 4A68140	E0512D0	BDB9570	
DEC 72 : 78020928.000000	235213520.000000	198940016.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
