Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
HEX 57 : 1061E6A0	1600E780	E5825A0	
DEC 57 : 274851488.000000	369158016.000000	240657824.000000	
HEX 58 : 15F915A0	A9CFC40	BA22D70	
DEC 58 : 368645536.000000	178060352.000000	195177840.000000	
HEX 59 : 187E7000	1F8AE780	1D841080	
DEC 59 : 410939392.000000	529196928.000000	495194240.000000	
HEX 60 : 186334C0	1B1C7B40	6314478	
DEC 60 : 409154752.000000	454851392.000000	103892088.000000	
HEX 61 : 1475BD20	94870F	13349780	
DEC 61 : 343260448.000000	9733903.000000	322213760.000000	
HEX 62 : 761D968	DD33DA0	1EB59880	
DEC 62 : 123853160.000000	231947680.000000	515217536.000000	
HEX 63 : BE3B3C0	74B01E0	E01CF80	
DEC 63 : 199472064.000000	122356192.000000	234999680.000000	
HEX 64 : D43F0F	1FBAEB40	BC9F4B	
DEC 64 : 13909775.000000	532343616.000000	12361547.000000	
HEX 65 : EBB44B0	F68A000	1E21E520	
DEC 65 : 247153840.000000	258514944.000000	505537824.000000	
HEX 66 : 114AB4C	9D1EC40	1DBCF1E0	
DEC 66 : 18131788.000000	164752448.000000	498921952.000000	
HEX 67 : 186FFB40	B977710	1E73D2E0	
DEC 67 : 409992000.000000	194475792.000000	510907104.000000	
HEX 68 : 9DD83C0	12882340	10212120	
DEC 68 : 165512128.000000	310911808.000000	270606624.000000	
HEX 69 : 138E7B40	1A591000	1FD31440	
DEC 69 : 328104768.000000	442044416.000000	533926976.000000	
HEX 70 : 71DDF10	1C220D20	53BBA20	
DEC 70 : 119398160.000000	471993632.000000	87800352.000000	
HEX 71 : 674F2D0	306752C	B035310	
DEC 71 : 108327632.000000	50754860.000000	184767248.000000	
HEX 72 : F76969	11900AE0	13EBEFC0	
DEC 72 : 16214377.000000	294652640.000000	334229440.000000	
HEX 73 : 3465C3C	97FA690	9D234B	
DEC 73 : 54942780.000000	159360656.000000	10298187.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
