Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
DEC 56 : 134943680.000000	433564256.000000	55177696.000000	
HEX 57 : 14855C40	D4B1880	BABAD30	
DEC 57 : 344284224.000000	223025280.000000	195800368.000000	
HEX 58 : 878B690	A4090F0	6AAB1E0	
DEC 58 : 142128784.000000	172003568.000000	111849952.000000	
HEX 59 : E50C9E0	5306000	39691E0	
DEC 59 : 240175584.000000	87056384.000000	60199392.000000	
HEX 60 : 1A21EF00	3EE5E20	C8743C0	
DEC 60 : 438431488.000000	65953312.000000	210191296.000000	
HEX 61 : 39FC710	F405D30	27CC788	
DEC 61 : 60802832.000000	255876400.000000	41731976.000000	
HEX 62 : 1F907100	1C0E6A60	1A5B1F00	
DEC 62 : 529559808.000000	470706784.000000	442179328.000000	
HEX 63 : C2D1AD0	EE475A0	1857D880	
DEC 63 : 204282576.000000	249853344.000000	408410240.000000	
HEX 64 : 10AACE20	1304A960	81E34B0	
DEC 64 : 279629344.000000	319072608.000000	136197296.000000	
HEX 65 : C158970	17A80EA0	1A225D20	
DEC 65 : 202738032.000000	396889760.000000	438459680.000000	
HEX 66 : D0D30F0	12773C4	144B9780	
DEC 66 : 218968304.000000	19362756.000000	340498304.000000	
HEX 67 : 8498BC0	1E5366A0	9553C40	
DEC 67 : 139037632.000000	508782240.000000	156580928.000000	
HEX 68 : 143AB6A0	1637FCC0	13164E20	
DEC 68 : 339392160.000000	372767936.000000	320228896.000000	
HEX 69 : 1F1E09E0	1F984A60	32D6878	
DEC 69 : 522062304.000000	530074208.000000	53307512.000000	
HEX 70 : 16FF1C40	A5E70F0	375E0F0	
DEC 70 : 385817664.000000	173961456.000000	58056944.000000	
HEX 71 : 182DF000	E2D969	5EBBB48	
DEC 71 : 405663744.000000	14866793.000000	99334984.000000	
HEX 72 : 133CEF80	108EA100	1A5B1C40	
DEC 72 : 322760576.000000	277782784.000000	442178624.000000	
HEX 73 : 167562E0	19422B40	2404878	
DEC 73 : 376791776.000000	423766848.000000	37767288.000000	
HEX 74 : 1B041700	1E98DA60	9698F10	
DEC 74 : 453252864.000000	513333856.000000	157912848.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
