Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
DEC 56 : 280958144.000000	242240704.000000	388111648.000000	
HEX 57 : 108DD9E0	19B27E80	B09FF10	
DEC 57 : 277731808.000000	431128192.000000	185204496.000000	
HEX 58 : 130B51E0	ACFDC30	CB3B4B	
DEC 58 : 319508960.000000	181394480.000000	13318987.000000	
HEX 59 : 868B970	74FEF40	146C82E0	
DEC 59 : 141080944.000000	122679104.000000	342655712.000000	
HEX 60 : 7970DA8	18CE9100	D1293C0	
DEC 60 : 127339944.000000	416190720.000000	219321280.000000	
HEX 61 : 1B4883C0	FDA75E0	CF814B0	
DEC 61 : 457737152.000000	265975264.000000	217584816.000000	
HEX 62 : 15F04080	16AAF	194831E0	
DEC 62 : 368066688.000000	92847.000000	424161760.000000	
HEX 63 : 1A27AA60	6D80078	18AFE1E	
DEC 63 : 438807136.000000	114819192.000000	25886238.000000	
HEX 64 : 14BA1000	1F315480	EE562D0	
DEC 64 : 347738112.000000	523326592.000000	249914064.000000	
HEX 65 : 1CAC7260	1CE2E320	F722C40	
DEC 65 : 481063520.000000	484631328.000000	259140672.000000	
HEX 66 : 1C7E1D20	D25A1D0	14D081E0	
DEC 66 : 478027040.000000	220570064.000000	349209056.000000	
HEX 67 : 5A06258	C110B1	C095690	
DEC 67 : 94397016.000000	12652721.000000	201938576.000000	
HEX 68 : 172ED4C0	675C7A0	94B6E20	
DEC 68 : 388945088.000000	108382112.000000	155938336.000000	
HEX 69 : 10D0D160	159E50A0	3F22698	
DEC 69 : 282120544.000000	362696864.000000	66201240.000000	
HEX 70 : 1A3F1520	2A2BA14	F6AAA60	
DEC 70 : 440341792.000000	44218900.000000	258648672.000000	
HEX 71 : 28591E0	9B96C70	1EDCEA60	
DEC 71 : 42308064.000000	163146864.000000	517794400.000000	
HEX 72 : 1E963900	146BC460	11F5EB40	
DEC 72 : 513161472.000000	342606944.000000	301329216.000000	
HEX 73 : 16B46EA0	18DDBEC0	1D4144C0	
DEC 73 : 380923552.000000	417185472.000000	490816704.000000	
HEX 74 : 1D895260	148F95E0	831969	
DEC 74 : 495538784.000000	344954336.000000	8591721.000000	
HEX 75 : 31B7800	6540620	655EC40	
DEC 75 : 52131840.000000	106169888.000000	106294336.000000	
HEX 76 : 3B3AAD4	C7977D0	F2B0D30	
DEC 76 : 62106324.000000	209287120.000000	254479664.000000	
HEX 77 : B0AC080	12145300	CFBDD30	
DEC 77 : 185254016.000000	303321856.000000	217832752.000000	
HEX 78 : 291A078	F7F0280	19CDDC40	
DEC 78 : 43098232.000000	259981952.000000	432921664.000000	
HEX 79 : 77685A8	1E05C2C0	1E6A8A60	
DEC 79 : 125207976.000000	503694016.000000	510298720.000000	
HEX 80 : 123FA3C0	41A7A40	41E62D0	
DEC 80 : 306160576.000000	68844096.000000	69100240.000000	
HEX 81 : 190E8B40	16C69	5E68C40	
DEC 81 : 420383552.000000	93289.000000	98995264.000000	
HEX 82 : 1FC6EEA0	162199C0	95A10F0	
DEC 82 : 533130912.000000	371300800.000000	156897520.000000	
HEX 83 : 26D69E0	1DC12040	F6EB000	
DEC 83 : 40724960.000000	499195968.000000	258912256.000000	
HEX 84 : BF014B0	F87BE60	541D2D0	
DEC 84 : 200283312.000000	260554336.000000	88199888.000000	
HEX 85 : 114414C0	16DE1C00	11FB7E20	
DEC 85 : 289674432.000000	383654912.000000	301694496.000000	
HEX 86 : 9BA0780	15192B20	1809A2E0	
DEC 86 : 163186560.000000	353970976.000000	403284704.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
