Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
DEC 56 : 506346304.000000	396042496.000000	113124048.000000	
HEX 57 : 1C6DB000	1B40FBC0	11EC00	
DEC 57 : 476950528.000000	457243584.000000	1174528.000000	
HEX 58 : 1AC6E700	133CBE60	1221BB80	
DEC 58 : 449242880.000000	322748000.000000	304200576.000000	
HEX 59 : B694E90	1FB45CC0	16220740	
DEC 59 : 191450768.000000	531913920.000000	371328832.000000	
HEX 60 : 2D703C4	188A9E2	FE4DB80	
DEC 60 : 47645636.000000	25733602.000000	266656640.000000	
HEX 61 : 1D49EA60	1AE5F6A0	E518F50	
DEC 61 : 491383392.000000	451278496.000000	240226128.000000	
HEX 62 : 1B3F79E0	1CB79A6	7C092D0	
DEC 62 : 457144800.000000	30112166.000000	130061008.000000	
HEX 63 : 157EB5A0	159EE480	CA2C1E0	
DEC 63 : 360625568.000000	362734720.000000	211993056.000000	
HEX 64 : 141901E0	4935298	13C682E0	
DEC 64 : 337183200.000000	76763800.000000	331776736.000000	
HEX 65 : 1FB48160	DA06E60	112B82A0	
DEC 65 : 531923296.000000	228617824.000000	288064160.000000	
HEX 66 : FED20F0	1B052CC0	8E59A90	
DEC 66 : 267198704.000000	453323968.000000	149265040.000000	
HEX 67 : 78F4620	19FE00C0	1FFE4260	
DEC 67 : 126830112.000000	436076736.000000	536756832.000000	
HEX 68 : 19DB8520	1F4BF9E0	13601E60	
DEC 68 : 433816864.000000	525072864.000000	325066336.000000	
HEX 69 : 16F08A60	782C530	C4B60B0	
DEC 69 : 384862816.000000	126010672.000000	206266544.000000	
HEX 70 : 434DD30	E2D1B10	1AD41D00	
DEC 70 : 70573360.000000	237837072.000000	450108672.000000	
HEX 71 : 18218340	BA89400	12AA39A0	
DEC 71 : 404849472.000000	195597312.000000	313145760.000000	
HEX 72 : 7D52E20	917B220	47D5040	
DEC 72 : 131411488.000000	152547872.000000	75321408.000000	
HEX 73 : 17F55100	109A1F40	19147EA0	
DEC 73 : 401953024.000000	278536000.000000	420773536.000000	
HEX 74 : 76C0878	16872C00	9FED970	
DEC 74 : 124520568.000000	377957376.000000	167696752.000000	
HEX 75 : 94F61E0	8C90570	D027570	
DEC 75 : 156197344.000000	147391856.000000	218264944.000000	
HEX 76 : 7B661E0	1F1403C0	A78A1E0	
DEC 76 : 129393120.000000	521405376.000000	175677920.000000	
HEX 77 : 1677ED20	7F79DA8	1A111A20	
DEC 77 : 376958240.000000	133668264.000000	437328416.000000	
HEX 78 : 1BDFC2E0	106A7100	4F1E2D0	
DEC 78 : 467649248.000000	275411200.000000	82961104.000000	
HEX 79 : 1AEF6CC0	222E388	1CC926A0	
DEC 79 : 451898560.000000	35840904.000000	482944672.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
