Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
HEX 57 : 763A3C0	8DE9DC0	2B94788	
DEC 57 : 123970496.000000	148807104.000000	45696904.000000	
HEX 58 : 187F9F00	48790E8	FE875A0	
DEC 58 : 411016960.000000	75993320.000000	266892704.000000	
HEX 59 : 33885A4	13953980	5E57DA8	
DEC 59 : 54035876.000000	328546688.000000	98925992.000000	
HEX 60 : 42F8F10	16893D20	157422E0	
DEC 60 : 70225680.000000	378092832.000000	359932640.000000	
HEX 61 : ABA7E20	160EFC20	9209BC0	
DEC 61 : 179994144.000000	370080800.000000	153131968.000000	
HEX 62 : 61911E0	42D9F30	11A18080	
DEC 62 : 102306272.000000	70098736.000000	295796864.000000	
HEX 63 : 187E7C40	11859620	12653EA0	
DEC 63 : 410942528.000000	293967392.000000	308625056.000000	
HEX 64 : 121E0B40	136DD940	51B5078	
DEC 64 : 303958848.000000	325966144.000000	85676152.000000	
HEX 65 : 960CD30	17A78500	1CFC8780	
DEC 65 : 157338928.000000	396854528.000000	486311808.000000	
HEX 66 : A6134B0	1F097660	B6F3CB0	
DEC 66 : 174142640.000000	520713824.000000	191839408.000000	
HEX 67 : 15257B40	18334680	1174AF80	
DEC 67 : 354777920.000000	406013568.000000	292859776.000000	
HEX 68 : 123CA5A	C69CAA0	16DE76A0	
DEC 68 : 19122778.000000	208259744.000000	383678112.000000	
HEX 69 : 15A3FC40	396446C	16CF53C0	
DEC 69 : 363068480.000000	60179564.000000	382686144.000000	
HEX 70 : 187E7000	18D46E20	1ACB94C0	
DEC 70 : 410939392.000000	416575008.000000	449549504.000000	
HEX 71 : 187E73C0	B16DBD0	16825000	
DEC 71 : 410940352.000000	186047440.000000	377638912.000000	
HEX 72 : FE7D2D0	79154B8	1FD263C0	
DEC 72 : 266851024.000000	126964920.000000	533881792.000000	
HEX 73 : 180984C0	5878980	1C8BE96	
DEC 73 : 403276992.000000	92768640.000000	29933206.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
