Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
DEC 56 : 6187405.000000	349294336.000000	373499072.000000	
HEX 57 : 67841	91C7970	D30B780	
DEC 57 : 424001.000000	152861040.000000	221296512.000000	
HEX 58 : 6DEC040	308ED2C	123C96A	
DEC 58 : 115261504.000000	50916652.000000	19122538.000000	
HEX 59 : 1C04B340	19B3D5A0	85F6780	
DEC 59 : 470070080.000000	431216032.000000	140470144.000000	
HEX 60 : 106B4D40	110044C0	F6D3D30	
DEC 60 : 275467584.000000	285230272.000000	258817328.000000	
HEX 61 : 1AEA3A80	880C4B0	186635A0	
DEC 61 : 451558016.000000	142656688.000000	409351584.000000	
HEX 62 : B5BA480	1E5F8100	5B441E0	
DEC 62 : 190555264.000000	509575424.000000	95699424.000000	
HEX 63 : 5F63B	1096E2E0	AD0C5A0	
DEC 63 : 390715.000000	278323936.000000	181454240.000000	
HEX 64 : 5EF53	1DBC8780	54B7000	
DEC 64 : 388947.000000	498894720.000000	88829952.000000	
HEX 65 : C939B00	15229880	1AB063C0	
DEC 65 : 211000064.000000	354588800.000000	447767488.000000	
HEX 66 : C59AC70	DCFE970	1C8A94C0	
DEC 66 : 207203440.000000	231729520.000000	478844096.000000	
HEX 67 : 1E892A20	1578CF00	E11D3C0	
DEC 67 : 512305696.000000	360238848.000000	236049344.000000	
HEX 68 : 17B9F6A0	F7ADF10	6F94B4	
DEC 68 : 398063264.000000	259710736.000000	7312564.000000	
HEX 69 : A69BCD0	131F6F00	B6985A0	
DEC 69 : 174701776.000000	320827136.000000	191464864.000000	
HEX 70 : 88AF3A0	66440F0	D0D43C0	
DEC 70 : 143324064.000000	107233520.000000	218973120.000000	
HEX 71 : 12C9B300	14DFA000	2565D2C	
DEC 71 : 315208448.000000	350199808.000000	39214380.000000	
HEX 72 : 14C98380	15496F00	1AA56000	
DEC 72 : 348750720.000000	357134080.000000	447045632.000000	
HEX 73 : 93B93F0	11DA8000	134A0B40	
DEC 73 : 154899440.000000	299532288.000000	323619648.000000	
HEX 74 : 867DA80	1A900780	1F82A2E0	
DEC 74 : 141023872.000000	445646720.000000	528655072.000000	
HEX 75 : 1263DF00	1F4454C0	32A8878	
DEC 75 : 308535040.000000	524571840.000000	53119096.000000	
HEX 76 : 1E3C18C0	6616F10	11FB96A0	
DEC 76 : 507254976.000000	107048720.000000	301700768.000000	
HEX 77 : 10C17320	1025ED20	16E665A0	
DEC 77 : 281113376.000000	270920992.000000	384198048.000000	
HEX 78 : 5F738	D3BCF10	1C547780	
DEC 78 : 390968.000000	222023440.000000	475297664.000000	
HEX 79 : FBC1130	1B9FD960	1CD5EC40	
DEC 79 : 263983408.000000	463460704.000000	483781696.000000	
HEX 80 : 15BF9B00	179F46A0	EB54F10	
DEC 80 : 364878592.000000	396314272.000000	246763280.000000	
HEX 81 : 5F738	148E4E20	1EA172E0	
DEC 81 : 390968.000000	344870432.000000	513897184.000000	
HEX 82 : 5F010	E2670F0	12C8F5A0	
DEC 82 : 389136.000000	237400304.000000	315159968.000000	
HEX 83 : 14095440	6C23C4	91D8880	
DEC 83 : 336155712.000000	7087044.000000	152930432.000000	
HEX 84 : D5AE150	A48B690	12758960	
DEC 84 : 224059728.000000	172537488.000000	309692768.000000	
HEX 85 : 1268BDE0	B172880	375F3C4	
DEC 85 : 308854240.000000	186067072.000000	58061764.000000	
HEX 86 : 60948F0	116825A0	1A9044C0	
DEC 86 : 101271792.000000	292038048.000000	445662400.000000	
HEX 87 : 15151060	AE7D0F0	A8105A0	
DEC 87 : 353701984.000000	182964464.000000	176227744.000000	
HEX 88 : 1D0B99C0	EEFA0F0	151E1B40	
DEC 88 : 487299520.000000	250585328.000000	354294592.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
