Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 57 : FDE81E0	73492D0	1C1B52E0	
DEC 57 : 266240480.000000	120885968.000000	471552736.000000	
HEX 58 : 1EC65E20	11105100	8A159C0	
DEC 58 : 516316704.000000	286281984.000000	144792000.000000	
HEX 59 : D6536	3755A5C	D287D2	
DEC 59 : 877878.000000	58022492.000000	13797330.000000	
HEX 60 : 16CE7CA	CED44B0	1524AD80	
DEC 60 : 23914442.000000	216876208.000000	354725248.000000	
HEX 61 : 14F93A80	1449CE20	1C2A0AE0	
DEC 61 : 351877760.000000	340381216.000000	472517344.000000	
HEX 62 : 18E0EBA0	CF970F0	6596798	
DEC 62 : 417393568.000000	217673968.000000	106522520.000000	
HEX 63 : 160B4320	1419BF00	9EB3D90	
DEC 63 : 369836832.000000	337231616.000000	166411664.000000	
HEX 64 : DD23F80	AD430F0	15D51280	
DEC 64 : 231882624.000000	181678320.000000	366285440.000000	
HEX 65 : 88FB7F0	C795690	1B24CA80	
DEC 65 : 143636464.000000	209278608.000000	455395968.000000	
HEX 66 : FAAF6D0	1C492D2	E8170	
DEC 66 : 262862544.000000	29659858.000000	950640.000000	
HEX 67 : 129FFD60	109555A0	4703D7	
DEC 67 : 312474976.000000	278222240.000000	4654039.000000	
HEX 68 : F69EA40	1879D100	A691680	
DEC 68 : 258599488.000000	410636544.000000	174659200.000000	
HEX 69 : 18F64540	1879E3C0	16BB6820	
DEC 69 : 418792768.000000	410641344.000000	381380640.000000	
HEX 70 : 1EBA9620	739B0F0	6EC6EC0	
DEC 70 : 515544608.000000	121221360.000000	116158144.000000	
HEX 71 : 1AC43FE0	14413960	10C3A0C0	
DEC 71 : 449069024.000000	339818848.000000	281256128.000000	
HEX 72 : 1815AB80	37FD0F0	1F2086A0	
DEC 72 : 404073344.000000	58708208.000000	522225312.000000	
HEX 73 : 1E7FE800	444AD30	C032	
DEC 73 : 511698944.000000	71609648.000000	49202.000000	
HEX 74 : F722440	2AE5E20	809B880	
DEC 74 : 259138624.000000	44981792.000000	134854784.000000	
HEX 75 : 103B9E20	EB000	1E71D4C0	
DEC 75 : 272342560.000000	962560.000000	510776512.000000	
HEX 76 : 14988BA0	1879E4C0	FDF7330	
DEC 76 : 345541536.000000	410641600.000000	266302256.000000	
HEX 77 : FC2A49	1879E4C0	13C5E0A	
DEC 77 : 16525897.000000	410641600.000000	20733450.000000	
HEX 78 : 5F7F5	1879E3C0	1C7CE120	
DEC 78 : 391157.000000	410641344.000000	477946144.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
