Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : D6BE2D0	9926DA0	A984B5	
HEX 56 : 1752FA60	BCFEB50	37BD4B4	
DEC 56 : 391314016.000000	198175568.000000	58447028.000000	
HEX 57 : 1A0E1D20	32BB8F0	1061AF00	
DEC 57 : 437132576.000000	53197040.000000	274837248.000000	
HEX 58 : 197B9E20	12C694C0	6F35878	
DEC 58 : 427531808.000000	315004096.000000	116611192.000000	
HEX 59 : 3BF30F0	190FD2E	956A5A	
DEC 59 : 62861552.000000	26279214.000000	9792090.000000	
HEX 60 : BD27970	8D0B710	C9B4880	
DEC 60 : 198343024.000000	147896080.000000	211503232.000000	
HEX 61 : FD96E20	11C6A5A0	198F8100	
DEC 61 : 265907744.000000	298231200.000000	428835072.000000	
HEX 62 : 6D34C40	196A4B40	FC682D0	
DEC 62 : 114510912.000000	426396480.000000	264667856.000000	
HEX 63 : 1BCEA4C0	1A082A60	A4A5D30	
DEC 63 : 466527424.000000	436742752.000000	172645680.000000	
HEX 64 : 14FA6A60	19BF65A0	6D05F10	
DEC 64 : 351955552.000000	431973792.000000	114319120.000000	
HEX 65 : 12FD0C40	49264B8	17512000	
DEC 65 : 318573632.000000	76702904.000000	391192576.000000	
HEX 66 : 16905F00	161329E0	6651E2	
DEC 66 : 378560256.000000	370354656.000000	6705634.000000	
HEX 67 : 1E248F00	174E2900	11CD8C40	
DEC 67 : 505712384.000000	390998272.000000	298683456.000000	
HEX 68 : 1FAC3C4	DD962D0	5142F10	
DEC 68 : 33211332.000000	232350416.000000	85208848.000000	
HEX 69 : 9B6A000	14750440	152345A0	
DEC 69 : 162963456.000000	343213120.000000	354633120.000000	
HEX 70 : 2BFE000	13502620	122EAD20	
DEC 70 : 46129152.000000	324019744.000000	305048864.000000	
HEX 71 : BAF1000	24038F0	EF0788	
DEC 71 : 196022272.000000	37763312.000000	15665032.000000	
HEX 72 : D1B54B0	1E7854C0	66F4D30	
DEC 72 : 219894960.000000	511202496.000000	107957552.000000	
HEX 73 : 74385A8	CFE1D30	13E1EE20	
DEC 73 : 121865640.000000	217980208.000000	333573664.000000	
HEX 74 : 110AC4C0	1478B800	12A19780	
DEC 74 : 285918400.000000	343455744.000000	312579968.000000	
HEX 75 : 48071E0	A8D98F0	C508A60	
DEC 75 : 75526624.000000	177051888.000000	206604896.000000	
HEX 76 : A00DB50	FD6B8F0	5C712D0	
DEC 76 : 167828304.000000	265730288.000000	96932560.000000	
HEX 77 : 1284FE20	F3A6170	CB944B0	
DEC 77 : 310705696.000000	255484272.000000	213468336.000000	
HEX 78 : F16C000	A50B350	1A3B6D20	
DEC 78 : 253149184.000000	173060944.000000	440102176.000000	
HEX 79 : 4E08E20	1DA5AE20	768B0F0	
DEC 79 : 81825312.000000	497397280.000000	124301552.000000	
HEX 80 : 1B7A1E2	38C334C	90FE690	
DEC 80 : 28811746.000000	59519820.000000	152037008.000000	
HEX 81 : 1680A1E0	3BEFDA4	25E1D2C	
DEC 81 : 377528800.000000	62848420.000000	39722284.000000	
HEX 82 : 3C281E0	6D019E0	17EEF880	
DEC 82 : 63078880.000000	114301408.000000	401537152.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
