Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 57 : 1AA62760	C686620	E4FF1E0	
DEC 57 : 447096672.000000	208168480.000000	240120288.000000	
HEX 58 : 1C301F00	C94D350	15EEFC40	
DEC 58 : 472915712.000000	211080016.000000	367983680.000000	
HEX 59 : 1540D460	13CC3800	82E1AD0	
DEC 59 : 356570208.000000	332150784.000000	137239248.000000	
HEX 60 : 111ACB00	642D078	1F365D20	
DEC 60 : 286968576.000000	105042040.000000	523656480.000000	
HEX 61 : 854AE	191CE9E0	1DC37900	
DEC 61 : 545966.000000	421325280.000000	499349760.000000	
HEX 62 : 17EC2880	1B2441E0	66F2A58	
DEC 62 : 401352832.000000	455360992.000000	107948632.000000	
HEX 63 : 4AEA7C0	41BD698	96F5530	
DEC 63 : 78555072.000000	68933272.000000	158291248.000000	
HEX 64 : DF25080	17A3E080	1BBF4700	
DEC 64 : 233984128.000000	396615808.000000	465520384.000000	
HEX 65 : 142151	177D4900	EEC02D0	
DEC 65 : 1319249.000000	394086656.000000	250348240.000000	
HEX 66 : 1577A260	17E71160	1528A780	
DEC 66 : 360161888.000000	401019232.000000	354985856.000000	
HEX 67 : 1717D9A0	7EC5968	9685350	
DEC 67 : 387439008.000000	132929896.000000	157832016.000000	
HEX 68 : 157CD7A0	5DAE530	25914B4	
DEC 68 : 360503200.000000	98231600.000000	39392436.000000	
HEX 69 : 5F777	1BD206A0	8C358F0	
DEC 69 : 391031.000000	466749088.000000	147020016.000000	
HEX 70 : 67F3648	2A0F5A4	1907C780	
DEC 70 : 109000264.000000	44103076.000000	419940224.000000	
HEX 71 : 11E9BE20	1FCD26A0	CD6F2D0	
DEC 71 : 300531232.000000	533538464.000000	215413456.000000	
HEX 72 : 1F3C3C80	172BB3C0	D1210F0	
DEC 72 : 524041344.000000	388740032.000000	219287792.000000	
HEX 73 : 18DDE000	66179E0	12755440	
DEC 73 : 417193984.000000	107051488.000000	309679168.000000	
HEX 74 : 1D5DF020	3A1F25C	3C2FBC4	
DEC 74 : 492695584.000000	60944988.000000	63110084.000000	
HEX 75 : 1D087EE0	193B69E0	13F816A0	
DEC 75 : 487096032.000000	423324128.000000	335025824.000000	
HEX 76 : 17F61440	E9BAD3	D07E620	
DEC 76 : 402003008.000000	15317715.000000	218621472.000000	
HEX 77 : 5EC5D	32CC52C	1CD5F960	
DEC 77 : 388189.000000	53265708.000000	483785056.000000	
HEX 78 : 49D0380	EDD1170	1FCD7EA0	
DEC 78 : 77398912.000000	249368944.000000	533560992.000000	
HEX 79 : 1C5ED940	117E9BC0	908EC40	
DEC 79 : 475978048.000000	293510080.000000	151579712.000000	
HEX 80 : 18921520	1B2B5260	1B30C3C0	
DEC 80 : 412226848.000000	455823968.000000	456180672.000000	
HEX 81 : 1B7ECBC0	E0B4CB0	1D9D39E0	
DEC 81 : 461294528.000000	235621552.000000	496843232.000000	
HEX 82 : 6D63160	142B9960	EFC2780	
DEC 82 : 114700640.000000	338401632.000000	251406208.000000	
HEX 83 : 19106900	13858520	1033F000	
DEC 83 : 420505856.000000	327517472.000000	271839232.000000	
HEX 84 : 5F306	997FBC0	7389AD0	
DEC 84 : 389894.000000	160955328.000000	121150160.000000	
HEX 85 : 10A5D920	1263EA60	11ABDAE0	
DEC 85 : 279304480.000000	308537952.000000	296475360.000000	
HEX 86 : 17860700	8261780	1A7A89E0	
DEC 86 : 394659584.000000	136714112.000000	444238304.000000	
HEX 87 : 13B02EE0	18E676A0	A0325A	
DEC 87 : 330313440.000000	417756832.000000	10498650.000000	
HEX 88 : 9C33040	81B0B50	1D3C6EA0	
DEC 88 : 163786816.000000	135990096.000000	490499744.000000	
HEX 89 : BF84020	B3A24B0	12014700	
DEC 89 : 200818720.000000	188359856.000000	302073600.000000	
HEX 90 : 1ECA2620	188D1260	4C10800	
DEC 90 : 516564512.000000	411898464.000000	79759360.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
