Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
DEC 56 : 490376864.000000	221315376.000000	67052244.000000	
HEX 57 : 1DBABC4	1D6B3F00	1A2593C0	
DEC 57 : 31173572.000000	493567744.000000	438670272.000000	
HEX 58 : 16798900	FCD1BC0	D6EF0F	
DEC 58 : 377063680.000000	265100224.000000	14085903.000000	
HEX 59 : 1F4F04C0	1A39D560	1D23DC40	
DEC 59 : 525272256.000000	439997792.000000	488889408.000000	
HEX 60 : 936FAD0	1CCD6900	92CF0F	
DEC 60 : 154598096.000000	483223808.000000	9621263.000000	
HEX 61 : 1BD0E900	F8BB710	CBABDA0	
DEC 61 : 466675968.000000	260814608.000000	213564832.000000	
HEX 62 : BED25A0	9C71570	A77FA60	
DEC 62 : 200091040.000000	164042096.000000	175635040.000000	
HEX 63 : 1ED6F520	1F110960	17645B40	
DEC 63 : 517403936.000000	521210208.000000	392452928.000000	
HEX 64 : 1A5765E0	6790F10	1C8B51E0	
DEC 64 : 441935328.000000	108597008.000000	478892512.000000	
HEX 65 : 87E2080	185A3EA0	D8CB2D0	
DEC 65 : 142483584.000000	408567456.000000	227324624.000000	
HEX 66 : 5590ED0	C838290	78631E0	
DEC 66 : 89722576.000000	209945232.000000	126235104.000000	
HEX 67 : 1AE8FA20	67990F0	181843C	
DEC 67 : 451476000.000000	108630256.000000	25265212.000000	
HEX 68 : 18EADF80	1F952440	1868C3C	
DEC 68 : 418045824.000000	529867840.000000	25594940.000000	
HEX 69 : 248092C	1C6C4100	C4E9780	
DEC 69 : 38275372.000000	476856576.000000	206477184.000000	
HEX 70 : 172EE000	153687C0	E7E2C40	
DEC 70 : 388947968.000000	355895232.000000	243149888.000000	
HEX 71 : 4AAF078	D70A6D0	1F21DD20	
DEC 71 : 78311544.000000	225486544.000000	522312992.000000	
HEX 72 : B9B9AD0	16AC1260	14363520	
DEC 72 : 194747088.000000	380375648.000000	339096864.000000	
HEX 73 : 679DD30	184B42E0	638DB48	
DEC 73 : 108649776.000000	407585504.000000	104389448.000000	
HEX 74 : 1AF8EC80	1A26BE20	13331780	
DEC 74 : 452521088.000000	438746656.000000	322115456.000000	
HEX 75 : 54FB658	87C7C00	1715E900	
DEC 75 : 89110104.000000	142375936.000000	387311872.000000	
HEX 76 : 1FA8FF80	1589CB40	F88B780	
DEC 76 : 531169152.000000	361352000.000000	260618112.000000	
HEX 77 : 7950A20	FA2C400	17BC9160	
DEC 77 : 127207968.000000	262325248.000000	398233952.000000	
HEX 78 : 13825A	FEDAC00	1736DA60	
DEC 78 : 1278554.000000	267234304.000000	389470816.000000	
HEX 79 : 11C23560	CEEEC00	E08F350	
DEC 79 : 297940320.000000	216984576.000000	235467600.000000	
