Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
DEC 56 : 383061760.000000	385946432.000000	257216272.000000	
HEX 57 : 12B621E0	72AA168	25CF968	
DEC 57 : 313926112.000000	120234344.000000	39647592.000000	
HEX 58 : B59AB50	75C8530	17923B40	
DEC 58 : 190425936.000000	123503920.000000	395459392.000000	
HEX 59 : 1E654960	144BC1E0	11CF2F00	
DEC 59 : 509954400.000000	340509152.000000	298790656.000000	
HEX 60 : 597E968	21525A	12663F00	
DEC 60 : 93841768.000000	2183770.000000	308690688.000000	
HEX 61 : 135E6D20	1BDB6620	6A06A58	
DEC 61 : 324955424.000000	467363360.000000	111176280.000000	
HEX 62 : 1DC911E0	C955800	13122A60	
DEC 62 : 499716576.000000	211113984.000000	319957600.000000	
HEX 63 : 18429960	7BD6078	799AD30	
DEC 63 : 407017824.000000	129851512.000000	127511856.000000	
HEX 64 : 1D2DBD20	1C25C960	EDE55A0	
DEC 64 : 489536800.000000	472238432.000000	249451936.000000	
HEX 65 : 7AE0C40	1498B080	D7E697	
DEC 65 : 128846912.000000	345550976.000000	14149271.000000	
HEX 66 : 49AFC40	1975A9E0	8EB42D0	
DEC 66 : 77265984.000000	427141600.000000	149635792.000000	
HEX 67 : 3D02000	10CF5E20	C0A93C0	
DEC 67 : 63971328.000000	282025504.000000	202019776.000000	
HEX 68 : 1DAFD4C0	C4B1E20	1472000	
DEC 68 : 498062528.000000	206249504.000000	21438464.000000	
HEX 69 : 334E0F0	1DB896A	A31D780	
DEC 69 : 53797104.000000	31164778.000000	171038592.000000	
HEX 70 : 1656DF00	6B5E1E	576CB48	
DEC 70 : 374791936.000000	7036446.000000	91671368.000000	
HEX 71 : 1ED94E20	5B00CB8	17812E20	
DEC 71 : 517557792.000000	95423672.000000	394341920.000000	
HEX 72 : 7A3E968	73ED3C0	110531E0	
DEC 72 : 128182632.000000	121557952.000000	285553120.000000	
HEX 73 : 168B81E0	9FF0260	E936D30	
DEC 73 : 378241504.000000	167707232.000000	244542768.000000	
HEX 74 : 18038E20	15278900	1B83B4C	
DEC 74 : 402886176.000000	354912512.000000	28851020.000000	
HEX 75 : AC860F0	1B160520	3113C3C	
DEC 75 : 180904176.000000	454427936.000000	51461180.000000	
HEX 76 : 14BE2000	E58A4B0	6A99878	
DEC 76 : 348004352.000000	240690352.000000	111777912.000000	
HEX 77 : 11D8A3C0	AC55F80	146875A0	
DEC 77 : 299410368.000000	180707200.000000	342390176.000000	
HEX 78 : 24AF0F	1E01A080	DE921E0	
DEC 78 : 2404111.000000	503423104.000000	233382368.000000	
HEX 79 : 961C880	1B656440	1FEFAC40	
DEC 79 : 157403264.000000	459629632.000000	535800896.000000	
HEX 80 : 9942B50	110B3960	7345F10	
DEC 80 : 160705360.000000	285948256.000000	120872720.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
