Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : E7F0000	56DA5	F342C20	
DEC 56 : 153596624.000000	304956960.000000	396168800.000000	
HEX 57 : 19FD6100	CA774B0	13027500	
DEC 57 : 436035840.000000	212300976.000000	318928128.000000	
HEX 58 : 138A4780	13814080	7B18248	
DEC 58 : 327829376.000000	327237760.000000	129073736.000000	
HEX 59 : 6BB1A58	BEEDA60	BFF3	
DEC 59 : 112925272.000000	200202848.000000	49139.000000	
HEX 60 : 11A9C3C0	1BF852E0	138E6EE0	
DEC 60 : 296338368.000000	469258976.000000	328101600.000000	
HEX 61 : 19C6A2E0	10C67CC0	3B90E2C	
DEC 61 : 432448224.000000	281443520.000000	62459436.000000	
HEX 62 : 4CCE698	166A79E0	9205EB0	
DEC 62 : 80537240.000000	376076768.000000	153116336.000000	
HEX 63 : 170D0780	523E1E	C41DA20	
DEC 63 : 386729856.000000	5389854.000000	205642272.000000	
HEX 64 : 1E0C0B40	6EC7348	1A5CFC20	
DEC 64 : 504105792.000000	116159304.000000	442301472.000000	
HEX 65 : 10FBCC40	EE46DA0	19338AE0	
DEC 65 : 284937280.000000	249851296.000000	422808288.000000	
HEX 66 : 133955A0	100E9B40	11AC9C40	
DEC 66 : 322524576.000000	269392704.000000	296524864.000000	
HEX 67 : 1F495E20	1A6F5900	174EF5E0	
DEC 67 : 524901920.000000	443504896.000000	391050720.000000	
HEX 68 : 14B4EA60	AD035A0	4063AD0	
DEC 68 : 347400800.000000	181417376.000000	67517136.000000	
HEX 69 : 179CA960	3075D2C	1AB2B540	
DEC 69 : 396142944.000000	50814252.000000	447919424.000000	
HEX 70 : 1018DF00	D1123C0	988E890	
DEC 70 : 270065408.000000	219227072.000000	159967376.000000	
HEX 71 : E7EF5A0	D6C788	C032	
DEC 71 : 243201440.000000	14075784.000000	49202.000000	
HEX 72 : 18DA2E20	4280DA8	3AA2DBC	
DEC 72 : 416951840.000000	69733800.000000	61484476.000000	
HEX 73 : 1A589D20	4361F10	136A5900	
DEC 73 : 442015008.000000	70655760.000000	325736704.000000	
HEX 74 : 1FBAC6A0	8D461E	118C8C0	
DEC 74 : 532334240.000000	9258526.000000	18401472.000000	
HEX 75 : 11F696A0	3C6C168	6ADF4A8	
DEC 75 : 301373088.000000	63357288.000000	112063656.000000	
HEX 76 : 1A1621E0	D535780	1A8224A0	
DEC 76 : 437658080.000000	223565696.000000	444736672.000000	
HEX 77 : 161CC3C0	16A66DA0	F770B50	
DEC 77 : 370983872.000000	380005792.000000	259459920.000000	
HEX 78 : CACA000	1E601080	1E81DB40	
DEC 78 : 212639744.000000	509612160.000000	511826752.000000	
HEX 79 : 1E8153C0	14700700	1C4DD720	
DEC 79 : 511792064.000000	342886144.000000	474863392.000000	
HEX 80 : D549970	1784E880	645EE40	
DEC 80 : 223648112.000000	394586240.000000	105246272.000000	
HEX 81 : EFFEC40	183EE1E0	D944440	
DEC 81 : 251653184.000000	406774240.000000	227820608.000000	
HEX 82 : 1B0E41E0	A5AFA60	BCBE	
DEC 82 : 453919200.000000	173734496.000000	48318.000000	
HEX 83 : 3566968	118D62E0	12DFDDC0	
DEC 83 : 55994728.000000	294478560.000000	316661184.000000	
HEX 84 : 27A3000	57B9698	E5122F0	
DEC 84 : 41562112.000000	91985560.000000	240198384.000000	
HEX 85 : E1FC4B0	5A818F0	152E8D80	
DEC 85 : 236962992.000000	94902512.000000	355372416.000000	
HEX 86 : AF8AA60	F5ADDA0	1F40CB40	
DEC 86 : 184068704.000000	257613216.000000	524340032.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
