Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
DEC 56 : 266845840.000000	64453088.000000	95242096.000000	
HEX 57 : 1C8C66A0	1647B780	BE78	
DEC 57 : 478963360.000000	373798784.000000	48760.000000	
HEX 58 : 11E67960	11C79780	B1CE8B0	
DEC 58 : 300317024.000000	298293120.000000	186443952.000000	
HEX 59 : 234AE98	7645F10	5CE4FB0	
DEC 59 : 37007000.000000	124018448.000000	97406896.000000	
HEX 60 : F363000	5361E2	11723180	
DEC 60 : 255209472.000000	5464546.000000	292696448.000000	
HEX 61 : 3F84878	1E496A60	76F7D40	
DEC 61 : 66603128.000000	508127840.000000	124747072.000000	
HEX 62 : 1ED8B880	1C8E34C	875CA10	
DEC 62 : 517519488.000000	29942604.000000	141937168.000000	
HEX 63 : 14C0C2E0	2D7C4B4	BF35	
DEC 63 : 348177120.000000	47695028.000000	48949.000000	
HEX 64 : 6BBB620	17024F80	1743BF20	
DEC 64 : 112965152.000000	386027392.000000	390315808.000000	
HEX 65 : 886D530	1E9BF440	D6BB590	
DEC 65 : 143054128.000000	513537088.000000	225162640.000000	
HEX 66 : 1936D880	17CCF900	CAA7260	
DEC 66 : 423024768.000000	399309056.000000	212496992.000000	
HEX 67 : 1EA8BC40	9A93710	1A883520	
DEC 67 : 514374720.000000	162084624.000000	445134112.000000	
HEX 68 : F6E73C0	6F85440	C825CD0	
DEC 68 : 258896832.000000	116937792.000000	209870032.000000	
HEX 69 : 1D76CB40	6FCF0F	10C941E0	
DEC 69 : 494324544.000000	7327503.000000	281625056.000000	
HEX 70 : EC0A690	D16CE20	6227F78	
DEC 70 : 247506576.000000	219598368.000000	102924152.000000	
HEX 71 : 1A4996A0	1C897080	3876BE4	
DEC 71 : 441030304.000000	478769280.000000	59206628.000000	
HEX 72 : 34B44B4	1E1FC9E0	142D00E0	
DEC 72 : 55264436.000000	505399776.000000	338493664.000000	
HEX 73 : F55E530	765F710	14069C80	
DEC 73 : 257287472.000000	124122896.000000	335977600.000000	
HEX 74 : 13F18340	18E36000	7666E10	
DEC 74 : 334594880.000000	417554432.000000	124153360.000000	
HEX 75 : 158C7A60	1266DA60	11AB7E00	
DEC 75 : 361527904.000000	308730464.000000	296451584.000000	
HEX 76 : 7D3EF88	19CA96A	10BA3680	
DEC 76 : 131329928.000000	27044202.000000	280639104.000000	
HEX 77 : 1021EBC0	1D66FEA0	1C2196E	
DEC 77 : 270658496.000000	493289120.000000	29497710.000000	
HEX 78 : F475B50	8C05BC0	BDFA	
DEC 78 : 256334672.000000	146824128.000000	48634.000000	
HEX 79 : 49868F0	178B33C0	424EE70	
DEC 79 : 77097200.000000	394998720.000000	69529200.000000	
HEX 80 : 1D810A60	D4D4000	1EDA662	
DEC 80 : 494996064.000000	223166464.000000	32351842.000000	
HEX 81 : 4124A58	7529710	D91E7C0	
DEC 81 : 68307544.000000	122853136.000000	227665856.000000	
HEX 82 : 814A080	95E4DA0	139B2060	
DEC 82 : 135569536.000000	157175200.000000	328933472.000000	
HEX 83 : 5A7EF88	1088DE20	11E8FBC0	
DEC 83 : 94891912.000000	277405216.000000	300481472.000000	
HEX 84 : 14E99DA0	B407880	F649420	
DEC 84 : 350854560.000000	188774528.000000	258249760.000000	
HEX 85 : 139C2C40	D0AAB50	1696EC00	
