Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 57 : 58080E8	14758C40	FFC2B50	
DEC 57 : 92307688.000000	343247936.000000	268184400.000000	
HEX 58 : 3AB8080	A78FB50	1611C880	
DEC 58 : 61571200.000000	175700816.000000	370264192.000000	
HEX 59 : 181018A0	12E0A520	DD31F10	
DEC 59 : 403708064.000000	316712224.000000	231939856.000000	
HEX 60 : 913B3C0	E5850F0	128A1B40	
DEC 60 : 152286144.000000	240668912.000000	311040832.000000	
HEX 61 : 17C9BCC0	1C1C55A0	19DD4F00	
DEC 61 : 399097024.000000	471618976.000000	433934080.000000	
HEX 62 : 1A870500	AC18000	66713C0	
DEC 62 : 445056256.000000	180453376.000000	107418560.000000	
HEX 63 : FFE2910	1AB8E880	16B135A0	
DEC 63 : 268314896.000000	448325760.000000	380712352.000000	
HEX 64 : 654BA40	71B5F88	11645A6	
DEC 64 : 106216000.000000	119234440.000000	18236838.000000	
HEX 65 : 9099860	1D743000	1A5AA100	
DEC 65 : 151623776.000000	494153728.000000	442147072.000000	
HEX 66 : 1120C2E0	66918F0	183BFA60	
DEC 66 : 287359712.000000	107550960.000000	406583904.000000	
HEX 67 : AA1BAB0	3B74B4	D3DBC40	
DEC 67 : 178371248.000000	3896500.000000	222149696.000000	
HEX 68 : 6A42C	91B88F0	564D4B8	
DEC 68 : 435244.000000	152799472.000000	90494136.000000	
HEX 69 : 5F57E	C450E90	CD742D0	
DEC 69 : 390526.000000	205852304.000000	215433936.000000	
HEX 70 : 1283A200	176F2800	1067D100	
DEC 70 : 310616576.000000	393160704.000000	275239168.000000	
HEX 71 : 1B5553A0	587FF10	13F20780	
DEC 71 : 458576800.000000	92798736.000000	334628736.000000	
HEX 72 : 17D46600	3B570F0	1A5B1B40	
DEC 72 : 399795712.000000	62222576.000000	442178368.000000	
HEX 73 : 24B3FB	1F68B3C0	10CB696	
DEC 73 : 2405371.000000	526955456.000000	17610390.000000	
HEX 74 : CA269A0	13AA1D20	2F3B3C4	
DEC 74 : 211970464.000000	329915680.000000	49525700.000000	
HEX 75 : 1C96B400	F4C6170	130845A0	
DEC 75 : 479638528.000000	256663920.000000	319309216.000000	
HEX 76 : 6F92A78	EBC2080	B520880	
DEC 76 : 116992632.000000	247210112.000000	189925504.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
