Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 3B3F698	BA83AA0	19B51960	
DEC 56 : 55597660.000000	121598920.000000	535855104.000000	
HEX 57 : 1E6CA780	1C391240	6DF6E20	
DEC 57 : 510437248.000000	473502272.000000	115306016.000000	
HEX 58 : AD56F10	16A30	AAD5C40	
DEC 58 : 181759760.000000	92720.000000	179133504.000000	
HEX 59 : A008000	115F2F60	C6653C0	
DEC 59 : 167804928.000000	291450720.000000	208032704.000000	
HEX 60 : 1A000100	15731	1FF1C000	
DEC 60 : 436207872.000000	87857.000000	535937024.000000	
HEX 61 : 1AFAE5A0	F4B4910	184114C0	
DEC 61 : 452650400.000000	256592144.000000	406918336.000000	
HEX 62 : 1F4F6000	1DC05720	16057F00	
DEC 62 : 525295616.000000	499144480.000000	369458944.000000	
HEX 63 : 367787	14CB8E80	5906968	
DEC 63 : 3569543.000000	348884608.000000	93350248.000000	
HEX 64 : 8D19B50	1F631D6	11AD6880	
DEC 64 : 147954512.000000	32911830.000000	296577152.000000	
HEX 65 : 736C698	12071920	56FB3C0	
DEC 65 : 121030296.000000	302455072.000000	91206592.000000	
HEX 66 : 1713EC40	1B72E9A0	9542B50	
DEC 66 : 387181632.000000	460515744.000000	156511056.000000	
HEX 67 : 2990000	19E54980	90B0F1	
DEC 67 : 43581440.000000	434456960.000000	9482481.000000	
HEX 68 : 3EA95A4	2C79310	BBF6F10	
DEC 68 : 65705380.000000	46633744.000000	197095184.000000	
HEX 69 : 1684FC40	9B8FEE0	1DD65A60	
DEC 69 : 377814080.000000	163118816.000000	500587104.000000	
HEX 70 : 15BD0B40	100AB460	11EDA2E0	
DEC 70 : 364710720.000000	269136992.000000	300786400.000000	
HEX 71 : 10930D20	7619D30	119583C0	
DEC 71 : 278072608.000000	123837744.000000	295011264.000000	
HEX 72 : 1B59A960	1D2F8DE0	FA47970	
DEC 72 : 458860896.000000	489655776.000000	262437232.000000	
HEX 73 : 9A60690	173B0EC0	76C969	
DEC 73 : 161875600.000000	389746368.000000	7784809.000000	
HEX 74 : 1D1591E0	8D0A1C0	1329FD20	
DEC 74 : 487952864.000000	147890624.000000	321518880.000000	
HEX 75 : 4D465A8	16A30	1E8B9100	
DEC 75 : 81028520.000000	92720.000000	512463104.000000	
HEX 76 : 18FC6C40	2DFBD28	1104DF00	
DEC 76 : 419195968.000000	48217384.000000	285531904.000000	
HEX 77 : 138626A0	1C0F9880	112634C0	
DEC 77 : 327558816.000000	470784128.000000	287716544.000000	
HEX 78 : 1DD89F00	11AB1B80	7ECBF10	
DEC 78 : 500735744.000000	296426368.000000	132955920.000000	
HEX 79 : 173EE100	6537250	16A8878	
DEC 79 : 389996800.000000	106132048.000000	23758968.000000	
HEX 80 : 1E6FF960	F687B80	FC9F880	
DEC 80 : 510654816.000000	258505600.000000	264894592.000000	
HEX 81 : 6B9DE20	180E76A0	B4532D0	
DEC 81 : 112844320.000000	403601056.000000	189084368.000000	
