Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
DEC 56 : 26541718.000000	193287584.000000	274262368.000000	
HEX 57 : 9D7F710	FC094B0	687B2D0	
DEC 57 : 165148432.000000	264279216.000000	109556432.000000	
HEX 58 : 10E60DA0	A03000	196ED780	
DEC 58 : 283512224.000000	10498048.000000	426694528.000000	
HEX 59 : 5AACA58	15576960	95C4710	
DEC 59 : 95079000.000000	358050144.000000	157042448.000000	
HEX 60 : 1B99A5A	494CF10	B2773C0	
DEC 60 : 28940890.000000	76861200.000000	187134912.000000	
HEX 61 : B76DCB0	1A1A6960	3AC4E20	
DEC 61 : 192339120.000000	437938528.000000	61623840.000000	
HEX 62 : 54C6000	1E5E6100	2FB4DA4	
DEC 62 : 88891392.000000	509501696.000000	50023844.000000	
HEX 63 : 1EBE14C0	E12F970	1B9A2100	
DEC 63 : 515773632.000000	236124528.000000	463085824.000000	
HEX 64 : 7177000	1FB4B	DCB8CB0	
DEC 64 : 118976512.000000	129867.000000	231443632.000000	
HEX 65 : C6C9F80	13232D20	13F47100	
DEC 65 : 208445312.000000	321072416.000000	334786816.000000	
HEX 66 : E0D8620	362F1E0	C6AF780	
DEC 66 : 235767328.000000	56816096.000000	208336768.000000	
HEX 67 : 117324C0	1806FC40	1136E3C0	
DEC 67 : 292758720.000000	403110976.000000	288809920.000000	
HEX 68 : 1B232100	17EEB000	14646780	
DEC 68 : 455287040.000000	401518592.000000	342124416.000000	
HEX 69 : 17FE2F00	262B1E0	5922A58	
DEC 69 : 402534144.000000	40022496.000000	93465176.000000	
HEX 70 : 1BD0A780	5BC72D0	1C6CEC40	
DEC 70 : 466659200.000000	96236240.000000	476900416.000000	
HEX 71 : 160B9F00	1FE4CE20	147C02E0	
DEC 71 : 369860352.000000	535088672.000000	343671520.000000	
HEX 72 : 1BE84100	163915A0	69DECB8	
DEC 72 : 468205824.000000	372839840.000000	111013048.000000	
HEX 73 : 54B4B	93071E0	1FAC1B40	
DEC 73 : 346955.000000	154169824.000000	531372864.000000	
HEX 74 : 13EB75A0	1AB01A60	197DDD20	
DEC 74 : 334198176.000000	447748704.000000	427679008.000000	
HEX 75 : 687CA58	5ACD000	1A6C7E20	
DEC 75 : 109562456.000000	95211520.000000	443317792.000000	
HEX 76 : 7141788	107725A0	EEC0710	
DEC 76 : 118757256.000000	276243872.000000	250349328.000000	
HEX 77 : 107EFE20	1B08788	5802E20	
DEC 77 : 276758048.000000	28346248.000000	92286496.000000	
HEX 78 : 1B2D5F00	E9330F0	CD0CAD0	
DEC 78 : 455958272.000000	244527344.000000	215010000.000000	
