Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
DEC 56 : 461437280.000000	286581088.000000	334554304.000000	
HEX 57 : FBD8350	7D3F1E0	2509168	
DEC 57 : 264078160.000000	131330528.000000	38834536.000000	
HEX 58 : FB2D440	1EAE2F80	2026AD4	
DEC 58 : 263377984.000000	514731904.000000	33712852.000000	
HEX 59 : 1B04BBC0	6FDE2D0	8309F80	
DEC 59 : 453295040.000000	117301968.000000	137404288.000000	
HEX 60 : 1CA3FD20	D105880	38D7A98	
DEC 60 : 480509216.000000	219175040.000000	59603608.000000	
HEX 61 : 4ED45A8	14322520	1E224F80	
DEC 61 : 82658728.000000	338830624.000000	505565056.000000	
HEX 62 : 46CB2D0	1BE27AE0	102F8AE0	
DEC 62 : 74232528.000000	467827424.000000	271551200.000000	
HEX 63 : 17E25340	B9A5A60	103E91A0	
DEC 63 : 400708416.000000	194665056.000000	272535968.000000	
HEX 64 : 11EDD2E0	1A962440	B3FFDA0	
DEC 64 : 300798688.000000	446047296.000000	188743072.000000	
HEX 65 : 7712D30	DB39C40	18BA5400	
DEC 65 : 124857648.000000	229874752.000000	414864384.000000	
HEX 66 : 858FF10	1FF583C0	15D76880	
DEC 66 : 140050192.000000	536183744.000000	366438528.000000	
HEX 67 : 6C89DA8	11D41900	472CBC0	
DEC 67 : 113810856.000000	299112704.000000	74632128.000000	
HEX 68 : 11C9D6A0	10847D20	D016CF0	
DEC 68 : 298440352.000000	277118240.000000	218197232.000000	
HEX 69 : 1781F520	455F530	E4C56D0	
DEC 69 : 394392864.000000	72742192.000000	239883984.000000	
HEX 70 : B60E3C0	19012BC0	1065D840	
DEC 70 : 190899136.000000	419507136.000000	275109952.000000	
HEX 71 : 1CF64000	149B79E0	588E968	
DEC 71 : 485900288.000000	345733600.000000	92858728.000000	
HEX 72 : 4BBEF88	1835A780	8F0A5A0	
DEC 72 : 79425416.000000	406169472.000000	149988768.000000	
HEX 73 : 8EC3B50	ADE1620	153E25A	
DEC 73 : 149699408.000000	182326816.000000	22274650.000000	
HEX 74 : 1B90E260	17A1DD20	C497970	
DEC 74 : 462479968.000000	396483872.000000	206141808.000000	
HEX 75 : 10E154C0	17665880	1613AF40	
DEC 75 : 283202752.000000	392583296.000000	370388800.000000	
HEX 76 : CCD95A0	7410F10	1172EC80	
DEC 76 : 214799776.000000	121704208.000000	292744320.000000	
HEX 77 : DE33AD0	9EFBC4	376A5E0	
DEC 77 : 232995536.000000	10419140.000000	58107360.000000	
HEX 78 : 7B2FC40	6557710	17328A60	
DEC 78 : 129170496.000000	106264336.000000	389188192.000000	
HEX 79 : 11F9F520	9069880	C45E530	
DEC 79 : 301593888.000000	151427200.000000	205907248.000000	
HEX 80 : DB11800	25800	EF39260	
DEC 80 : 229709824.000000	153600.000000	250843744.000000	
HEX 81 : B315530	1C023DA0	833A690	
DEC 81 : 187782448.000000	469908896.000000	137602704.000000	
HEX 82 : BB728F0	5672BC0	9A7F6D0	
DEC 82 : 196552944.000000	90647488.000000	162002640.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
