Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 1 : 14ADF1E0	1EEE9C40	B25CD30	
HEX 56 : 18AABB40	1A85CA60	1307D960	
DEC 56 : 413842240.000000	444975712.000000	319281504.000000	
HEX 57 : 17719960	716878	6C53000	
DEC 57 : 393320800.000000	7432312.000000	113586176.000000	
HEX 58 : 1082B2E0	3C0A5A	147DBD20	
DEC 58 : 277000928.000000	3934810.000000	343784736.000000	
HEX 59 : 5C20E20	265E4B4	1A5B1A60	
DEC 59 : 96603680.000000	40232116.000000	442178144.000000	
HEX 60 : 472E1E	C89E3C0	8C89690	
DEC 60 : 4664862.000000	210363328.000000	147363472.000000	
HEX 61 : 1EE706A0	1E6E1B40	4686878	
DEC 61 : 518456992.000000	510532416.000000	73951352.000000	
HEX 62 : 1CFE3F00	B262880	13D58000	
DEC 62 : 486424320.000000	187050112.000000	332759040.000000	
HEX 63 : 14FC5000	F8DB1E0	AFEA690	
DEC 63 : 352079872.000000	260944352.000000	184460944.000000	
HEX 64 : FEF1D30	4EBCE20	1A5B1A60	
DEC 64 : 267328816.000000	82562592.000000	442178144.000000	
HEX 65 : D234C40	1AAC6D20	1226B3C0	
DEC 65 : 220417088.000000	447507744.000000	304526272.000000	
HEX 66 : BE6B2D0	13D01B40	D1F4E20	
DEC 66 : 199668432.000000	332405568.000000	220155424.000000	
HEX 67 : 1B3D1960	5ED0A58	345FE20	
DEC 67 : 456989024.000000	99420760.000000	54918688.000000	
HEX 68 : 1F9B4100	1438C6A0	2D72F10	
DEC 68 : 530268416.000000	339265184.000000	47656720.000000	
HEX 69 : EAB0880	1A66A5A0	ABFB5A0	
DEC 69 : 246089856.000000	442934688.000000	180336032.000000	
HEX 70 : 34D25A4	136F14C0	8B23F10	
DEC 70 : 55387556.000000	326046912.000000	145899280.000000	
HEX 71 : 1BEB8780	1CDDDD20	B248780	
DEC 71 : 468420480.000000	484302112.000000	186943360.000000	
HEX 72 : E2D2690	1D0D3780	26E1E20	
DEC 72 : 237840016.000000	487405440.000000	40771104.000000	
HEX 73 : 5F53A58	159AD2E	97C3000	
DEC 73 : 99957336.000000	22654254.000000	159133696.000000	
HEX 74 : 112864C0	146FCD20	136DF2E0	
DEC 74 : 287859904.000000	342871328.000000	325972704.000000	
HEX 75 : 1FE8EE20	199DAE20	112F2880	
DEC 75 : 535359008.000000	429764128.000000	288303232.000000	
HEX 76 : 1B0A01E0	199194C0	264A5A	
DEC 76 : 453640672.000000	428971200.000000	2509402.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
