Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
DEC 56 : 458270848.000000	488752192.000000	319566784.000000	
HEX 57 : 1AF73960	814B970	1A5B1A60	
DEC 57 : 452409696.000000	135575920.000000	442178144.000000	
HEX 58 : 14CD02E0	12E7E080	B309B50	
DEC 58 : 348979936.000000	317186176.000000	187734864.000000	
HEX 59 : 1DA48F00	98A1970	11DDAB40	
DEC 59 : 497323776.000000	160045424.000000	299739968.000000	
HEX 60 : EB661E0	66BF440	9296000	
DEC 60 : 246833632.000000	107738176.000000	153706496.000000	
HEX 61 : 161EBCC0	9FC9780	1350B6A0	
DEC 61 : 371113152.000000	167548800.000000	324056736.000000	
HEX 62 : 3A96878	31EEB4C	117D5D20	
DEC 62 : 61433976.000000	52357964.000000	293428512.000000	
HEX 63 : 3D325A4	19D0AF80	FA30D30	
DEC 63 : 64169380.000000	433106816.000000	262343984.000000	
HEX 64 : 17D4C6A0	162694C0	17C4DD20	
DEC 64 : 399820448.000000	371627200.000000	398777632.000000	
HEX 65 : 1D54BA60	1718A2E0	F05DD30	
DEC 65 : 492092000.000000	387490528.000000	252042544.000000	
HEX 66 : 13164000	1B771800	67CE698	
DEC 66 : 320225280.000000	460789760.000000	108848792.000000	
HEX 67 : 19991B40	2F4D1E0	10DE44C0	
DEC 67 : 429464384.000000	49598944.000000	283002048.000000	
HEX 68 : 749169	6448B48	9956A60	
DEC 68 : 7639401.000000	105155400.000000	160787040.000000	
HEX 69 : 1CC401E0	F3E0F1	17660000	
DEC 69 : 482607584.000000	15982833.000000	392560640.000000	
HEX 70 : 1E12E780	1ED9F100	C4193C0	
DEC 70 : 504555392.000000	517599488.000000	205624256.000000	
HEX 71 : 9D7DE20	7E9DA58	EB522D0	
DEC 71 : 165142048.000000	132766296.000000	246751952.000000	
HEX 72 : 6C5CE98	1F536F80	13D60A60	
DEC 72 : 113626776.000000	525561728.000000	332794464.000000	
HEX 73 : 1389ABC0	9501880	1A5B1A60	
DEC 73 : 327789504.000000	156244096.000000	442178144.000000	
HEX 74 : AFC3170	3A4A5A	B446780	
DEC 74 : 184299888.000000	3820122.000000	189032320.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
