Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
DEC 56 : 315913152.000000	361019136.000000	172935776.000000	
HEX 57 : EA18690	C0F1D30	118AAD20	
DEC 57 : 245466768.000000	202317104.000000	294300960.000000	
HEX 58 : 1D4D71E0	4734BC0	2A472D4	
DEC 58 : 491614688.000000	74664896.000000	44331732.000000	
HEX 59 : 1BAAD960	14BFDC40	1E11B960	
DEC 59 : 464181600.000000	348118080.000000	504478048.000000	
HEX 60 : 12CE49E0	DF530F0	A9324B0	
DEC 60 : 315509216.000000	234172656.000000	177415344.000000	
HEX 61 : D0A6C40	962CA60	1C285A6	
DEC 61 : 218786880.000000	157469280.000000	29525414.000000	
HEX 62 : 1620AC40	8A4DE20	1C36A880	
DEC 62 : 371240000.000000	145022496.000000	473344128.000000	
HEX 63 : 158A7DA0	758E96	12511100	
DEC 63 : 361397664.000000	7704214.000000	307302656.000000	
HEX 64 : C2D4B5	F25E710	12C31000	
DEC 64 : 12768437.000000	254142224.000000	314773504.000000	
HEX 65 : C82FBC0	99575A0	944A780	
DEC 65 : 209910720.000000	160789920.000000	155494272.000000	
HEX 66 : 1A967100	1CFF92E0	19864E20	
DEC 66 : 446066944.000000	486511328.000000	428232224.000000	
HEX 67 : C976F10	1870CEA0	744C5A8	
DEC 67 : 211250960.000000	410046112.000000	121947560.000000	
HEX 68 : 22F6968	94B3C4	11796F00	
DEC 68 : 36661608.000000	9745348.000000	293170944.000000	
HEX 69 : 4A79AD0	10062440	1C503780	
DEC 69 : 78093008.000000	268837952.000000	475019136.000000	
HEX 70 : F478F80	1E0EE880	30964B4	
DEC 70 : 256348032.000000	504293504.000000	50947252.000000	
HEX 71 : 1B808100	2E4B43C	E69E690	
DEC 71 : 461406464.000000	48542780.000000	241821328.000000	
HEX 72 : 10DB4000	46A7E98	5EF5E20	
DEC 72 : 282804224.000000	74088088.000000	99573280.000000	
HEX 73 : 1F1DA4C0	82BCF10	8EE9B50	
DEC 73 : 522036416.000000	137088784.000000	149855056.000000	
HEX 74 : 127F32E0	6B884B8	152EF960	
DEC 74 : 310325984.000000	112755896.000000	355400032.000000	
HEX 75 : 1B759100	D3EF9E0	13FE45A0	
DEC 75 : 460689664.000000	222231008.000000	335431072.000000	
HEX 76 : 5B34348	1409E080	FDE05A0	
DEC 76 : 95634248.000000	336191616.000000	266208672.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
