Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 1ACA8DA0	18DD7700	39CC0F0	
DEC 56 : 146274176.000000	171030528.000000	308770464.000000	
HEX 57 : 1DC34100	A9D18F0	AE4C1E0	
DEC 57 : 499335424.000000	178067696.000000	182764000.000000	
HEX 58 : 11048080	1FB7C100	CBCA970	
DEC 58 : 285507712.000000	532136192.000000	213690736.000000	
HEX 59 : 1746EA60	1CDD5700	105235A0	
DEC 59 : 390523488.000000	484267776.000000	273823136.000000	
HEX 60 : 1EE4C620	180162E0	13034B40	
DEC 60 : 518309408.000000	402744032.000000	318982976.000000	
HEX 61 : 19033620	B43E530	10B433C0	
DEC 61 : 419640864.000000	188998960.000000	280245184.000000	
HEX 62 : 306F800	F546800	C4FED30	
DEC 62 : 50788352.000000	257189888.000000	206564656.000000	
HEX 63 : 11C4F620	15E6EB40	CF101E0	
DEC 63 : 298120736.000000	367455040.000000	217121248.000000	
HEX 64 : 6424BC0	1406F700	76514B8	
DEC 64 : 105008064.000000	336000768.000000	124064952.000000	
HEX 65 : 8D03E90	FD87780	1760EC40	
DEC 65 : 147865232.000000	265844608.000000	392227904.000000	
HEX 66 : 114313C0	CC7D970	A126690	
DEC 66 : 289608640.000000	214423920.000000	168978064.000000	
HEX 67 : 6FEA5A8	BC37D30	6FFA878	
DEC 67 : 117351848.000000	197360944.000000	117418104.000000	
HEX 68 : 17B4D900	132F3780	1F535A60	
DEC 68 : 397728000.000000	321861504.000000	525556320.000000	
HEX 69 : 21C8878	17B2FD20	24B8F10	
DEC 69 : 35424376.000000	397606176.000000	38506256.000000	
HEX 70 : 51C5C40	9ABBF10	3FD2D	
DEC 70 : 85744704.000000	162250512.000000	261421.000000	
HEX 71 : 83E9260	6443C4	113656A0	
DEC 71 : 138318432.000000	6570948.000000	288773792.000000	
HEX 72 : 1BDBDF80	A099970	1D0FAF00	
DEC 72 : 467394432.000000	168401264.000000	487567104.000000	
HEX 73 : 21BEC3C	201F788	197A6100	
DEC 73 : 35384380.000000	33683336.000000	427450624.000000	
HEX 74 : 195C5EA0	1D7A53C0	1F4FDF00	
DEC 74 : 425483936.000000	494556096.000000	525328128.000000	
HEX 75 : 99FE0F0	B8842D0	1D878960	
DEC 75 : 161472752.000000	193479376.000000	495421792.000000	
HEX 76 : 161AF4C0	1C0CAF80	8924A60	
DEC 76 : 370865344.000000	470593408.000000	143805024.000000	
HEX 77 : D92E350	12654440	6ABEF10	
DEC 77 : 227730256.000000	308626496.000000	111931152.000000	
HEX 78 : F6B11E0	512C878	7017E20	
DEC 78 : 258675168.000000	85117048.000000	117538336.000000	
HEX 79 : CDFB440	17422700	1A0D8100	
DEC 79 : 215987264.000000	390211328.000000	437092608.000000	
HEX 80 : 126F2D2	4C1C440	41F95A8	
DEC 80 : 19329746.000000	79807552.000000	69178792.000000	
HEX 81 : 104D3160	E1EB880	1B342B40	
DEC 81 : 273494368.000000	236894336.000000	456403776.000000	
HEX 82 : 1D9FD4C0	12D25880	18CC7E20	
DEC 82 : 497013952.000000	315775104.000000	416054816.000000	
