Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 56 : 66CE2A0	9EEB3C0	13532960	
DEC 56 : 107799200.000000	166638528.000000	324217184.000000	
HEX 57 : D5DB440	17CF5D20	19290000	
DEC 57 : 224244800.000000	399465760.000000	422117376.000000	
HEX 58 : 5913368	1DCD9E20	106EAEA0	
DEC 58 : 93401960.000000	500014624.000000	275689120.000000	
HEX 59 : 1B255800	490BF10	1C115E20	
DEC 59 : 455432192.000000	76594960.000000	470900256.000000	
HEX 60 : 2A5EBF8	10AFCF00	10D3DEA0	
DEC 60 : 44428280.000000	279957248.000000	282320544.000000	
HEX 61 : 12D55C40	B552D3	2BD29E0	
DEC 61 : 315972672.000000	11883219.000000	45951456.000000	
HEX 62 : 180AEC60	12472E20	1495C3C	
DEC 62 : 403369056.000000	306654752.000000	21584956.000000	
HEX 63 : DCBB64	1160C880	8846C40	
DEC 63 : 14465892.000000	291555456.000000	142896192.000000	
HEX 64 : 73345	7AB9A58	16978AE0	
DEC 64 : 471877.000000	128686680.000000	379030240.000000	
HEX 65 : 1DC77820	67F0698	3DCA9E0	
DEC 65 : 499611680.000000	108988056.000000	64793056.000000	
HEX 66 : E6AF920	15A3FA60	78310F0	
DEC 66 : 241891616.000000	363068000.000000	126030064.000000	
HEX 67 : 14911700	9D4A5A	196A16A0	
DEC 67 : 345052928.000000	10308186.000000	426383008.000000	
HEX 68 : 95E4A80	1370E6A0	DFC4260	
DEC 68 : 157174400.000000	326166176.000000	234635872.000000	
HEX 69 : 98E5330	1B8CF3C0	A74F000	
DEC 69 : 160322352.000000	462222272.000000	175435776.000000	
HEX 70 : 2FCEAF8	1D07F10	12E616A0	
DEC 70 : 50129656.000000	30441232.000000	317068960.000000	
HEX 71 : 174F6F60	17019A60	929D5A0	
DEC 71 : 391081824.000000	385981024.000000	153736608.000000	
HEX 72 : 1A93AAE0	10C0D960	BF30AD0	
DEC 72 : 445885152.000000	281074016.000000	200477392.000000	
HEX 73 : 13B7A50	17F6CF00	14097780	
DEC 73 : 20675152.000000	402050816.000000	336164736.000000	
HEX 74 : 131BB980	144C51E0	1C88C780	
DEC 74 : 320584064.000000	340546016.000000	478726016.000000	
HEX 75 : 10CBABE0	1AD21100	C6E8E90	
DEC 75 : 281783264.000000	449974528.000000	208572048.000000	
HEX 76 : 1744C340	4CCD5A8	73DFC40	
DEC 76 : 390382400.000000	80532904.000000	121502784.000000	
HEX 77 : 7794C28	171045A0	4C7BCB8	
DEC 77 : 125389864.000000	386942368.000000	80198840.000000	
HEX 78 : 10DE8F20	13AB0D20	FCB2000	
DEC 78 : 283021088.000000	329977120.000000	264970240.000000	
HEX 79 : 1A0AB1E0	1B5AD5A0	1C6675A0	
DEC 79 : 436908512.000000	458937760.000000	476476832.000000	
HEX 80 : 1F3ACFC0	17FD01E0	16085E20	
DEC 80 : 523947968.000000	402457056.000000	369647136.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
