Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 56 : 16C50D20	C0C4CB0	1E506960	
DEC 56 : 382012704.000000	202132656.000000	508586336.000000	
HEX 57 : 24D2968	11E6E000	127DD9E0	
DEC 57 : 38611304.000000	300343296.000000	310237664.000000	
HEX 58 : 785B4B8	C6CE4B0	15757D20	
DEC 58 : 126203064.000000	208463024.000000	360021280.000000	
HEX 59 : 83EA000	170F7780	126CC900	
DEC 59 : 138321920.000000	386889600.000000	309119232.000000	
HEX 60 : 4FBE698	15B32880	19986E20	
DEC 60 : 83617432.000000	364062848.000000	429420064.000000	
HEX 61 : CC7EA60	C757D30	E391F10	
DEC 61 : 214428256.000000	209026352.000000	238624528.000000	
HEX 62 : C85F880	1E7E1520	1412CA60	
DEC 62 : 210106496.000000	511579424.000000	336775776.000000	
HEX 63 : 6F03C40	112B1CC0	C9AE170	
DEC 63 : 116407360.000000	288038080.000000	211476848.000000	
HEX 64 : 199056A0	985EBC0	1089A260	
DEC 64 : 428889760.000000	159771584.000000	277455456.000000	
HEX 65 : 5362788	111CB9E0	5465698	
DEC 65 : 87435144.000000	287095264.000000	88495768.000000	
HEX 66 : 1AD045A0	102E4BC0	481BBC0	
DEC 66 : 449856928.000000	271469504.000000	75611072.000000	
HEX 67 : 1F0282E0	DA3C3	8583880	
DEC 67 : 520258272.000000	893891.000000	139999360.000000	
HEX 68 : 7670F10	1793E340	8AE5690	
DEC 68 : 124194576.000000	395567936.000000	145643152.000000	
HEX 69 : 107B8C40	54230F0	47AD440	
DEC 69 : 276532288.000000	88223984.000000	75158592.000000	
HEX 70 : 192491E0	91EC1E0	83854B0	
DEC 70 : 421827040.000000	153010656.000000	137909424.000000	
HEX 71 : 7BDE4B8	72D2710	1010B4C0	
DEC 71 : 129885368.000000	120399632.000000	269530304.000000	
HEX 72 : D145000	1B281F80	D58A000	
DEC 72 : 219435008.000000	455614336.000000	223911936.000000	
HEX 73 : 127121E0	1FAD2160	8B76B50	
DEC 73 : 309404128.000000	531439968.000000	146238288.000000	
HEX 74 : 109801E0	1D017DA0	1EAE63C0	
DEC 74 : 278397408.000000	486636960.000000	514745280.000000	
HEX 75 : 1BA005A0	BABF710	1875E620	
DEC 75 : 463472032.000000	195819280.000000	410379808.000000	
HEX 76 : BB02D3	9D56AD0	10C0CA60	
DEC 76 : 12255955.000000	164981456.000000	281070176.000000	
HEX 77 : 285BF10	942A1E0	1B8183C0	
DEC 77 : 42319632.000000	155361760.000000	461472704.000000	
HEX 78 : 1902878	17B4DCC0	27E95A4	
DEC 78 : 26224760.000000	397728960.000000	41850276.000000	
HEX 79 : CF6C2D0	290AD2	EFFC780	
DEC 79 : 217498320.000000	2689746.000000	251643776.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
