Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
DEC 56 : 391500928.000000	171888512.000000	422040224.000000	
HEX 57 : 1BA83A20	10DA1340	157D60A0	
DEC 57 : 464009760.000000	282727232.000000	360538272.000000	
HEX 58 : 12531C40	A14CDA0	BFF3	
DEC 58 : 307436608.000000	169135520.000000	49139.000000	
HEX 59 : 57EF698	1CF3A000	1C829740	
DEC 59 : 92206744.000000	485728256.000000	478320448.000000	
HEX 60 : 1FBB0340	6C7C168	1A6BCDC0	
DEC 60 : 532349760.000000	113754472.000000	443272640.000000	
HEX 61 : C229F50	246A43C	BF35	
DEC 61 : 203595600.000000	38183996.000000	48949.000000	
HEX 62 : 1520A8C0	E060F80	13074400	
DEC 62 : 354461888.000000	235278208.000000	319243264.000000	
HEX 63 : 1D881D20	169ED520	F25A580	
DEC 63 : 495459616.000000	379508000.000000	254125440.000000	
HEX 64 : AEFE930	16818AE0	22EB8EC	
DEC 64 : 183494960.000000	377588448.000000	36616428.000000	
HEX 65 : 295D1E0	12AF51E0	145331A0	
DEC 65 : 43373024.000000	313479648.000000	340996512.000000	
HEX 66 : 17BBB660	164FA520	11B3EE2	
DEC 66 : 398177888.000000	374318368.000000	18562786.000000	
HEX 67 : 1BD4B8C0	1CDA4780	1117C50	
DEC 67 : 466925760.000000	484067200.000000	17923152.000000	
HEX 68 : 1A7E2EE0	8F6D2D0	BFB4	
DEC 68 : 444477152.000000	150393552.000000	49076.000000	
HEX 69 : 1747788	5164168	7F3F668	
DEC 69 : 24409992.000000	85344616.000000	133428840.000000	
HEX 70 : 15C26380	1F9A0780	17320480	
DEC 70 : 365060992.000000	530188160.000000	389153920.000000	
HEX 71 : 18DF9400	F2D83C0	C998030	
DEC 71 : 417305600.000000	254641088.000000	211386416.000000	
HEX 72 : 9F7A000	1B195B40	8BC8E00	
DEC 72 : 167223296.000000	454646592.000000	146574848.000000	
HEX 73 : 72025E0	18DB26A0	1103F680	
DEC 73 : 119547360.000000	417015456.000000	285472384.000000	
HEX 74 : 728DE2	13882900	1B7EA2C0	
DEC 74 : 7507426.000000	327690496.000000	461284032.000000	
HEX 75 : 1BDC0D20	1B5BFF00	90B3080	
DEC 75 : 467406112.000000	459013888.000000	151728256.000000	
HEX 76 : 15CDA5A0	1F572C40	BD03300	
DEC 76 : 365798816.000000	525806656.000000	198193920.000000	
HEX 77 : 120467C0	1A7CF2E0	779DFB8	
DEC 77 : 302278592.000000	444396256.000000	125427640.000000	
HEX 78 : 110E4DE0	11F3B5A0	C032	
DEC 78 : 286150112.000000	301184416.000000	49202.000000	
HEX 79 : 994A690	5B53AD0	15415560	
DEC 79 : 160736912.000000	95763152.000000	356603232.000000	
HEX 80 : 47AEE98	A9D9080	180A4EC0	
DEC 80 : 75165336.000000	178098304.000000	403328704.000000	
HEX 81 : 13D57C4	BEF4BC0	13C4C	
DEC 81 : 20797380.000000	200231872.000000	80972.000000	
HEX 82 : 1BE96C40	8476080	B8AA570	
DEC 82 : 468282432.000000	138895488.000000	193635696.000000	
HEX 83 : 6058000	4A5BBC0	1DEB8F80	
DEC 83 : 101023744.000000	77970368.000000	501976960.000000	
HEX 84 : 1B8DE0C0	9786AD0	12F7AEE0	
DEC 84 : 462282944.000000	158886608.000000	318222048.000000	
HEX 85 : 6CD5B48	ACFC350	1009FD80	
DEC 85 : 114121544.000000	181388112.000000	269090176.000000	
HEX 86 : E201350	1697AC40	DB8B6D0	
DEC 86 : 236983120.000000	379038784.000000	230209232.000000	
HEX 87 : 1AEF3000	ADB8F1	C032	
DEC 87 : 451883008.000000	11385073.000000	49202.000000	
HEX 88 : 1E760260	1A1C800	6963170	
DEC 88 : 511050336.000000	27379712.000000	110506352.000000	
HEX 89 : 1D251880	11260260	BFB4	
DEC 89 : 488970368.000000	287703648.000000	49076.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
