Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
DEC 56 : 444317216.000000	16989486.000000	535049632.000000	
HEX 57 : 6842348	5AA6C40	1BD7F960	
DEC 57 : 109323080.000000	95054912.000000	467138912.000000	
HEX 58 : CA490D0	1CB9E1E0	1020B3C0	
DEC 58 : 212111568.000000	481944032.000000	270578624.000000	
HEX 59 : 1D6B0BA0	2C692D4	1B30A5A	
DEC 59 : 493554592.000000	46568148.000000	28510810.000000	
HEX 60 : 20640C0	17F5F1E0	1CB75520	
DEC 60 : 33964224.000000	401994208.000000	481776928.000000	
HEX 61 : B04BDE0	B1504B0	1E99FD20	
DEC 61 : 184860128.000000	185926832.000000	513408288.000000	
HEX 62 : 1E255040	405E4B8	16B87080	
DEC 62 : 505761856.000000	67495096.000000	381186176.000000	
HEX 63 : 1CE53660	87C61E0	1CA77D20	
DEC 63 : 484783712.000000	142369248.000000	480738592.000000	
HEX 64 : 1CF2CE60	AD970F0	296A8F0	
DEC 64 : 485674592.000000	182022384.000000	43428080.000000	
HEX 65 : 1F28C7C0	16B07C40	11B33F80	
DEC 65 : 522766272.000000	380664896.000000	296959872.000000	
HEX 66 : 16FBB060	B87D4B0	C97CAD0	
DEC 66 : 385593440.000000	193451184.000000	211274448.000000	
HEX 67 : 14665080	EE25B50	14EE14C0	
DEC 67 : 342249600.000000	249715536.000000	351147200.000000	
HEX 68 : 131023E0	2A075A4	CBA8620	
DEC 68 : 319824864.000000	44070308.000000	213550624.000000	
HEX 69 : F3CBC40	B5BE1E	181895A0	
DEC 69 : 255638592.000000	11910686.000000	404264352.000000	
HEX 70 : B50A1A0	4F2AF10	F922000	
DEC 70 : 189833632.000000	83013392.000000	261234688.000000	
HEX 71 : 11882B60	15789A60	12AD0AE0	
DEC 71 : 294136672.000000	360225376.000000	313330400.000000	
HEX 72 : 69BEDB0	B857B50	10E1B900	
DEC 72 : 110882224.000000	193297232.000000	283228416.000000	
HEX 73 : 5F7B6	397F4B4	99364B0	
DEC 73 : 391094.000000	60290228.000000	160654512.000000	
HEX 74 : 1B5482C0	116FB100	711F3C0	
DEC 74 : 458523328.000000	292532480.000000	118617024.000000	
HEX 75 : 16CB9360	1ED252E0	1796D260	
DEC 75 : 382440288.000000	517100256.000000	395760224.000000	
HEX 76 : 10F6EFC0	A85D1E0	1A042800	
DEC 76 : 284618688.000000	176542176.000000	436480000.000000	
HEX 77 : 1B0A43E0	F9ABF10	117466A0	
DEC 77 : 453657568.000000	261799696.000000	292841120.000000	
HEX 78 : 1C22976	9BB65A0	42F64B8	
DEC 78 : 29501814.000000	163276192.000000	70214840.000000	
HEX 79 : 11793140	13F9ED20	4F0E348	
DEC 79 : 293155136.000000	335146272.000000	82895688.000000	
HEX 80 : 5F835	8F8F1E0	1DBDB440	
DEC 80 : 391221.000000	150532576.000000	498971712.000000	
HEX 81 : 140A0C60	CF37C40	5CF6078	
DEC 81 : 336202848.000000	217283648.000000	97476728.000000	
HEX 82 : 14B22080	4717788	1C6D2E20	
DEC 82 : 347218048.000000	74545032.000000	476917280.000000	
HEX 83 : 1E0251A0	A9054B0	A1075A0	
DEC 83 : 503468448.000000	177231024.000000	168850848.000000	
HEX 84 : 2DEFBFC	161B94C0	100BDF80	
DEC 84 : 48167932.000000	370906304.000000	269213568.000000	
HEX 85 : 1BB8B3E0	1DA13780	D481AD0	
