Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 70
DEC 57 : 273672800.000000	462694528.000000	56472276.000000	
HEX 58 : A8521E0	A8C6F10	11E5B1E0	
DEC 58 : 176497120.000000	176975632.000000	300265952.000000	
HEX 59 : 1043DC40	1EEC2E20	E011B50	
DEC 59 : 272882752.000000	518794784.000000	234953552.000000	
HEX 60 : D3DC690	D91EE20	1C7AEDA0	
DEC 60 : 222152336.000000	227667488.000000	477818272.000000	
HEX 61 : 121086A0	444AA58	E88DDA0	
DEC 61 : 303072928.000000	71608920.000000	243850656.000000	
HEX 62 : AAC9D30	98684B0	13752D2	
DEC 62 : 179084592.000000	159810736.000000	20402898.000000	
HEX 63 : 187E7000	333BD2C	19398780	
DEC 63 : 410939392.000000	53722412.000000	423200640.000000	
HEX 64 : 56F51E0	1CF0DA60	17549700	
DEC 64 : 91181536.000000	485546592.000000	391419648.000000	
HEX 65 : 12534C40	19AFD780	1B8DF800	
DEC 65 : 307448896.000000	430954368.000000	462288896.000000	
HEX 66 : B27E1E	60FE698	16EC85A0	
DEC 66 : 11697694.000000	101705368.000000	384599456.000000	
HEX 67 : 84A3F10	F70A2D0	8042780	
DEC 67 : 139083536.000000	259039952.000000	134489984.000000	
HEX 68 : 9D431E0	1F6565A0	1CEE1440	
DEC 68 : 164901344.000000	526738848.000000	485364800.000000	
HEX 69 : 241C1E0	111D3C40	17B12C40	
DEC 69 : 37863904.000000	287128640.000000	397487168.000000	
HEX 70 : 187E71E0	5C7E000	AEB72D0	
DEC 70 : 410939872.000000	96985088.000000	183202512.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
