Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 57 : C9202D0	87E0780	145E0500	
DEC 57 : 210895568.000000	142477184.000000	341705984.000000	
HEX 58 : 1C02F080	3F603C4	BD63930	
DEC 58 : 469954688.000000	66454468.000000	198588720.000000	
HEX 59 : 197FD780	E853000	1204D480	
DEC 59 : 427808640.000000	243609600.000000	302306432.000000	
HEX 60 : 1B865340	74A20F0	1292AD00	
DEC 60 : 461787968.000000	122298608.000000	311602432.000000	
HEX 61 : 7921258	12163C40	12CFAAA0	
DEC 61 : 127013464.000000	303447104.000000	315599520.000000	
HEX 62 : 724CB48	4BF4968	10437920	
DEC 62 : 119851848.000000	79645032.000000	272857376.000000	
HEX 63 : FA511E0	C1BE3C0	1A362C40	
DEC 63 : 262476256.000000	203154368.000000	439757888.000000	
HEX 64 : 142A1000	27B24B4	A864800	
DEC 64 : 338300928.000000	41624756.000000	176572416.000000	
HEX 65 : 2A7AE98	35BE4B4	22D00B4	
DEC 65 : 44543640.000000	56353972.000000	36503732.000000	
HEX 66 : 510DB48	10A3CB40	1FCA8BC0	
DEC 66 : 84990792.000000	279169856.000000	533367744.000000	
HEX 67 : 13AD4DA0	829B4B	2B5D65C	
DEC 67 : 330124704.000000	8559435.000000	45471324.000000	
HEX 68 : 1F280780	139576A0	D12E9A0	
DEC 68 : 522717056.000000	328562336.000000	219343264.000000	
HEX 69 : E455E20	1879E3C0	1F7C710	
DEC 69 : 239427104.000000	410641344.000000	33015568.000000	
HEX 70 : 2930800	133551E0	2D3F698	
DEC 70 : 43190272.000000	322261472.000000	47445656.000000	
HEX 71 : 170FD080	1542BA60	EF665E0	
DEC 71 : 386912384.000000	356694624.000000	251028960.000000	
HEX 72 : 132E0F0	10BDBB40	1954EF00	
DEC 72 : 20111600.000000	280869696.000000	424996608.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
