Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
DEC 56 : 347529824.000000	429893824.000000	98908520.000000	
HEX 57 : 1B35DBC0	1DE313C0	24AFA5C	
DEC 57 : 456514496.000000	501420992.000000	38468188.000000	
HEX 58 : 3AC61E0	1BB6D800	1A5A5E20	
DEC 58 : 61628896.000000	464967680.000000	442129952.000000	
HEX 59 : 7D9D878	1525AD2	147DC100	
DEC 59 : 131717240.000000	22174418.000000	343785728.000000	
HEX 60 : 1B834DE0	8AA12D	1A5B1A60	
DEC 60 : 461589984.000000	9085229.000000	442178144.000000	
HEX 61 : 1C4C478	132E2840	B6092D0	
DEC 61 : 29672568.000000	321792064.000000	190878416.000000	
HEX 62 : 62CA968	8A3A440	13E98B40	
DEC 62 : 103590248.000000	144942144.000000	334072640.000000	
HEX 63 : 901F0B0	CB72E20	73843C0	
DEC 63 : 151122096.000000	213331488.000000	121127872.000000	
HEX 64 : 13CE1E60	18635220	F7A93C0	
DEC 64 : 332275296.000000	409162272.000000	259691456.000000	
HEX 65 : 1A839780	8011E60	1A5B1960	
DEC 65 : 444831616.000000	134291040.000000	442177888.000000	
HEX 66 : A255660	14D0F040	84A7B50	
DEC 66 : 170219104.000000	349237312.000000	139098960.000000	
HEX 67 : 42FCFC0	10967C80	1A5B1A60	
DEC 67 : 70242240.000000	278297728.000000	442178144.000000	
HEX 68 : C7186D0	F8BA4B0	125A788	
DEC 68 : 208766672.000000	260809904.000000	19244936.000000	
HEX 69 : 4D46F88	4F36968	1A5B1A60	
DEC 69 : 81031048.000000	83061096.000000	442178144.000000	
HEX 70 : C911D70	1F604F0	1A592880	
DEC 70 : 210836848.000000	32900336.000000	442050688.000000	
HEX 71 : 380A000	A6F17C0	C73D780	
DEC 71 : 58761216.000000	175052736.000000	208918400.000000	
HEX 72 : 5C95840	4424D30	7EDBC40	
DEC 72 : 97081408.000000	71454000.000000	133020736.000000	
HEX 73 : 1CDF5900	AEDB840	13D4A3C0	
DEC 73 : 484399360.000000	183351360.000000	332702656.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
