Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
DEC 56 : 208255200.000000	412787360.000000	269195392.000000	
HEX 57 : 1A117A60	1FA79F80	6DAE3C0	
DEC 57 : 437353056.000000	531079040.000000	115008448.000000	
HEX 58 : 13652E00	1CDF0000	8F4B2D0	
DEC 58 : 325398016.000000	484376576.000000	150254288.000000	
HEX 59 : 689ECA8	13A352E0	EEFB780	
DEC 59 : 109702312.000000	329470688.000000	250591104.000000	
HEX 60 : 1E77A1A0	1B924740	1519D880	
DEC 60 : 511156640.000000	462571328.000000	354015360.000000	
HEX 61 : B01F130	16D06160	8085A6	
DEC 61 : 184676656.000000	382755168.000000	8422822.000000	
HEX 62 : 19D390E0	1506BB00	A0F74B0	
DEC 62 : 433295584.000000	352762624.000000	168785072.000000	
HEX 63 : 14D0D900	19827840	1C9414C0	
DEC 63 : 349231360.000000	427980864.000000	479466688.000000	
HEX 64 : 10046600	19F02C00	16CAD000	
DEC 64 : 268723712.000000	435170304.000000	382390272.000000	
HEX 65 : 11EA52C0	19C56300	2EE1E	
DEC 65 : 300569280.000000	432366336.000000	192030.000000	
HEX 66 : C755D10	1D4D5440	40942D0	
DEC 66 : 209018128.000000	491607104.000000	67715792.000000	
HEX 67 : 5F835	1601C340	B45C690	
DEC 67 : 391221.000000	369214272.000000	189122192.000000	
HEX 68 : 1E40C7C0	9A199A0	11A77000	
DEC 68 : 507561920.000000	161585568.000000	296185856.000000	
HEX 69 : 5513D98	1AF78160	38B3698	
DEC 69 : 89210264.000000	452428128.000000	59455128.000000	
HEX 70 : 12245AC0	EAEFD30	19F872E0	
DEC 70 : 304372416.000000	246349104.000000	435712736.000000	
HEX 71 : 499D748	81B10B0	1A57B100	
DEC 71 : 77190984.000000	135991472.000000	441954560.000000	
HEX 72 : 6F1E4	D3669E0	173AB1E0	
DEC 72 : 455140.000000	221669856.000000	389722592.000000	
HEX 73 : 11339E4	E92CA90	DD86C40	
DEC 73 : 18037220.000000	244501136.000000	232287296.000000	
HEX 74 : 1DA2DB60	180B21A0	1BB34B40	
DEC 74 : 497212256.000000	403382688.000000	464735040.000000	
HEX 75 : 9EE0C50	BD6C5A0	DF322D0	
DEC 75 : 166595664.000000	198624672.000000	234037968.000000	
HEX 76 : 1956EDC0	6CDDAD0	CADF690	
DEC 76 : 425127360.000000	114154192.000000	212727440.000000	
HEX 77 : 5F835	3297568	1DB421E0	
DEC 77 : 391221.000000	53048680.000000	498344416.000000	
HEX 78 : 121E4460	711F748	18E5B4C0	
DEC 78 : 303973472.000000	118617928.000000	417707200.000000	
HEX 79 : 166B0E60	110112A0	143961E0	
DEC 79 : 376114784.000000	285282976.000000	339304928.000000	
HEX 80 : 4B87FD0	10DE2560	1BDD4D20	
DEC 80 : 79200208.000000	282994016.000000	467488032.000000	
HEX 81 : 18C41080	E6FF530	D8BE5A0	
DEC 81 : 415502464.000000	242218288.000000	227272096.000000	
HEX 82 : 17416140	92355A0	1DFFB1E0	
DEC 82 : 390160704.000000	153310624.000000	503296480.000000	
HEX 83 : 1258DDA0	1258F9E0	1317C3C	
DEC 83 : 307813792.000000	307821024.000000	20020284.000000	
HEX 84 : 839A580	153AD780	77555A8	
DEC 84 : 137995648.000000	356177792.000000	125130152.000000	
HEX 85 : 5EBBBA8	7DDDA58	12EEFB40	
DEC 85 : 99335080.000000	131979864.000000	317651776.000000	
HEX 86 : 523C270	6380400	368787	
DEC 86 : 86229616.000000	104334336.000000	3573639.000000	
HEX 87 : 18D5E3A0	1F3BCAE0	11B354C0	
DEC 87 : 416670624.000000	524012256.000000	296965312.000000	
HEX 88 : 73CD200	142521E	1EB75960	
DEC 88 : 121426432.000000	21123614.000000	515332448.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
